Accomplished#0,"""Completo"""
InProgress#0,"""En curso"""
CATEGORY_STORY#0,"""Principal"""
CATEGORY_SUB_STORY#0,"""Secundario"""
CATEGORY_DAILY#0,"""Diarias"""
CATEGORY_WEEKLY#0,"""Semanales"""
CATEGORY_LIMITED#0,"""Tiempo limitado"""
SORT_NORMAL#0,"""Ordenar: Normal"""
SORT_ASC_DATE#0,"""Ordenar: Fecha ascendente"""
SORT_DESC_DATE#0,"""Ordenar: Fecha descendente"""
BUTTON_BACK#0,"""Atrás"""
NOT_FOUND_ANY_TASKS#0,"""No hay tareas en curso."""
NOT_FOUND_ANY_TASKS_2#0,"""No hay tareas completadas."""
NOT_FOUND_ANY_TASKS_3#0,"""No hay tareas que se puedan realizar."""
PLEASE_WAIT#0,"""Espere por favor"""
FOCUS_TASK#0,"""Información de la guía de visualización"""
UNFOCUS_TASK#0,"""No mostrar información de la guía"""
CHECK_TASK_DETAILS#0,"""Verifique los detalles de la tarea"""
ACCEPT_TASK#0,"""Aceptar tareas"""
CONFIRM_ACCEPT_TASK_TITLE#0,"""Aceptar Confirmación"""
CONFIRM_ACCEPT_TASK_MESSAGE#0,"""Acepta la tarea: $(0)?"""
DISCARD_TASK#0,"""Descartar tarea"""
CONFIRM_DISCARD_TASK_TITLE#0,"""Confirmar descarte de tareas"""
CONFIRM_DISCARD_TASK_MESSAGE#0,"""¿Estás seguro de que quieres descartar $(0)?<br><br>El progreso de la tarea se reiniciará."""
WINDOW_TITLETELOP#0,"""Tarea"""
WINDOW_CONTROLGUIDE#0,"""<%Decide>: Acceptar\u3000\u3000<%Cancel>: Cancelar\u3000\u3000<%NextWidget>： Mover Cursor"""
FULLSIZE_FORM_TITLE#0,"""Tarea"""
RemainingDays#0,"""$(0) Días restantes"""
RemainingHour#0,"""$(0) Horas restantes"""
RemainingMinutes#0,"""$(0) Minutos restantes"""
Task_Requester#0,"""Solicitante"""
Task_Requester_None#0,"""-"""
Task_List_Tilte#0,"""Lista de tareas"""
Accept_Task_Limit#0,"""あと$(0)件受注可能\u3000($(1)/$(2))"""
Task_Chapter_Num#0,"""$(0)章"""
FORM_TITLE#0,"""Detalles de $(0)"""
REWIND_CONDITION#0,"""Reordenar Req."""
TASK_OVERVIEW#0,"""Descripción general"""
TASK_REWARD#0,"""Recompensa"""
TASK_PROGRESSES#0,"""Progreso detallado"""
TASK_TO_ACHIEVEMENT#0,"""Progreso de logros"""
ITEMDETAIL_CONTROLGUIDE#0,"""<%Function> Información de recompensa"""
ITEMDETAIL_CONTROLGUIDE_MP#0,"""<%Function><pict 4space>で報酬詳細\u3000\u3000<%MultiSelect><pict 4space>でミッションパス"""
ITEMDETAIL_MissionPass#0,"""<%NextTabDetails> Mission Pass"""
BASICINFO_CONTROLGUIDE#0,"""<%Function> Información básica"""
BASICINFO_CONTROLGUIDE_MP#0,"""<%Function><pict 4space>で基本情報\u3000\u3000<%MultiSelect><pict 4space>でミッションパス"""
NO_REWARD_ITEM#0,"""No hay artículos de recompensa."""
Task_Detial_Tilte#0,"""Detalles de la tarea"""
TASK_PROGRESSES_2#0,"""Progreso"""
BASIC_INFO#0,"""Información básica"""
REWARD_INFO#0,"""Información de recompensa"""
REWARD_ITEMNAME#0,"""Nombre del árticulo"""
REWARD_QUANTITY#0,"""Numero de compras"""
TASK_DETAILS_UNSELECTED#0,"""No se ha seleccionado ninguna tarea."""
REWARD_QUANTITY_NUM#0,"""×$(0)"""
