MenuTitle#0,"""Exchange Shop"""
MenuGuide#0,"""<c f0df60>Los objetos de la lista pueden cambiarse por el objeto seleccionado.<c>"""
ButtonChange#0,"""Intercambiar"""
SuccessMessage#0,"""Intercambio exitoso."""
FailedMessage#0,"""No se ha podido intercambiar.<br><br>[No.2100]"""
FailedMessage2#0,"""Insuficientes objetos de cambio."""
FailedMessage3#0,"""El intercambio ha fallado. Se ha excedido el límite de la pila de artículos, o su inventario está lleno."""
TitleChange#0,"""Confirmación de intercambio"""
ChangeCheck#0,"""¿Está seguro de que quiere cambiar los siguientes artículos?"""
TicketName#0,"""$(0)×$(2) (Actualmente tiene: $(1))"""
CancelTitle#0,"""Cancelar intercambio"""
CancelMessage#0,"""Esto cancelará el intercambio.<br>¿Continuar?"""
HaveTicket#0,"""En posesión"""
TotalTicket#0,"""Total"""
SwapItemTitle#0,"""Objetos de intercambio"""
ItemNone#0,"""Nada"""
ChangeCheckVita#0,"""¿Está seguro de que quiere cambiar los siguientes artículos?"""
MenuGuideVita#0,"""Información de intercambio"""
TitleVita#0,"""Lista de productos"""
ItemNum#0,"""($(0))"""
SelectItemVita#0,"""Por favor, introduzca una cantidad."""
SelectItemInputVita#0,"""Por favor, introduzca una cantidad."""
PluralityMenuGuide#0,"""<c f0df60>Seleccione una tienda.<c>"""
Warehouse#0,"""Abrir Almacen"""
MenuTitleCq01#0,"""CM Exchange Shop 1"""
MenuTitleCq02#0,"""CM Exchange Shop 2"""
MenuTitle_jene#0,"""Limited Exchange Shop (~June 7, 2017, 11:00 JST)"""
MenuTitle_serafi#0,"""Limited Exchange Shop (~June 8, 2016, 11:00 JST)"""
MenuTitle_anet#0,"""Limited Exchange Shop (~Nov. 1, 11:00 JST)"""
MenuTitleSea#0,"""5th Anniv. Exchange Shop - First Half (~Aug 9th, 11:00 JST)"""
MenuTitleSea1#0,"""New Year 2018 Shop - First Half (~Feb 7, 2018, 11:00 JST)"""
MenuTitle_FG#0,"""Limited Exchange Shop (~Dec. 7, 2016, 11:00 JST)"""
MenuTitle_es1#0,"""Limited Exchange Shop (~Oct. 25, 11:00 JST)"""
MenuTitle_es2#0,"""Limited Exchange Shop (~Dec. 20, 11:00 JST)"""
MenuTitle_es3#0,"""Limited Exchange Shop (~June. 6, 11:00 JST)"""
MenuTitle_den1#0,"""Limited Exchange Shop (~Dec. 6, 11:00 JST)"""
MenuTitle_thanks#0,"""Thanks Badge 2020 Exchange Shop"""
MenuTitle#1,"""Rental Expiration"""
MenuGuide#1,"""-"""
RestTitle#0,"""Expiración"""
RestTimeTitle#0,"""Después """
RestMonth#0,"""$(0) mes(es) """
RestDay#0,"""$(0)d. """
RestTime#0,"""$(0)h. """
RestMinits#0,"""$(0)min. """
RestSec#0,"""$(0)sec."""
TimeOver#0,"""Expirado"""
ITEM00#0,"""Premium Set"""
ITEM01#0,"""Trade License"""
ITEM02#0,"""My Room License"""
ITEM03#0,"""Shop License"""
ITEM04#0,"""ITEM04"""
ITEM05#0,"""ITEM05"""
ITEM06#0,"""Order Limit Exp."""
ITEM07#0,"""CC Limit Exp."""
ITEM08#0,"""Premium Stamps"""
ITEM09#0,"""ITEM09"""
ITEM10#0,"""ITEM10"""
ITEM11#0,"""ITEM11"""
ITEM12#0,"""ITEM12"""
ITEM13#0,"""ITEM13"""
ITEM14#0,"""ITEM14"""
ITEM15#0,"""ITEM15"""
ITEM16#0,"""ITEM16"""
ITEM17#0,"""ITEM17"""
ITEM18#0,"""ITEM18"""
ITEM19#0,"""ITEM19"""
ITEM20#0,"""ITEM20"""
ITEM21#0,"""ITEM21"""
ITEM22#0,"""ITEM22"""
ITEM23#0,"""ITEM23"""
ITEM24#0,"""ITEM24"""
ITEM25#0,"""Expansion Storage 6"""
ITEM26#0,"""Material Storage <pict StarGem>"""
ITEM27#0,"""Expansion Storage 4"""
ITEM28#0,"""Expansion Storage 5"""
ITEM29#0,"""Expansion Storage 1<pict StarGem>"""
ITEM30#0,"""Expansion Storage 2"""
ITEM31#0,"""Expansion Storage 3"""
TimesaleTitle#0,"""Limited Time Sale!"""
MenuTitle#2,"""Sick Bay"""
