ob_ep01_hv_mango#0,"""Saute Peach"""
ob_ep01_hv_banana#0,"""Saute Banana"""
ob_ep01_hv_apple#0,"""Saute Apple"""
ob_ep01_hv_pear#0,"""Saute Pear"""
ob_5000_0388#0,"""Restasigne"""
ob_5000_0470#0,"""Reversasigne"""
ob_5000_0601#0,"""Monotite"""
ob_5000_0603#0,"""Dualomite"""
ob_5000_0605#0,"""Sodhe Turban Shell"""
ob_5000_0819#0,"""Sodhe Clam"""
ob_5000_0820#0,"""Soh Turnip"""
ob_5000_0821#0,"""Soh Mushroom"""
ob_5000_0862#0,"""Sodhe Crab"""
ob_5000_0889#0,"""Sodhe Lobster"""
ob_5000_0972#0,"""Soh Herb"""
ob_5000_0973#0,"""Soh Tomato"""
ob_5000_0967#0,"""Photon Chunk"""
ob_5000_0968#0,"""Trinite"""
ob_5000_0969#0,"""Photon Quartz"""
ob_9990_0010#0,"""Transport Truck"""
ob_9990_0017#0,"""Contenedor de objetos: Negro"""
ob_9990_0017_Setter#0,"""Contenedor de objetos: Negro"""
ob_9990_0018#0,"""Contenedor de objetos: Verde"""
ob_9990_0018_Setter#0,"""Contenedor de objetos: Verde"""
ob_9990_0021#0,"""Contenedor de objetos: Dorado"""
ob_9990_0024_111020001#0,"""Invincible Region Mag"""
ob_9990_0024_111090001#0,"""Expert Region Mag"""
ob_9990_0024_111060001#0,"""Priceless Region Mag"""
ob_9990_0025#0,"""Training Target"""
ob_9990_0025_0001#0,"""Training Target"""
ob_9990_0025_0002#0,"""Training Target"""
ob_9990_0025_0003#0,"""Training Target"""
ob_9990_0025_0004#0,"""Training Target"""
ob_9990_0026#0,"""Training Target"""
ob_9990_0026_0001#0,"""Training Target"""
ob_9990_0026_0002#0,"""Training Target"""
ob_9990_0026_0003#0,"""Training Target"""
ob_9990_0026_0004#0,"""Training Target"""
ob_9990_0038#0,"""Contenedor de objetos: Red"""
ob_9990_0053#0,"""Barrier Pod"""
ob_9990_0035#0,"""DOLLS Control System"""
ob_9990_0040#0,"""Beehive"""
ob_9990_0050#0,"""Tendal"""
ob_9990_0051#0,"""Mining Rig"""
ob_9990_0052#0,"""Protected Container"""
ob_9990_0054#0,"""Mining Rig"""
ob_9990_0055#0,"""Mining Rig"""
ob_9990_0056#0,"""Mining Rig"""
ob_9990_0057#0,"""Mining Rig"""
ob_9990_0063#0,"""Backhack"""
ob_9990_0064#0,"""Barrigale Core"""
ob_9990_0068#0,"""Meldrum"""
