GroupChat_Title#0,"""Chat Grupal"""
GroupChat_SetMsg#0,"""Grupos registrados"""
GroupChat_NewMsg#0,"""Invitacion"""
GroupChat_MakeGroup#0,"""Hacer un grupo"""
GroupChat_NewNumMsg#0,"""Invitar ($(0))"""
GroupChat_GroupLeader#0,"""Lider de grupo"""
Popup_Active#0,"""visualizar Grupo"""
Popup_Inactive#0,"""Ocultar Grupo"""
Popup_Confirm#0,"""Ver miembros"""
Popup_Invite#0,"""Invitar"""
Popup_Banish#0,"""Remover"""
Popup_ChangeName#0,"""Editar configuración"""
Popup_ChangeLeader#0,"""Cambiar Lider"""
Popup_MoveTop#0,"""Mover al principio"""
Popup_Delete#0,"""Salir del grupo"""
Popup_Join#0,"""Registrarse"""
GroupChat_Title_New#0,"""Crear un grupo"""
GroupChat_GroupName#0,"""Nombre del grupo"""
GroupChat_GroupComment#0,"""Comentario de grupo"""
GroupChat_Decided#0,"""Aceptar"""
GroupChat_Canceled#0,"""Cancelar"""
GroupChat_Title_Rename#0,"""Editar configuración"""
GroupChat_Rename#0,"""Editar tema de grupo"""
GroupChat_MemberTab1#0,"""En linea ($(0))"""
GroupChat_MemberTab4#0,"""En linea"""
GroupChat_MemberTab2#0,"""Desconectado"""
GroupChat_MemberTab3#0,"""Lista de bloqueados"""
GroupChatError_Title#0,"""Mensaje"""
GroupChatError_ListNumFault#0,"""No se pudo mostrar el grupo."""
GroupChatError_MakeGroupFault#0,"""No se pudo crear el grupo"""
GroupChatError_MakeNGWordFault#0,"""Este nombre de grupo no se puede utilizar."""
GroupChatError_MakeGroupMaxFault#0,"""Se alcanzó el número máximo de grupos.<br>No se pudo crear el grupo."""
GroupChatError_RenameGroupFault#0,"""No se pudo editar el grupo."""
GroupChatError_RenameNGWordFault#0,"""Este nombre de grupo no se puede utilizar."""
GroupChatQues_Title#0,"""Confirmar"""
GroupChatQues_Banish#0,"""Eliminando $(0) de este grupo.<br><br>¿Estás seguro?"""
GroupChatQues_Leader#0,"""Transfiriendo derechos de liderazgo a $(0).<br><br>¿Estás seguro?"""
GroupChatQues_Delete#0,"""Abandonando \""$(0)\"".<br><br><yellow>※Si desea volver a unirse a este grupo más tarde, deberá ser invitado nuevamente.<c><br><br>¿estás seguro?"""
GroupChatQC_Invite_Title#0,"""Invitación de grupo"""
GroupChatQC_Invite_Mess#0,"""$(1) te ha invitado a \""$(0)\"".<br>¿Quieres responder ahora?<br><br>※Si seleccionas \""No\"", puedes responder más tarde desde \""Chat Settings\"" en el menú principal."""
GroupChatQC_Join_Log#0,"""$(1) ha agregado $(0)."""
