tut_006207#0,"""Resta signs"""
tut_006208#0,"""La Subpalette"""
tut_006213#0,"""Lock-On/Lock-On mantenido"""
tut_006219#0,"""Recuperación PP de ataques normales"""
tut_006221#0,"""Contenedores"""
tut_006222#0,"""Paquete de artículos"""
tut_006223#0,"""Equipo/armadura"""
tut_006225#0,"""Debilidades de los atributos"""
tut_006226#0,"""Puntos débiles"""
tut_006229#0,"""Marcadores enemigos"""
tut_006230#0,"""Multijugador"""
tut_006231#0,"""Cocoons"""
tut_006232#0,"""Patada de pared"""
tut_006233#0,"""Personalización de subpaleta"""
tut_006234#0,"""Photon Blasts"""
tut_006235#0,"""Puntos de habilidad"""
tut_006236#0,"""Contador de clases"""
tut_006237#0,"""Árbol de habilidades"""
tut_006238#0,"""Restablecimiento de habilidades"""
tut_006239#0,"""Hunter"""
tut_006240#0,"""Ranger"""
tut_006241#0,"""Force"""
tut_006242#0,"""Fighter"""
tut_006243#0,"""Gunner"""
tut_006244#0,"""Techter"""
tut_006245#0,"""Tienda ARKS Scrash y AC"""
tut_006246#0,"""Star Gem y SG Shop"""
tut_006247#0,"""Step Counter"""
tut_006248#0,"""Sword"""
tut_006249#0,"""Partizan"""
tut_006250#0,"""Wired Lance"""
tut_006251#0,"""Assault Rifle"""
tut_006252#0,"""Launcher"""
tut_006253#0,"""Rod"""
tut_006254#0,"""Talis"""
tut_006255#0,"""Knuckles"""
tut_006256#0,"""Double saver"""
tut_006257#0,"""Twin dagger"""
tut_006258#0,"""Twin Machineguns"""
tut_006259#0,"""Wand"""
tut_006261#0,"""Almacen"""
tut_006262#0,"""Contenido compartido con PSO2"""
tut_006263#0,"""Equipo de armas"""
tut_006264#0,"""Cambiar la paleta principal"""
tut_006265#0,"""Cambiar subpaletas"""
tut_006266#0,"""Tareas principales"""
tut_006267#0,"""Tareas secundarias"""
tut_006268#0,"""Dispositivo  Ryuker"""
tut_006269#0,"""Teletransporte"""
tut_006270#0,"""Mapa del mundo"""
tut_006271#0,"""Secciones de exploración"""
tut_006272#0,"""Recolección"""
tut_006273#0,"""Animales silvestres"""
tut_006274#0,"""Comida rapida"""
tut_006276#0,"""Menú rápido"""
tut_006277#0,"""Personalización palet principal"""
tut_006278#0,"""Fortalecimiento de armas y armaduras."""
tut_006280#0,"""Nivel de Poder"""
tut_006281#0,"""Tarea semanal"""
tut_006283#0,"""Guía de tareas"""
tut_006284#0,"""Mission Pass"""
tut_006285#0,"""Grupos"""
tut_006287#0,"""Reverser Signs"""
tut_006289#0,"""Sellos"""
tut_006290#0,"""Chat"""
tut_006291#0,"""Emotes"""
tut_006294#0,"""Parámetros"""
tut_006295#0,"""Menú de incapacitación"""
tut_006296#0,"""Trials"""
tut_006297#0,"""Tiempo"""
tut_006299#0,"""Estético"""
tut_006300#0,"""Quest Storage"""
tut_006301#0,"""Almacén"""
tut_006302#0,"""Transferencia en bloque"""
tut_006304#0,"""Cambio de movimiento"""
tut_006305#0,"""Lista de amigos"""
tut_006306#0,"""Shortcut Words"""
tut_006307#0,"""Autowords"""
tut_006308#0,"""ARKS Search"""
tut_006309#0,"""Group Chat"""
tut_006310#0,"""Symbol Arts"""
tut_006311#0,"""Ajustes de control"""
tut_006312#0,"""Abandonar Misiones"""
tut_006313#0,"""Boost Items"""
tut_006314#0,"""Fashion Tickets"""
tut_006315#0,"""TU Mag"""
tut_006316#0,"""Habilidades preestablecidas"""
tut_006318#0,"""Scratche"""
tut_006319#0,"""Tienda de intercambio de artículos"""
tut_006321#0,"""Combat Sections"""
tut_006322#0,"""Subclases"""
tut_006324#0,"""PSE"""
tut_006325#0,"""Enemigos Raros"""
tut_006326#0,"""Adición de habilidades especiales"""
tut_006329#0,"""Liberación de potencial"""
tut_006330#0,"""Romper limites"""
tut_006331#0,"""Mags Regional"""
tut_006336#0,"""Drome"""
tut_006337#0,"""Torre"""
tut_006338#0,"""Enemigos mejorados"""
tut_006339#0,"""Arma múltiple"""
tut_006340#0,"""Battledia: Yellow"""
tut_006342#0,"""Misiones de emergencia"""
tut_006343#0,"""Gigantix"""
tut_006344#0,"""Contenedores protegidos"""
tut_006350#0,"""Physical Down/Attribute Down Phases"""
tut_006351#0,"""Battledia: Purple"""
tut_006352#0,"""Enemigos mejorados por el clima"""
tut_006353#0,"""Turno de día y noche"""
tut_006354#0,"""Jefe Enemigo"""
tut_006356#0,"""Techniques"""
tut_006357#0,"""Photon Arts"""
tut_006358#0,"""Controles de movimiento"""
tut_006359#0,"""Controles de combate"""
tut_006360#0,"""Regiones"""
tut_006361#0,"""Asamblea Punto de barrido"""
tut_006362#0,"""DOLLS-Controlled Aircraft trials"""
tut_006363#0,"""Salida Inmediata"""
tut_006364#0,"""Medidores de bajada"""
tut_006365#0,"""Matching"""
tut_006366#0,"""Starting Emergency Quests"""
tut_006367#0,"""Paquetes de mensajes"""
tut_006368#0,"""Updrafters"""
