moralskeeper_Title#0,"""Informe de jugadores"""
moralskeeper_menu_playername#0,"""Nombre del jugador e ID del jugador a reportar"""
moralskeeper_menu_category#0,"""Categoría de informe <red>※Requerido<c>"""
moralskeeper_menu_comment#0,"""Comentario"""
moralskeeper_category_default#0,"""Seleccione una categoría"""
moralskeeper_category_leave#0,"""Abandonar Misión """
moralskeeper_category_disturb#0,"""Interrupción del juego"""
moralskeeper_category_harassment#0,"""Acoso """
moralskeeper_category_cheat#0,"""Hackeo"""
moralskeeper_category_etcetera#0,"""Otros"""
moralskeeper_comment_default#0,"""<c c0c0c0>Por favor, rellene el contenido del informe.<c>"""
moralskeeper_button_transmit#0,"""Enviar"""
moralskeeper_button_cancel#0,"""Cancel"""
moralskeeper_message#0,"""Gracias por su informe."""
moralskeeper_confirm_title#0,"""Confirmar el contenido"""
moralskeeper_confirm_message#0,"""Esto enviará un informe.<br>¿Proceder?"""
moralskeeper_confirm_playername#0,"""Nombre del jugador e ID del jugador a reportar"""
moralskeeper_confirm_category#0,"""Categoría del reporte"""
moralskeeper_confirm_comment#0,"""Comentario"""
moralskeeper_confirm_nocomment#0,"""Sin comentarios"""
moralskeeper_confirm_transmit#0,"""Enviar"""
moralskeeper_confirm_cancel#0,"""Cancelar"""
moralskeeper_precautionary_statement#0,"""Si encuentras a un jugador que viola los Términos de Servicio, por favor repórtalo.<br>Si el jugador viola los Términos de Servicio, suspenderemos su cuenta."""
