MesetaDenomination#0,"""<pict reb_meseta> Meseta"""
AcDenomination#0,"""AC"""
CpDenomination#0,"""CP"""
FunDenomination#0,"""FUN"""
StarDenomination#0,"""Stars"""
CcDenomination#0,"""CC"""
CmDenomination#0,"""CM"""
SgDenomination#0,"""SG"""
BcDenomination#0,"""BC"""
SpDenomination#0,"""SP"""
Cash#0,"""En posesión"""
CashMeseta#0,"""Meseta actual"""
CashAc#0,"""AC Actual"""
CashCp#0,"""CP Actual"""
CashFun#0,"""FUN Actual"""
CashStar#0,"""Stars Actual"""
CashCc#0,"""CC Actual"""
CashCm#0,"""CM Actual"""
CashSg#0,"""SGActual"""
CashBc#0,"""BC Actual"""
CashSp#0,"""SP Actual"""
CashDenomi#0,"""Actual $(0)"""
TotalAmount#0,"""Total"""
TotalMeseta#0,"""Meseta Total"""
TotalAc#0,"""Total AC"""
TotalCp#0,"""Total CP"""
TotalFun#0,"""Total FUN"""
TotalStar#0,"""Total Stars"""
TotalCc#0,"""Total CC"""
TotalCm#0,"""Total CM"""
TotalSg#0,"""Total SG"""
TotalBc#0,"""Total BC"""
TotalSp#0,"""Total SP"""
TotalDenomi#0,"""Total $(0)"""
InputBuyNumberTitle_Vita#0,"""Comprar"""
InputSellNumberTitle_Vita#0,"""Vender"""
StockNumber_Vita#0,"""$(0) ea."""
InsufficientCash#0,"""No tienes suficiente $(0)."""
BuyDayLimitOver#0,"""Artículo no disponible para la compra."""
ExchangeDayLimitOver#0,"""Artículo no disponible para intercambio."""
BuyNumLimitOver#0,"""Usted está tratando de comprar más que el máximo de compra."""
ExchangeNumLimitOver#0,"""Estás intentando intercambiar más que el máximo de intercambio."""
ItemBuyDBAccessError#0,"""La compra no ha podido ser completada porque el servidor está actualmente sobrecargado."""
ItemChangeDBAccessError#0,"""El intercambio no ha podido completarse porque el servidor está sobrecargado."""
ShopTitle#0,"""Tienda del Tesoro"""
MenuGuide#0,"""<c f0df60>Seleccione una tienda.<c>"""
MenuTitle#0,"""Shop Menu"""
MenuSG#0,"""Comprar con Star Gems"""
MenuMeseta#0,"""Comprar con Meseta"""
MenuEnd#0,"""Dejar la tienda"""
SgShopTitle#0,"""Comprar con Star Gems"""
SgShopGuide#0,"""<c f0df60>Seleccione los objetos a comprar. Pulse 'Update Listings<c><pict StarGem><c f0df60>' para cambiar la lista de productos.<c>"""
SgShopGuide_v#0,"""<c f0df60>Seleccione los objetos a comprar. Pulse 'Update Listings<c><pict StarGem><c f0df60>' para cambiar la lista de productos.<c>"""
MesetaShopTitle#0,"""Comprar con Meseta"""
