BuffToast_Prefix#0,"""'S """
BuffToast_Suffix#0,"""se le concedió."""
RegionMag:AttackBuff#0,""" Aumento de daño de ataque """
RegionMag:QuestDropRareUp#0,""" Rare Drop Impulso multiplicador """
RegionMag:ExpUp#0,""" Aumento de ganancia de EXP """
RegionMag:SeasonalPointUp#0,"""シーズンエネミー出現率上昇"""
BuffToast#0,"""$(0) por $(1)'s R Mag Boost [Todos]."""
MagName_1#0,"""Invencible Mag Regional"""
MagName_2#0,"""El habilidoso Mag Regional"""
MagName_3#0,"""El próspero Mag Regional"""
MagName_4#0,"""常勝のリージョンマグ"""
MagName_5#0,"""練達のリージョンマグ"""
MagName_6#0,"""千金のリージョンマグ"""
