Achievements_Fullsize_Title#0,"""Títulos"""
Achievements_Form_Title#0,"""Lista de títulos"""
Achievements_Filter_Accomplished#0,"""Títulos obtenidos"""
Achievements_Filter_InProgress#0,"""Títulos no obtenidos"""
Achievements_Filter_All#0,"""Todos los títulos"""
Achievements_Sort_Normal#0,"""Clasificación por defecto"""
Achievements_Sort_Get#0,"""Ordenar por Obtenido"""
Achievements_Point_Title#0,"""Puntos de logro"""
Achievements_Point#0,"""$(0) pt"""
Achievements_Total_Title#0,"""獲得称号数"""
Achievements_Total#0,"""$(0) 個"""
Achievements_Unknown#0,"""??????"""
Achievements_Progress_Title#0,"""Título Progreso"""
Achievements_Progress#0,"""$(0)/$(0)"""
Achievements_Button_Back#0,"""Atras"""
Achievements_Empty_List#0,"""No hay título aplicable"""
Achievements_Please_Wait#0,"""Por favor, espere un momento"""
Achievements_Details_Title#0,"""「$(0)」Detalles"""
Achievements_Details_RewardCheck1#0,"""<%Function> para ver los detalles de la recompensa"""
Achievements_Details_RewardCheck2#0,"""<%Function> para información básica"""
Achievements_Details_Rewind_Condition#0,"""Condiciones de aceptación"""
Achievements_Details_Rewind_Condition_Account#0,"""Una vez por cuenta"""
Achievements_Details_Rewind_Condition_Character#0,"""Una vez por personaje"""
Achievements_Details_Overview#0,"""Resumen"""
Achievements_Details_Overview_Template#0,"""La obtención de este título le permitirá utilizar $(0) en su ARKS ID."""
Achievements_Details_Reward#0,"""Recompensa"""
Achievements_Details_NoReward#0,"""No hay artículos de recompensa"""
Achievements_Basic_Info#0,"""Información básica"""
Achievements_Reward_Info#0,"""Detalles de la recompensa"""
Achievements_Operation_Info#0,"""←→で項目切り替え"""
Achievements_Details_Unselected#0,"""称号タスクが選択されていません。"""
Achievements_Detial_Tilte_Unselected#0,"""称号タスク詳細"""
Achievements_Detial_ItemName#0,"""称号名“$(0)”"""
Achievements_Reward_Quantity_Num#0,"""×$(0)"""
