Param_Value#0,"""$(0)"""
Param_Percent#0,"""$(0)%"""
Param_MaxValue#0,"""(MAX$(0))"""
Param_MaxValue_Limit#0,"""<bright_orange>(MAX$(0))<c>"""
Param_MaximumValue#0,"""（Max$(0)）"""
Param_MaximumValue_Limit#0,"""<bright_orange>（max$(0)）<c>"""
Param_ComparePlus#0,"""<light_orange2>+$(0)<c>"""
Param_ComparePlus_Percent#0,"""<light_orange2>+$(0)%<c>"""
Param_CompareMinus#0,"""<vivid_cyan2>-$(0)<c>"""
Param_CompareMinus_Percent#0,"""<vivid_cyan2>-$(0)%<c>"""
Label_Slash#0,"""/"""
Label_Hyphen#0,"""-"""
Label_WavyLine#0,"""~"""
Label_Rarity#0,"""Rarity"""
Label_AttackPower#0,"""Attack Power"""
Label_Defense#0,"""Defense Power"""
Label_HP#0,"""HP"""
Label_PP#0,"""PP"""
Label_AttackElement#0,"""Atributo"""
Label_Resist_Damage#0,"""Resistencia"""
Label_Resist_Element#0,"""Resist. a Elem."""
Label_Resist_Fire#0,"""Resiste Fuego"""
Label_Resist_Ice#0,"""Resiste Hielo"""
Label_Resist_Thunder#0,"""Resiste Rayo"""
Label_Resist_Wind#0,"""Resiste Aire"""
Label_Resist_Light#0,"""Resiste Luz"""
Label_Resist_Dark#0,"""Resiste Oscuridad"""
Label_EquipClass#0,"""Clases disponibles"""
Label_EquipNeed#0,"""Requisitos"""
Param_Level_Need#0,"""Nv.$(0)"""
Param_Level_Now#0,"""(Actual Nv.$(0))"""
Label_Trade#0,"""Intercambiar"""
Label_Trade_OK#0,"""Intercambiable"""
Label_Trade_NG#0,"""<pict unavailable_t> No Intercambiable"""
Label_Trade_Ownered#0,"""<pict register_owner>Registrado a ti"""
Label_Grind#0,"""Nivel de Grind"""
Label_Element#0,"""Special Abilities"""
Label_BonusElement#0,"""Special Ability Factor"""
Label_SpecialElement#0,"""S-Class Special Ability"""
Label_SpecialElement_Supported#0,"""Type"""
Label_Potential#0,"""Potential"""
Label_Potential_1#0,"""Potential 1"""
Label_Potential_2#0,"""Potential 2"""
