Accessories_Name1#0,"""Accesorio 1"""
Accessories_Name2#0,"""Accesorio 2"""
Accessories_Name3#0,"""Accesorio 3"""
Accessories_Name4#0,"""Accesorio 4"""
Accessories_FormTitle#0,"""Accesorios"""
List_FormTitle#0,"""Lista de Accesorio"""
NoAccessoriesMessage#0,"""Sin accesorios"""
Remove#0,"""Remover"""
AccessoryTab_All#0,"""Todos los accesorios"""
AccessoryTab_Hat#0,"""Cabeza (arriba)"""
AccessoryTab_Glasses#0,"""Cabeza (Medio)"""
AccessoryTab_HeadAll#0,"""Cabeza (accesorio)"""
AccessoryTab_Other#0,"""Otros"""
AccessoryTab_Favorite#0,"""Favoritos"""
Fashion_Title#0,"""Edición de moda"""
Fashion_Title2#0,"""Info de moda"""
Fashion_HairStyle#0,"""Peinado"""
Fashion_HeadParts#0,"""Piezas de la cabeza"""
Fashion_BodyPaint#0,"""Selección pintura corporal"""
Fashion_Costume#0,"""Disfraz"""
Fashion_Body#0,"""Partes del cuerpo"""
Fashion_Arm#0,"""Partes del brazo"""
Fashion_Leg#0,"""Partes de la pierna"""
Fashion_BaseWear#0,"""Selección de Ropa Base"""
Fashion_InnerWear#0,"""elección de Ropa interior"""
Fashion_OuterWear#0,"""elección de Chaqueta"""
Fashion_Acc#0,"""Equipar accesorios"""
Fashion_PaintPriority#0,"""Cambiar prioridad pintura corporal"""
Fashion_SwordPosition#0,"""Ubicación de la funda de arma"""
Fashion_MoveMotion#0,"""Tipo de movimiento"""
Fashion_MyFashion#0,"""Mi estilo"""
Item_Motion_Leg#0,"""Caminando"""
Item_Motion_Hover#0,"""Flotar"""
info_title_Hair#0,"""Peinado/Partes de la cabeza"""
info_title_Body#0,"""Pintura corporal"""
info_title_Costume#0,"""Disfraz"""
info_title_Parts#0,"""Partes"""
info_title_Layer#0,"""Capas de desgaste"""
info_title_Acc#0,"""Accesorios"""
info_title_Face#0,"""Cara"""
info_title_Make#0,"""Maquillaje"""
info_title_Sticker#0,"""Pegatina"""
info_Hair#0,"""Cabeza"""
info_Body#0,"""Cuerpo"""
info_Arm#0,"""Brazo"""
info_Leg#0,"""Pierna"""
info_Costume#0,"""Disfraz"""
info_Outer#0,"""Exterior"""
info_Base#0,"""Base """
info_Inner#0,"""Cuerpo interior"""
info_1#0,"""1"""
info_2#0,"""2"""
info_3#0,"""3"""
info_4#0,"""4"""
info_5#0,"""5"""
info_6#0,"""6"""
info_7#0,"""7"""
info_8#0,"""8"""
info_9#0,"""9"""
info_10#0,"""10"""
info_11#0,"""11"""
info_12#0,"""12"""
info_Face#0,"""Cara"""
info_Eye#0,"""Ojos"""
info_EyeR#0,"""Ojo derecho"""
info_EyeL#0,"""Ojo izquierdo"""
info_Eyebrow#0,"""Cejas"""
info_Eyelash#0,"""Pestañas"""
info_Teeth#0,"""Dientes"""
info_Horn#0,"""Cuernos"""
info_Ear#0,"""Orejas"""
info_Skin#0,"""Piel"""
Title_HairStyle#0,"""Peinadas"""
Title_HeadParts#0,"""Piezas de la cabeza"""
Title_BodyPaint#0,"""Pintura corporal"""
Title_Body#0,"""Cuerpos"""
Title_Arm#0,"""Brazos"""
Title_Leg#0,"""Piernas"""
Title_Costume#0,"""Disfraces"""
Title_Outer#0,"""Chaquetas"""
Title_Base#0,"""Ropa base"""
Title_Inner#0,"""Ropa interior"""
NoMessage#0,"""No hay artículos"""
FashionTab_All#0,"""Todo"""
FashionTab_Favorite#0,"""Favorito"""
NoItemMsg#0,"""Ninguno"""
NoOuterItemMsg#0,"""Sin Chaqueta"""
InvalidHyphen#0,"""－"""
Body_Name1#0,"""Pintura corporal 1"""
Body_Name2#0,"""Pintura corporal 2"""
Body_FormTitle#0,"""Pintura corporal"""
Body_List_FormTitle#0,"""Pintura corporal"""
NoAccessoriesMessage#1,"""Sin Pintura corporal"""
Remove#1,"""Remover"""
Favorite_Add#0,"""Agregar a favoritos"""
Favorite_Delete#0,"""Remover de favoritos"""
Body_display_1#0,"""Prioridad 1"""
Body_display_2#0,"""Prioridad 2"""
Body_display_3#0,"""Prioridad 3"""
MoveMotion_1#0,"""Caminando"""
MoveMotion_2#0,"""Flotar"""
Fashion_OtherFashion#0,"""Marcador"""
PageSwitch_PC#0,"""<%NextTabDetails>で切替"""
PageSwitch_Vita#0,"""<pict Sign_TRIANGLE>切替"""
Error_Title#0,"""Error """
Error_ImproperData_LoadMyFashion#0,"""Los datos contenían un error, no se pudieron cargar.<br><br>Corrija estos datos en el Salón o sobrescríbalos/elimínelos."""
Error_ImproperData_SaveMyFashion#0,"""Los datos actuales contenían un error, no se pudieron guardar.<br><br>Corrija estos datos en el Salón o sobrescríbalos/elimínelos."""
FashionTab_New_Base#0,"""N-Ropa base"""
FashionTab_Base#0,"""Ropa base"""
FashionTab_New_Inner#0,"""N-Ropa interior"""
FashionTab_Inner#0,"""Ropa interior"""
FashionTab_New_Body#0,"""N-Body"""
FashionTab_Body#0,"""Body"""
FashionTab_New_Arms#0,"""N-Arms"""
FashionTab_Arms#0,"""Arms"""
FashionTab_New_Legs#0,"""N-Legs"""
FashionTab_Legs#0,"""Legs"""
FashionTab_New_Outer#0,"""N-Outerwear"""
FashionTab_Outer#0,"""Outerwear"""
Fashion_Incompatible#0,"""非対応"""
info_title_Motion#0,"""モーション変更"""
info_Motion_Wait#0,"""待機"""
info_Motion_Run#0,"""移動"""
info_Motion_Jump#0,"""ジャンプ"""
info_Motion_Landing#0,"""着地"""
info_Motion_Dash#0,"""ダッシュ"""
info_Motion_Glide#0,"""グライド"""
info_Motion_Swim#0,"""泳ぐ"""
TopMenuTitle#0,"""Catálogo de moda"""
TopMenuItem_Ranking#0,"""Ver la moda de todos"""
TopMenuItem_Search#0,"""Buscar moda de todos"""
TopMenuItem_Posting#0,"""Registra tu moda"""
TopMenuItem_Confirm#0,"""Confirma tu moda"""
TopMenuItem_ConfirmNiceCnt#0,"""Confirma tu moda ($(0))"""
TopMenuItem_ConfirmNiceCntStop#0,"""Confirma tu moda (99+)"""
TopMenuItem_Release#0,"""Retirar registro"""
TopMenuItem_Back#0,"""Volver"""
TitleProfile#0,"""Información de moda"""
LikeButton#0,"""¡Me gusta!"""
RegistButton#0,"""Registrar Marcador"""
BackButton#0,"""Volver"""
