ScratchMenue_Title#0,"""Play Scratch Tickets"""
ScratchMenue_Help#0,"""Compre boletos para raspar usando moneda o boletos y obtenga premios"""
ScratchChoice_Title#0,"""Seleccione un Scratch"""
ScratchChoice_Possession#0,"""Efectivo actual"""
ScratchChoice__FreebieListButton#0,"""Lista de Objetos"""
ScratchChoice__PossessionTicket#0,"""Tickets en propiedad"""
ScratchChoice__PossessionTicketCount#0,"""$(0)"""
ScratchChoice__StepUp1#0,"""Stage 1"""
ScratchChoice__StepUp2#0,"""Stage 2"""
ScratchChoice__StepUp3#0,"""Stage 3"""
ScratchChoice_IncentiveTicketName#0,"""スペシャルスクラッチ券"""
ScratchChoice_IncentiveTicketCount#0,"""$(0)枚"""
ScratchChoice__BuyScratchAC#0,"""Jugar $(1) vez(s) con<br>AC: $(0) <pict ac_icon_22>"""
ScratchChoice__BuyScratchSG#0,"""Jugar $(1) vez(s) con<br>SG: $(0) <pict sg_icon_22>"""
ScratchChoice__BuyScratchTicket#0,"""スクラッチ券で<br>$(1)回引く<br>必要数：$(0)枚"""
ScratchChoice__BuyScratchNoCharge#0,"""Juega $(0) veces gratis<br>Se restablece diariamente <utc>8:00</utc>"""
ScratchChoice__CountBonus#0,"""¡Solo queda $(0) más!"""
ScratchChoice__CouponButton#0,"""Intercambio de billetes<br>$(0)"""
ScratchChoice__ScratchCategory_AC#0,"""AC Scratch Tickets"""
ScratchChoice__ScratchCategory_SG#0,"""SG Scratch Tickets"""
ScratchChoice__ScratchCategory_Ticket#0,"""スペシャルスクラッチ"""
ScratchChoice__ScratchCategory_NoCharge#0,"""Libre"""
ScratchChoice__ScratchCategory_StepUp#0,"""Sube de nivel"""
ScratchChoice_ConfirmationAC#0,"""<pict Arcscash>Pago de AC requerido<br>Compra $(1)<br>por $(0)AC.<br>¿Proceder?"""
ScratchChoice_ConfirmationSG#0,"""<pict StarGem>Pago de SG requerido<br>Compra $(1)<br>por $(0)SG.<br>¿Proceder?"""
ScratchChoice_ConfirmationTicket#0,"""$(1)を<br>スクラッチ券$(0)枚で購入します。<br>よろしいですか？"""
ScratchChoice_ConfirmationNoCharge#0,"""Juega $(0) una vez gratis.<br>Nota: Puedes jugar todos los días a las <utc>8:00</utc>.<br>¿Estás seguro de que deseas continuar?"""
ScratchChoice_ConfirmationACre#0,"""<pict Arcscash>Pago de AC requerido<br>Continuar comprando $(1)<br>por $(0)AC.<br>¿Proceder?"""
ScratchChoice_ConfirmationSGre#0,"""<pict StarGem>Pago de SG requerido<br>Continuar comprando $(1)<br>por $(0)SG.<br>¿Proceder?"""
ScratchChoice_ConfirmationTicketRe#0,"""Continuar comprando $(3)<br>para $(2)$(0)$(1)<br>¿Proceder?"""
ScratchChoice_ConfirmationNoChargeRe#0,"""Juega $(0) una vez gratis.<br>Nota: Puedes jugar todos los días a las <utc>8:00</utc>.<br>¿Estás seguro de que deseas continuar?"""
ScratchResult_Title#0,"""Resultados Scratch"""
ScratchResult_Explanation#0,"""Ha ganado los siguientes premios. <br>Recuperarlos del almacén de boletos para rascar.<br><yellow>Por favor, tenga en cuenta que hay un límite de tiempo para recuperarlos.<c>"""
ScratchResult_UseTicket_Title#0,"""Confirmación de uso de Ticket"""
ScratchResult_UseTicket_Mess#0,"""¿Usar el artículo que ha seleccionado?"""
ScratchResult_UseTicket_Mess_NoUse#0,"""Están disponibles las siguientes entradas. <br>¿Quieres usarlos tal cual? <br><br>*También puedes seleccionar de la lista y utilizarlos uno a uno."""
ScratchResult_1UseTicket_Mess#0,"""$(0) sera usado.<br>Continuar?"""
ScratchResult_UseTicket_AllUse#0,"""Usar todo"""
ScratchResult_AllUseTicket_Title#0,"""Confirmación de uso de Ticket"""
ScratchResult_AllUseTicket_Mess#0,"""¿Quieres utilizar todos los objetos?"""
ScratchError_StorageMax_Title#0,"""Almacén de billetes para raspar lleno"""
ScratchError_StorageMax_Mess#0,"""No se han podido comprar boletos para raspar porque su almacén de boletos para raspar está lleno.<br><br>Retire algunos premios e inténtelo de nuevo."""
ScratchError_AC_Shortage_Title#0,"""AC insuficiente :c"""
ScratchError_AC_Shortage_Mess#0,"""No tiene suficiente AC.<br><br>¿Comprar más?"""
ScratchError_SG_Shortage_Title#0,"""SG insuficiente :c"""
ScratchError_SG_Shortage_Mess#0,"""No tiene suficiente SG.<br><br>¿Comprar más?"""
ScratchError_Ticket_Shortage_Title#0,"""Tickets insuficientes"""
ScratchError_Ticket_Shortage_Mess#0,"""No tienes suficiente <$item_name>.<br>¿Compras más?"""
ScratchPrizeList_Title#0,"""Lista de objetos"""
ScratchPrizeList_PrizeItem#0,"""Artículo gratuito"""
ScratchPrizeList_EmissionRate#0,"""Tasa de emisión"""
Bonus_Title#0,"""Verificar bonificación"""
Bonus_Text01#0,"""Veces que ha jugado a este billete de lotería"""
Bonus_Text02#0,"""<$Count>Veces"""
Bonus_Text03#0,"""Una vez que se ha ganado todo, el contador se pone a cero y se puede empezar a ganar de nuevo."""
PrizeChange_Check_Title#0,"""Confirmación de cambio"""
PrizeChange_Check_Mess01#0,"""Intercambiar 1 $(2) por $(0).<br>¿Está seguro?<br>Nota: Sólo se consumirán los siguientes artículos.<br><br>(Sus billetes de intercambio: $(1))"""
PrizeChange_Check_Complete#0,"""Cambio completado"""
PrizeChange_Check_Error#0,"""No se puede intercambiar. Su inventario está lleno o ha superado su límite de carga."""
PrizeChange_Check_Error02#0,"""No se ha podido comprar el billete de lotería que ha seleccionado. Por favor, compruebe el Sitio del Jugador para más detalles."""
EmissionParcent#0,"""$(0)%"""
ScratchLabelBonus#0,"""Bonus"""
ScratchLabelStage1#0,"""Stage 1"""
ScratchLabelStage2#0,"""Stage 2 (y superior)"""
AllUse#0,"""Usar todo"""
Title_scratch#0,"""Lista de artículos adquiridos"""
Title_useitem#0,"""Usar objeto"""
scratch_message#0,"""¡Ganó los siguientes premios!"""
bonus_message#0,"""Adquiere todos los premios en la Stage 1 para pasar a la Stage 2 y superior.<br>En la Stage 2 y superior puedes conseguir premios repetidamente."""
useitem_message#0,"""¿Utilizar todos los artículos del billete disponibles obtenidos?<br>También puede seleccionar qué artículos utilizar uno por uno.<br><yellow>Nota: Los artículos enviados al almacén no se mostrarán.<c>"""
Tags01#0,"""¡Recomendado!"""
Tags02#0,"""¡Popular!"""
Tags03#0,"""¡Bonos!"""
GachaBonusCommentNothing_re#0,"""Este boleto de raspado<br>no tiene premios de bonificación de cuenta."""
GachaBonusCommentAchieved_re#0,"""Has ganado<br>todos los premios de bonificación para este Billete."""
ScratchChoice_LimitedTime#0,"""Disponible hasta"""
ScratchStep_CurrentStep#0,"""現在のステップ"""
ScratchStep_CurrentStep2#0,"""Step.$(0)（現在のステップ）"""
ScratchStep_Step#0,"""Step.$(0)"""
ScratchStep_CurrentStepBonus#0,"""<c 97e2fc>現在のステップボーナス<c><br>$(0)"""
ScratchStep_Bonus01#0,"""効果無し"""
ScratchStep_Bonus02#0,"""イチオシ景品入手確率UP($(0)倍)"""
ScratchStepBonus_Title#0,"""ステップボーナス確認"""
ScratchStepBonus_Text#0,"""スクラッチを引いた回数に応じてステップが上がります。<br>現在のステップ数に応じてステップボーナスが発生します。"""
Title#0,"""Scratch Ticket Storage"""
Header_ItemName#0,"""Nombre del artículo"""
Header_SavePeriod#0,"""Vencimiento del almacén"""
Sort_Save#0,"""Vencimiento del almacén"""
Sort_Reality#0,"""Rareza"""
Sort_Costume#0,"""Equipo/Partes"""
Sort_Camouflage#0,"""Camuflaje de armas"""
Sort_Consumables#0,"""Consumibles"""
Sort_etr#0,"""Otros"""
ReceiveButton#0,"""Tomar todo"""
SavePeriodNote_Title#0,"""Vencimiento del almacén"""
SavePeriodNote_Header1#0,"""Artículos más allá de su vencimiento"""
SavePeriodNote_Header1Mess#0,"""<yellow>Los artículos almacenados en el almacén de billetes de raspado tienen una<br>expiración.<c>Los artículos que sobrepasen su caducidad de almacenamiento<br>se convertirán automáticamente en puntos de canje.<br>Asegúrate de recuperar tus artículos."""
SavePeriodNote_Header2#0,"""Conversión de puntos de intercambio"""
SavePeriodNote_Header2Mess#0,"""Convertir en un billete de raspado y gana"""
StorageCheck_Title#0,"""Select Retrieval Storage"""
StorageCheck_Mess#0,"""Elija dónde enviar los artículos $(0).<br><yellow>Nota: Los artículos que excedan la capacidad no se enviarán.<c>"""
StorageCheck_BuckButton#0,"""Volver"""
StorageCheck_GetPrize#0,"""Artículo recibido"""
StorageCheck_MaxError#0,"""No hay espacio en el destino.<br>Por favor, seleccione otro destino o despeje algún espacio."""
StorageCheck_GetPrize2#0,"""Algunos artículos no pudieron ser recuperados."""
ChangePoint_Title#0,"""Scratch Tickets"""
ChangePoint_Text01#0,"""El periodo de recuperación ha expirado.<br>Los siguientes elementos se han convertido en Puntos de Canje."""
ChangePoint_Text02#0,"""Nombre del premio"""
ChangePoint_Text03#0,"""Periodo de almacenaje"""
ChangePoint_Text04#0,"""Puntos"""
ChangePoint_Text05#0,"""Hasta $(0)"""
ChangePoint_CloseButton#0,"""Cerrar"""
ChangePoint_mess01#0,"""Tiene artículos no recuperados en el almacén de boletos de raspar."""
ChangePoint_mess02#0,"""<pure_red>Tiene artículos no recuperados próximos a caducar<c> en el almacén de billetes de raspado."""
