Title_Yellow#0,"""【イエローポータル：$(0)】"""
Title_Purple#0,"""【パープルポータル：$(0)】"""
DirectionTitle#0,"""【$(0)】"""
Battledia#0,"""バトルディア"""
Title_Blue#0,"""【ブルーポータル：バリアブル】"""
Title#0,"""Entrenador Cocoon"""
DirectionTitle#1,"""【$(0)】"""
BrokenAllBarrierPod#0,"""El contenedor ahora está desprotegido."""
LestBarrierPodNum#0,"""$(0) Quedan vainas de barrera."""
BarrierActive#0,"""Se han desplegado vainas de barrera alrededor del contenedor."""
Title#1,"""Dispositivo Ryuker """
DirectionTitle#2,"""【$(0)】"""
GetItem#0,"""Obtuvo un objeto del paquete de mensajes."""
Title#2,"""Mag Regional"""
DirectionTitle#3,"""【$(0)】】"""
Title#3,"""Torre Trainia"""
DirectionTitle#4,"""【$(0)】"""
TookThis#0,"""フォトンブラストがチャージされた"""
