ssc_506050_0010#0,"""อ้าว ไง"""
ssc_506050_0020#0,"""...หืม?"""
ssc_506050_0030#0,"""ไง บังเอิญมาเจอกันในที่แปลกๆ ซะได้นะ?"""
ssc_506050_0040#0,"""มาทำอะไรที่นี่เหรอ?"""
ssc_506050_0050#0,"""ทำไมถึงอยู่กับเกลน (Guren) ล่ะ?"""
ssc_506050_0060#0,"""ได้ยินมาว่า Plant แห่งนี้ค่อนข้างคล้ายกับที่มาคัด (Maqaad) ของพวกเราน่ะ"""
ssc_506050_0070#0,"""ก็เลยอยากจะมาดูให้เห็นกับตาตัวเองสักหน่อย"""
ssc_506050_0080#0,"""ได้ยินมาว่า Plant แห่งนี้ค่อนข้างคล้ายกับศูนย์วิจัยมาคัด (Maqaad) ในรีเทม (Retem) น่ะ"""
ssc_506050_0090#0,"""ก็เลยขอให้เกลน (Guren) ช่วยนำทางมาให้น่ะ"""
ssc_506050_0100#0,"""ที่นี่ดูคล้ายกับมาคัด (Maqaad) จริงๆ ด้วยสิ"""
ssc_506050_0110#0,"""ได้ยินเรื่องนี้มาจากอิลม่า (Ilma) น่ะนะ แต่..."""
ssc_506050_0120#0,"""พวกชาวเลเซียล (Lecielan) บอกว่ามี<br>Plant แบบนี้กระจายอยู่เต็มไปหมดเลยล่ะ"""
ssc_506050_0130#0,"""เต็มไปหมดเลยงั้นเหรอ?"""
ssc_506050_0140#0,"""แม้แต่พ้นทะเลออกไปงั้นเหรอ?"""
ssc_506050_0150#0,"""ไม่ใช่แค่บนดินแดนที่พวกเราเรียกว่าฮาลฟา (Halpha) หรอกนะ"""
ssc_506050_0160#0,"""มันมีอยู่แม้กระทั่งเลยเขตทะเลออกไปด้วยซ้ำ"""
ssc_506050_0170#0,"""อื้อ ใช่เลยล่ะ"""
ssc_506050_0180#0,"""ชายฝั่งทางตะวันตกของเอลิโอ (Aelio) มักจะเจอศัตรูอยู่บ่อยๆ น่ะ<br>นั่นเป็นเหตุผลว่าทำไมเมืองเอลิโอ (Aelio Town) ถึงสำคัญมากยังไงล่ะ"""
ssc_506050_0190#0,"""เป็นไปได้ไหมว่าอาจจะมี Plant<br>อยู่ไกลออกไปในทะเลน่ะ?"""
ssc_506050_0200#0,"""ก็มีความเป็นไปได้อยู่นะ"""
ssc_506050_0210#0,"""เขาว่ากันว่าส่วนใหญ่ก็ใช้งานไม่ได้แล้วล่ะ<br>แต่ก็ใช่ว่าพวกชาวเลเซียล (Lecielan) จะรู้ไปซะทุกเรื่องหรอกนะ"""
ssc_506050_0220#0,"""มีวิธีหยุดสายการผลิต DOLLS บ้างไหม?"""
ssc_506050_0230#0,"""มีวิธีควบคุมศูนย์วิจัยพวกนี้บ้างไหม?"""
ssc_506050_0240#0,"""ไม่ล่ะ ยังไม่มีข้อมูลใหม่เกี่ยวกับเรื่องนั้นเลย"""
ssc_506050_0250#0,"""งั้นต่อให้มีข้อมูลจากชาวเลเซียล (Lecielan)<br>สถานการณ์ของพวกเราก็ยังไม่เปลี่ยนไปเลยสินะ"""
ssc_506050_0260#0,"""สิ่งเดียวที่พวกเราได้เรียนรู้จริงๆ ก็คือในตอนนี้<br>ยังไม่มีวิธีหยุดการผลิตพวก DOLLS เพิ่มเติมน่ะ"""
ssc_506050_0270#0,"""นั่นสิ ทำอะไรไม่ได้หรอก<br>นอกจากตั้งสติแล้วก็คอยค้นหาต่อไปล่ะนะ"""
ssc_506050_0280#0,"""..."""
