ssc_506040_0010#0,"""ไง <%me>"""
ssc_506040_0020#0,"""ได้ยินเรื่องความพยายามของเธอ<br>ในภูมิภาคอื่นๆ มาบ้างแล้วล่ะ"""
ssc_506040_0030#0,"""ได้ยินมาว่าแม้แต่ในสเตีย (Stia) เธอเอง<br>ก็คว้าชัยชนะครั้งใหญ่มาได้สินะ"""
ssc_506040_0040#0,"""ไม่ได้ทำอะไรพิเศษเลยนะ"""
ssc_506040_0050#0,"""นั่นไม่ใช่แค่ฉันคนเดียวหรอกนะ"""
ssc_506040_0060#0,"""อย่าถ่อมตัวไปหน่อยเลยน่า"""
ssc_506040_0070#0,"""ใครๆ ต่างก็ยอมรับในความแข็งแกร่งของเธอนะ"""
ssc_506040_0080#0,"""มั่นใจเลยว่าไม่ใช่แบบนั้นหรอก"""
ssc_506040_0090#0,"""พวกเราเองก็ต่อสู้ร่วมกับ<br>พวกเธอทั้งสามคน และพวกเราก็ได้รับชัยชนะ"""
ssc_506040_0100#0,"""พวก DOLLS น่ะไม่สามารถเอาชนะได้<br>ด้วยความแข็งแกร่งของคนๆ เดียวหรอกนะ"""
ssc_506040_0110#0,"""ว่าแต่ ได้ยินมาว่าที่สเตีย (Stia) มี<br>ศูนย์วิจัยที่เกี่ยวข้องกับพวก DOLLS อยู่เยอะเลยสินะ"""
ssc_506040_0120#0,"""ในจำนวนนั้น ศูนย์วิจัยที่เรียกกันว่าโรงผลิตพลังงาน<br>มีความคล้ายคลึงกับมาคัดตอนล่าง (Lower Maqaad) ของพวกเรามากเลยล่ะ"""
ssc_506040_0130#0,"""ได้ยินมาว่ามีเครื่องจักร<br>ที่สามารถผลิตพวก DOLLS ได้อยู่ด้วยสินะ"""
ssc_506040_0140#0,"""อืมมม..."""
ssc_506040_0150#0,"""เคยคิดเอาไว้ว่าพวก DOLLS เป็นสิ่งมีชีวิต<br>ที่สามารถขยายพันธุ์ได้ตามธรรมชาติซะอีก..."""
ssc_506040_0160#0,"""ดูเหมือนว่าฉันจะเข้าใจผิดไปเองสินะ"""
ssc_506040_0170#0,"""นี่หมายความว่ามีใครบางคน... สร้าง DOLLS ขึ้นมางั้นเหรอ?<br>ใครกันล่ะ สร้างเมื่อไหร่ และทำไมถึงต้องสร้างมันขึ้นมาด้วย...?"""
ssc_506040_0180#0,"""...ไม่สิ ถึงแม้จะมีข้อสงสัยอยู่มากมาย<br>แต่งานวิจัยแบบนั้นมันเกินความสามารถของฉันไปหน่อยล่ะนะ"""
ssc_506040_0190#0,"""คงต้องปล่อยให้เป็นหน้าที่ของครอว์ฟอร์ด (Crawford) และทีมของเขาล่ะนะ"""
ssc_506040_0200#0,"""พวกเรา เหล่า ARKS แห่งรีเทม (Retem) กำลัง<br>เตรียมพร้อมสำหรับการต่อสู้ครั้งใหม่ล่ะ"""
ssc_506040_0210#0,"""ในที่สุดพวกเราก็ฟื้นตัวจากบาดแผลที่ Lenus Retem<br>ทิ้งเอาไว้ได้แล้ว และตอนนี้กำลังจัดระเบียบกองกำลังของพวกเราใหม่น่ะ"""
