ssc_506010_0010#0,"""หืม...? อ้า <%me> นี่เอง"""
ssc_506010_0020#0,"""มาทำอะไรแถวนี้เหรอ?"""
ssc_506010_0030#0,"""อยู่คนเดียวไม่อันตรายเหรอ?"""
ssc_506010_0040#0,"""แค่ออกมาเดินเล่นน่ะ แล้วก็<br>คอยจัดการศัตรูแถวนี้ไปด้วย"""
ssc_506010_0050#0,"""จัดการศัตรูแถวนี้ได้สบายมากอยู่แล้วล่ะ"""
ssc_506010_0060#0,"""อ้า มาได้จังหวะพอดีเลย<br>ขอคำปรึกษาอะไรหน่อยได้ไหม?"""
ssc_506010_0070#0,"""อืม เป็นเรื่องเกี่ยวกับความสัมพันธ์ของ<br>รีเทม (Retem) และเอลิโอ (Aelio) ในอนาคตน่ะ"""
ssc_506010_0080#0,"""ตอนนี้พวกเราก็ร่วมมือกันอย่างเป็นทางการแล้ว คงต้อง<br>เริ่มเรียนรู้เกี่ยวกับอีกฝ่ายให้มากขึ้นสักหน่อยล่ะนะ"""
ssc_506010_0090#0,"""แต่กลับไม่ค่อยรู้อะไร<br>เกี่ยวกับเอลิโอ (Aelio) เท่าไหร่เลยน่ะสิ"""
ssc_506010_0100#0,"""โดยเฉพาะเรื่องที่ไม่เกี่ยวกับการต่อสู้:<br>พวกวัฒนธรรมและประเพณีน่ะ"""
ssc_506010_0110#0,"""ก็เลยคิดว่าควรจะเริ่มจากการคุยกับ<br>เธอและสาวๆ ดูก่อนน่ะ เพราะน่าจะคุ้นเคยกันดีอยู่แล้ว"""
ssc_506010_0120#0,"""อ้อ ไม่ใช่เรื่องซับซ้อนอะไรหรอก แค่บทสนทนาสบายๆ<br>แบบที่คุยกันอยู่ตอนนี้ก็พอแล้วล่ะ"""
ssc_506010_0130#0,"""คิดว่าไงล่ะ?"""
ssc_506010_0140#0,"""ได้สิ ถามมาเลย"""
ssc_506010_0150#0,"""ยินดีที่จะได้คุยด้วยเลยล่ะ"""
ssc_506010_0160#0,"""งั้นเหรอ? ขอบใจมากนะ"""
ssc_506010_0170#0,"""ข-เข้าใจแล้วล่ะ ถ้างั้นก็ตกลง"""
ssc_506010_0180#0,"""ถึงจะเคยคุยกับมาน่อนมาบ้าง<br>เรื่องเทคโนโลยีของพวกเรา..."""
ssc_506010_0190#0,"""แต่สำหรับไอน่าแล้ว ยังไม่ค่อย<br>มีโอกาสได้คุยกันเท่าไหร่เลยน่ะ"""
ssc_506010_0200#0,"""...จะพูดยังไงดีล่ะ คนที่มีจิตวิญญาณแบบเธอ<br>ไม่ค่อยมีให้เห็นที่รีเทม (Retem) นักหรอกนะ"""
ssc_506010_0210#0,"""จนไม่รู้จะเริ่ม<br>บทสนทนายังไงเลยล่ะ"""
ssc_506010_0220#0,"""ปกติแล้วเธอเข้าไปคุยกับเธอยังไงเหรอ?"""
ssc_506010_0230#0,"""อย่างเช่น มีเรื่องไหน<br>ที่เธอสนใจเป็นพิเศษหรือเปล่าล่ะ หรือว่า...?"""
ssc_506010_0240#0,"""เธอค่อนข้างสนใจเพลงของเธอน่ะ"""
ssc_506010_0250#0,"""พวกเราคุยกันเรื่องพรสวรรค์อะไรพวกนั้นแหละ"""
ssc_506010_0260#0,"""เพลงของฉันงั้นเหรอ?"""
ssc_506010_0270#0,"""อืม<br>คิดว่านั่นน่าจะโอเคใช่ไหมล่ะ?"""
ssc_506010_0280#0,"""พรสวรรค์งั้นเหรอ?"""
ssc_506010_0290#0,"""เดาว่าพรสวรรค์ของฉันคงจะเป็นการต่อสู้ล่ะมั้ง...<br>ไม่สิ คงจะเป็นการร้องเพลงมากกว่าแหละ"""
ssc_506010_0300#0,"""เข้าใจล่ะ เดี๋ยวจะลองดู<br>ถ้ามีโอกาสได้เจอเธอล่ะนะ ขอบใจมาก"""
ssc_506010_0310#0,"""ยังพอมีเวลาอยู่ใช่ไหม? อยากให้เล่า<br>เรื่องของตัวเองให้ฟังด้วยเหมือนกันน่ะ <%me>"""
ssc_506010_0320#0,"""เอาล่ะ...<br>งั้นเริ่มจากเรื่อง..."""
