ssc_506030_0010#0,"""อ้า ไง..."""
ssc_506030_0020#0,"""..."""
ssc_506030_0030#0,"""ถ้าไม่รังเกียจ ช่วยอยู่<br>ฟังฉันพูดสักแป๊บจะได้ไหม?"""
ssc_506030_0040#0,"""...เป็นการต่อสู้ที่ยาวนานมากเลยล่ะ"""
ssc_506030_0050#0,"""มันยังห่างไกลจากคำว่าจบสิ้น แต่พวกเราก็สามารถ<br>หยุดพักหายใจกันได้ชั่วครู่ล่ะนะ"""
ssc_506030_0060#0,"""ในการต่อสู้อันไม่รู้จบกับ 'Lenus Retem' นี้น่ะ"""
ssc_506030_0070#0,"""แค่การหยุดพักเพียงครั้งเดียว<br>ต้องแลกมาด้วยความสูญเสียมากมายขนาดนี้เลย"""
ssc_506030_0080#0,"""ถ้าหากไม่ได้รับความช่วยเหลือจากพวกเธอทุกคน<br>ถ้าพวกเรายังคงดึงดันต่อสู้ต่อไปแบบนั้นล่ะก็..."""
ssc_506030_0090#0,"""ท้ายที่สุดแล้วพวกเราก็คงจะพ่ายแพ้อย่างแน่นอน"""
ssc_506030_0100#0,"""พวกเราชาวรีเทม (Retem) มักจะแก้ไข<br>ปัญหาทั้งหมดด้วยความแข็งแกร่งของตัวเองมาตลอดเลยล่ะ"""
ssc_506030_0110#0,"""พวกเราสร้างสังคมที่พึ่งพาตัวเองได้อย่างสมบูรณ์แบบ<br>โดยที่ไม่เคยร้องขอความช่วยเหลือจากคนนอกเลย"""
ssc_506030_0120#0,"""นั่นเป็นสิ่งที่<br>ทำให้พวกเราภาคภูมิใจมาตลอดเลยล่ะ"""
ssc_506030_0130#0,"""เนินทรายที่ปกคลุมไปด้วยทราย"""
ssc_506030_0140#0,"""ชายแดนภูเขา"""
ssc_506030_0150#0,"""มุมมองของพวกเราคงจะแคบลงไปเยอะเลยล่ะ<br>จากการที่ใช้ชีวิตอยู่ในโลกที่โดดเดี่ยวแบบนี้น่ะ"""
ssc_506030_0160#0,"""ตอนที่เธอและสาวๆ มาที่ดินแดนแห่งนี้เป็นครั้งแรก<br>พวกเราหลายคนมองพวกเธอด้วยความคลางแคลงใจน่ะ"""
ssc_506030_0170#0,"""บางคนถึงกับพูดเลยนะว่า ไม่มีอะไรจะน่าอับอาย<br>ไปกว่าการต้องให้เอลิโอ (Aelio) มาช่วยกอบกู้สถานการณ์อีกแล้ว"""
ssc_506030_0180#0,"""เหตุผลส่วนหนึ่งที่ตอนแรกฉันปฏิเสธความช่วยเหลือของพวกเธอ<br>ก็เป็นเพราะความคิดเห็นของคนเหล่านั้นนั่นแหละ"""
ssc_506030_0190#0,"""พอมาคิดดูตอนนี้แล้ว<br>มันก็เป็นแค่ความหยิ่งทะนงที่โง่เขลาเท่านั้นเองล่ะนะ"""
ssc_506030_0200#0,"""คนที่ทำให้ฉัน<br>ตระหนักถึงเรื่องนั้นก็คือพวกเธอทั้งสามคนนั่นแหละ"""
ssc_506030_0210#0,"""ในดินแดนที่ไม่คุ้นเคย พวกเธอทุกคนเป็นฝ่าย<br>ลงมือทำก่อน และพวกเธอก็สร้างผลลัพธ์ให้เห็น"""
ssc_506030_0220#0,"""ภาพนั้นทำให้จาลิล (Jalil) และโมห์เซน (Mohsen)<br>เปลี่ยนความคิดไปเลยล่ะ"""
ssc_506030_0230#0,"""และรวมถึงฉันด้วยเหมือนกัน"""
ssc_506030_0240#0,"""ขอขอบคุณอีกครั้งนะ"""
ssc_506030_0250#0,"""ขอบคุณที่ช่วยรีเทม (Retem) ให้รอดพ้นจากวิกฤตการณ์ในครั้งนี้นะ"""
ssc_506030_0260#0,"""พวกเราทุกคนทำเต็มที่น่ะ"""
ssc_506030_0270#0,"""เป็นเพราะมันสมองอันเฉียบแหลมของมาน่อนต่างหากล่ะ"""
ssc_506030_0280#0,"""อื้อ ใช่เลยล่ะ"""
ssc_506030_0290#0,"""นั่นสินะ... เด็กคนนั้นชอบกดดันตัวเองมากเกินไปน่ะ"""
ssc_506030_0300#0,"""ฉันมักจะรู้สึก<br>ละอายใจเสมอเลยเวลาที่มายืนอยู่ตรงนี้น่ะ"""
ssc_506030_0310#0,"""แม้แต่ตอนนี้ ความรู้สึกนั้นก็ยังคงชัดเจนอยู่เลย..."""
ssc_506030_0320#0,"""แต่ในตอนนี้ สามารถบอกเล่าให้พวกเขาฟัง<br>ได้แล้วล่ะว่าการต่อสู้จบลงยังไง"""
ssc_506030_0330#0,"""การที่พวกเรามาอยู่ตรงนี้ได้ในวันนี้ ก็เป็นเพราะ<br>บรรพบุรุษของพวกเราต่อสู้มาอย่างหนักยังไงล่ะ"""
ssc_506030_0340#0,"""และในท้ายที่สุด พวกเราก็ได้รับชัยชนะ"""
ssc_506030_0350#0,"""ไม่มีใครเลยที่ต้องตายอย่างไร้ค่า"""
ssc_506030_0360#0,"""ยิ่งไปกว่านั้น ความรู้สึกที่ฉันใส่ลงไปใน<br>บทเพลงที่อุทิศให้ ก็กำลังเปลี่ยนไปด้วยล่ะ..."""
ssc_506030_0370#0,"""...จริงสิ สงสัยเรื่องนี้มาตลอดเลย..."""
ssc_506030_0380#0,"""มาน่อนรู้เนื้อร้อง<br>ของ 'บทเพลงไว้อาลัย (Song of Mourning)' ได้ยังไงงั้นเหรอ?"""
ssc_506030_0390#0,"""...ไม่รู้สิ"""
ssc_506030_0400#0,"""เธอค้นคว้าแล้วก็ศึกษาข้อมูลมาเยอะน่ะ"""
ssc_506030_0410#0,"""งั้นเหรอ..."""
ssc_506030_0420#0,"""อยากจะถามเธอด้วยตัวเองนะ<br>แต่มันเป็นเพลงที่ค่อนข้างพิเศษน่ะ"""
ssc_506030_0430#0,"""เธออาจจะมีเหตุผล<br>อะไรบางอย่างของเธอล่ะมั้ง"""
ssc_506030_0440#0,"""มันเป็นเพลงที่สืบทอดกันมา<br>หลายชั่วอายุคนในครอบครัวของฉัน..."""
ssc_506030_0450#0,"""แต่มันก็เป็นเพลง<br>ที่ผู้คนมากมายรู้จักล่ะนะ"""
ssc_506030_0460#0,"""คิดว่าคงไม่ใช่เรื่องแปลกอะไร<br>ถ้าหากว่าเธอเคยได้ยินมาจากที่ไหนสักแห่งมาก่อนน่ะ"""
ssc_506030_0470#0,"""...เอาล่ะ รบกวนเวลาของเธอมามากพอแล้วล่ะ<br>ไว้ค่อยคุยเรื่องนั้นกันทีหลังก็แล้วกันนะ"""
ssc_506030_0480#0,"""ถ้าไม่รังเกียจ มาทำความเคารพ<br>ด้วยกันเถอะ"""
