ssc_012030_5010#0,"""อะไรน่ะ?"""
ssc_012030_0010#0,"""ประกาศฉุกเฉิน! ขณะนี้ทางเรากำลังเตรียมการปฏิบัติการขนาดใหญ่ในภูมิภาคเอลิโอ (Aelio) ขอให้ ARKS ทุกนายเตรียมพร้อมออกปฏิบัติการ"""
ssc_012030_5020#0,"""เกิดอะไรขึ้นน่ะ?"""
ssc_012030_0020#0,"""ได้ยินฉันไหม? แม้จะยังไม่ได้รับการยืนยัน แต่พวกเราเพิ่งจะจับสัญญาณที่ดูเหมือนว่าจะเป็น Dark Falz ได้"""
ssc_012030_0030#0,"""ตอนนี้ฉันกำลังเตรียมพร้อม เซ็นทรัลแคนนอน (Central Cannon) อยู่ ขอให้พวกเธอเตรียมตัวของตัวเองและพร้อมรับมือได้ในทันทีเลยนะ"""
ssc_012030_5030#0,"""เขาบอกว่า Dark Falz ล่ะ!"""
ssc_012035_5040#0,"""เข้าประจำสถานีรบทันที!"""
ssc_012030_0040#0,"""ได้ยินไหม?! อาจจะเป็น Dark Falz ก็ได้นะ!"""
ssc_012030_0050#0,"""อืม ทางนี้ก็ได้รับการติดต่อมาเหมือนกัน"""
ssc_012030_0060#0,"""พวกเราจะต้อง... จัดการมันให้ได้แน่นอน! ด้วยกันนี่แหละ!"""
ssc_012030_0070#0,"""...อืม แน่นอนสิ"""
ssc_012030_0080#0,"""พวกเธอสองคนพร้อมสำหรับเรื่องนี้กันไหม?"""
ssc_012030_0090#0,"""ฉันพร้อมเสมอ แล้วเธอล่ะ ไอน่า?"""
ssc_012030_0100#0,"""ฉัน เอิ่ม... เกือบจะพร้อมแล้วล่ะ..."""
ssc_012030_0110#0,"""หึหึ"""
ssc_012030_0120#0,"""เธอเองก็ต้องเตรียมตัวให้พร้อมด้วยเหมือนกันนะ เข้าใจไหม!"""
