name_7211#0,"""Xiandy"""
ssn_019120_002_0010#0,"""Thank you for coming to see me. Allow me to introduce myself once again."""
ssn_019120_002_0020#0,"""I am Xiandy. My job is to study various strange phenomena that happen throughout Halpha."""
ssn_019120_002_0030#0,"""The reason I called you is to ask for your help with studying current ongoing phenomena."""
ssn_019120_002_0040#0,"""Lately, you see, I've noticed a spike in the number of enemies in all regions."""
ssn_019120_002_0050#0,"""There haven't been reports of any serious injuries yet, but that situation could change in the future."""
ssn_019120_002_0060#0,"""Therefore, I've been continuously analyzing the situation by gathering enemy combat data."""
ssn_019120_002_0070#0,"""Particularly regarding the enemies with peculiar symbols attached to them, which are likely related to current events."""
ssn_019120_002_0080#0,"""Would you also be able to gather some enemy data for me?"""
ssn_019120_002_0090#0,"""Rewards have been prepared for participants."""
ssn_019120_002_0100#0,"""Your help would be most appreciated."""
ssn_019120_002_0110#0,"""Thank you for coming to see me."""
ssn_019120_002_0120#0,"""Once again, I'd like to ask for your help studying current ongoing phenomena..."""
ssn_019120_002_0130#0,"""Lately, you see, I've noticed a spike in the number of enemies in all regions."""
ssn_019120_002_0140#0,"""There haven't been reports of any serious injuries yet, but that situation could change in the future."""
ssn_019120_002_0150#0,"""Therefore, I've been continuously analyzing the situation by gathering enemy combat data."""
ssn_019120_002_0160#0,"""Particularly regarding the enemies with peculiar symbols attached to them, which are likely related to current events."""
ssn_019120_002_0170#0,"""Would you also be able to gather some enemy data for me?"""
ssn_019120_002_0180#0,"""Rewards have been prepared for participants."""
ssn_019120_002_0190#0,"""Your help would be most appreciated."""
ssn_019120_002_1010#0,"""Welcome back. With your help, I was able to get a lot of valuable data."""
ssn_019120_002_1020#0,"""According to this data, it seems that enemy activity has indeed become more lively."""
ssn_019120_002_1030#0,"""There's a possibility that Gold and Silver enemies are having some kind of influence on the other enemies."""
ssn_019120_002_1040#0,"""I'll need to look into things a bit more before I can say how this will develop later on."""
ssn_019120_002_1050#0,"""Thankfully, though, this phenomenon doesn't seem to pose any immediate risk."""
ssn_019120_002_1060#0,"""Still, no matter how small the change, it's important to carry out such investigations."""
ssn_019120_002_1070#0,"""<%me>. Thank you very much for your cooperation."""
ssn_019120_002_1080#0,"""I have prepared various rewards, so please let me know what you need."""
ssn_019120_002_1090#0,"""With that, if anything else comes up, I hope to be able to count on you again."""
ssn_019120_002_5010#0,"""Enemy activities are full of mystery."""
ssn_019120_002_5020#0,"""Though it might look like aimless behavior, when you look closely, there's an overall regularity to it."""
npc_menu_0010#0,"""Seasonal Point Exchange (Until $(0))"""
npc_menu_0020#0,"""Christmas '22 Seasonal Point Exchange (Until $(0))"""
npc_menu_0030#0,"""Learn about the Seasonal Event"""
npc_menu_0040#0,"""Close Menu"""
npc_menu_1010#0,"""About the Seasonal Event"""
npc_menu_1020#0,"""About the Rappy Gathering"""
npc_menu_1030#0,"""About Seasonal Enemies"""
npc_menu_1040#0,"""About Seasonal Regional Mags"""
npc_menu_1050#0,"""About Mischief Symbols"""
npc_menu_2000#0,"""Never mind"""
