un_062020_0010#0,"""О дремлющая во мне сила тьмы...<br>Согласно древнему договору,<br>сейчас..."""
un_062020_0020#0,"""Пришёл!..<br>Так это ты, старший."""
un_062020_0030#0,"""Не строй такое удивлённое лицо.<br>Ты же только что получил(а)<br>лицензию, я права?<br>Я про новый класс \""Фантом\""."""
un_062020_0040#0,"""А это означает, что его<br>представитель может появиться<br>и попросить меня помочь<br>с продвижением."""
un_062020_0050#0,"""...Мне стоит отказаться?<br>Но все остальные так усердно<br>работают, так что отказывать<br>было бы плохо..."""
un_062020_0060#0,"""Вот почему я так практикуюсь,<br>чтобы быть готовой, когда меня<br>попросят."""
un_062020_0070#0,"""Я также помогала и Стратос...<br>Ну же, ответь на мой зов!<br>О повелитель фантомов!.."""
un_062020_0080#0,"""Тем человеком...<br>кто воззвал к 《Фантому》...<br>была ты?"""
un_062020_0090#0,"""Ааа?!<br>И вправду явился!?.."""
un_062020_0100#0,"""Снова ты, <%me>.<br>Ты опередил этого 《Фантома》...<br>Можно сказать, что ты<br>\""очарован(а) смертью\""."""
un_062020_0110#0,"""...Не думаю, что старший по этой<br>причине здесь. Но что важнее..."""
un_062020_0120#0,"""Скажи мне, как мне помочь с<br>оглаской фантома?<br>Я сделаю что угодно!"""
un_062020_0130#0,"""И-и ещё, я практиковалась<br>в произношении...<br>этой фразы..."""
un_062020_0140#0,"""...О чём это ты.<br>Кто просил тебя о помощи<br>с оглаской?"""
un_062020_0150#0,"""А? Н-но..."""
un_062020_0160#0,"""Я услышал голос, взывающий<br>ко мне, и я ответил на него,<br>но... это была просто глупая<br>выходка?"""
un_062020_0170#0,"""П-подожди! Ты не собираешься<br>рекламировать новый класс?<br>Разве ты не хочешь, чтобы он<br>рос?"""
un_062020_0180#0,"""...Раз так сильно хочешь<br>прорекламировать его, можешь<br>заняться этим самостоятельно."""
un_062020_0190#0,"""Н-нет-нет, не хочу! Но даже Катори и Стратос в своё время приложили много усилий..."""
un_062020_0200#0,"""Мне это не нужно.<br>Фантомы на то и 《Фантомы》...<br>живущие в кромешной тьме."""
un_062020_0210#0,"""Нам не понять тех, кто видит<br>лишь “Свет” там, где падает<br>солнечный свет..."""
un_062020_0220#0,"""...Я дам тебе один совет.<br>Фантомы не связанны между собой."""
un_062020_0230#0,"""Смотрящие в “тень”, в конечном<br>счёте будут ей опьянены..."""
un_062020_0240#0,"""Ранее... твоя “Ария”...<br>была довольно хороша."""
un_062020_0250#0,"""При достаточной практике,<br>ты сможешь освоиться...<br>Прощай."""
un_062020_0260#0,"""...Как бы так выразиться,<br>старший. Ты, как всегда, дружишь<br>со странными людьми..."""
un_062020_0270#0,"""...Погоди,<br>раз я не рекламировала этот<br>класс, значит я просто<br>проговаривала на людях разные<br>фразы в Торговой Зоне<br>и без причины!"""
un_062020_0280#0,"""Уаааа!<br>Вот стыдоба!.."""
