un_062090_0010#0,"""Кё, это было подло! Почему ты<br>не остановился когда я<br>попросила?!"""
un_062090_0020#0,"""Ха-ха-ха, \""подло\"" так<br>подходит. Меня не волнует,<br>как я достигну своей цели...<br>Я готов даже прибегнуть<br>к грубой силе."""
un_062090_0030#0,"""Это было слишком агрессивно...<br>Тебя не волнуют мои чувства?<br>Кё... дурак!"""
un_062090_0040#0,"""...Погодите-ка.<br>Почему ты смотришь на меня,<br>как на абсолютный ноль?<br>Откуда такая враждебность?"""
un_062090_0050#0,"""Просто Кё плохой.<br>Я же права,<br><%me>?"""
un_062090_0060#0,"""Кё плохой"""
un_062090_0070#0,"""Вы оба плохие"""
un_062090_0080#0,"""Не уж то...<br>я был...<br>не прав?.."""
un_062090_0090#0,"""Т-твоя правда...<br>Навела столько шума<br>во всеуслышанье...<br>Прошу прощения..."""
un_062090_0100#0,"""...Думаю, мне стоит объясниться.<br>Ранее я отпрвлялась в Амдускию,<br>чтобы разобраться с<br>мутировавшими драгонкинами."""
un_062090_0110#0,"""Монстры были чрезвычайно<br>сильны... Но я намеревалась<br>встретиться с ними лицом к лицу,<br>сражаясь до победного конца<br>во имя справедливости."""
un_062090_0120#0,"""...Какие глупости.<br>И что же произошло в итоге?.."""
un_062090_0130#0,"""Мой товарищ... получил тяжёлое<br>ранение. Я... была сосредоточена<br>только на том, что было лишь<br>передо мной. Он прикрыл меня<br>сзади..."""
un_062090_0140#0,"""Я была расстроена, а атаки мои<br>слабели... но по какой-то<br>причине враги начали падать<br>один за другим... и битва была<br>окончена."""
un_062090_0150#0,"""Кё использовал способность<br>фантома \""разложение\"".<br>Хотя я сказала, что<br>не надо..."""
un_062090_0160#0,"""И что с того?<br>Тебе было приказано разобраться<br>с драгонкинами.<br>О “справедливости” речи не шло."""
un_062090_0170#0,"""И что такое “справедливость”?<br>Из-за твоей одержимости ею,<br>твой товарищ был ранен...<br>и вина за это лежит на тебе.<br>Вот таким должен быть герой?"""
un_062090_0180#0,"""Э-это...<br>не правда..."""
un_062090_0190#0,"""Герои защищают людей силой<br>“справедливости”.<br>Никогда не сдаются... таково<br>твоё убеждение. Однако,<br>непоколибимая вера... ослабевает<br>сердце."""
un_062090_0200#0,"""Столкнувшись с ситуацией, когда<br>“справедливость” не сможет<br>защитить твоих близких...<br>выдержит ли твоё сердце?"""
un_062090_0210#0,"""“Справедливость” затуманивает<br>взор... Ты должна сама научиться<br>решать, что есть правильно."""
un_062090_0220#0,"""Этим... ты сможешь защитить<br>своё собственное сердце.<br>Я больше... не хочу подобное<br>видеть."""
un_062090_0230#0,"""Кё... всё в порядке.<br>Я уже не та, что раньше."""
un_062090_0240#0,"""Когда я не смогу справиться со<br>своей “справедливостью”,<br>уверенна, Кё, я буду спасена<br>твоей “справедливостью”...<br>Это я знаю."""
un_062090_0250#0,"""Ну а теперь,..<br><%me><br>извини за шумиху!<br>Мне сейчас нужно идти!"""
