un_062030_0010#0,"""Кстати говоря, ты знаешь о новом<br>классе фантом?"""
un_062030_0020#0,"""Судя по тому, что я слышала -<br>класс, который действует<br>\""в тени\"" ARKS..."""
un_062030_0030#0,"""Вероятно, это не связано с<br>НИИ Void, но, тем не менее,<br>меня это очень беспокоит.<br>Хотя, это беспокоит только<br>лишь меня."""
un_062030_0040#0,"""Похоже, что высшее руководство<br>считает, что они необходимы<br>АRKS..."""
un_062030_0050#0,"""Но я думаю, что нам будет лучше,<br>если ARKS не будет вовлечён<br>в сомнительные дела."""
un_062030_0060#0,"""Я добровольно стала \""тенью\"" и<br>занималась подобными вещами...<br>Но я не могу это принять."""
un_062030_0070#0,"""Этот путь...<br>ведёт лишь по дороге к ещё<br>большим сожалениям..."""
un_062030_0080#0,"""...Но не проще ли<br>сказать напрямую?"""
un_062030_0090#0,"""Хм, значит ты заметила<br>моё присутствие."""
un_062030_0100#0,"""Тогда, просто чтобы<br>удостовериться... Представитель<br>фантомов, Кьёкуя, ты пришёл,<br>чтобы послушать мою песню?"""
un_062030_0110#0,"""...Что за глупости."""
un_062030_0120#0,"""Тогда, снова спрошу тебя: Почему<br>ты решил жить как \""тень\""?<br>Дорога, ведущая к сожадениям,<br>длится не долго."""
un_062030_0130#0,"""Как только родился класс Герой,<br>которого можно назвать<br>“Светом”... “Тени” тоже<br>естественно отбросились."""
un_062030_0140#0,"""Для меня “Свет” слишком<br>ослепителен. Вот почему я<br>предпочёл жить “Тенью”...<br>К счастью это или несчастью,<br>решать лишь мне."""
un_062030_0150#0,"""Чтобы поддерживать \""свет\"",<br>я буду счастлив стать \""тенью\"",<br>ты это хочешь сказать?..<br>Но,.."""
un_062030_0160#0,"""Если силы \""тени\"" будет<br>не достаточно, то она тебя<br>полностью поглотит...<br>и ты потеряешь свою жизнь."""
un_062030_0170#0,"""...Что и следовало ожидать от<br>Зам Командующего Разведотделом.<br>Ваше звание не для красоты дано."""
un_062030_0180#0,"""Но сможет ли та, кто колеблется<br>между “Светом” и “Тенью”,<br>справиться с таким погружённым<br>в “Тень”, как я?"""
un_062030_0190#0,"""Твоя правда, ведь ты приложил<br>немалые усилия, чтобы обрести<br>эту силу."""
un_062030_0200#0,"""Ха-ха-ха...<br>\""Усилия\"", говорите?<br>Не смешите меня."""
un_062030_0210#0,"""Какие-то \""усилия\""...<br>Обладающему природным талантом<br>следования пути “Тени”,<br>они не нужны."""
un_062030_0220#0,"""Ты не нашёл других путей?<br>Выбор жизни в качестве \""тени\""<br>может причинить боль твоим<br>близким."""
un_062030_0230#0,"""Это путь, лишённый любви...<br>По этой дорогие любви ты<br>не встретишь. Ты точно это<br>понимаешь?"""
un_062030_0240#0,"""Ха-ха-ха...<br>Такие абсурдные вещи говорите.<br>“Тень” появляется там, где<br>не падает “Свет”. Этим двум<br>никогда не пересечься."""
un_062030_0250#0,"""Знающие лишь мир “Света”, будут<br>глубоко разочарованы, узнав<br>“Тень”... а приблизившись к<br>“Тени”, оставят на себе<br>глубокую рану."""
un_062030_0260#0,"""Следовательно, “Тени”...<br>с самого начала нет права<br>на любовь и быть любимым."""
un_062030_0270#0,"""Вы, кажется, спрашивали меня<br>о готовности, но я уже<br>не в начале этого пути,..<br>а в конце."""
un_062030_0280#0,"""Печаль и решимость,<br>которые ты несёшь...<br>Это является основой<br>\""тени\""."""
un_062030_0290#0,"""...Я не могу представить,<br>какую печаль вы несёте..."""
un_062030_0300#0,"""Вас нельзя назвать “Тенью”.<br>Сила дарить другим покой и<br>улыбку... Это сильный и<br>неповторимый “Свет”."""
un_062030_0310#0,"""Хм...<br>Я слишком много наговорил.<br>Прощайте."""
un_062030_0320#0,"""Да кто он такой! По отношению<br>к Нулевой Совета Шести он был<br>слишком дерзок!"""
un_062030_0330#0,"""Но я понимаю, что он имел<br>в виду. Он держит людей<br>на расстоянии, потому что<br>не хочет причинять им вред."""
un_062030_0340#0,"""Кроме того, пусть он это<br>и отрицал, но я думаю, что он,<br>вероятно, довольно много<br>работал."""
un_062030_0350#0,"""У него должно быть очень сильное<br>желание добиться чего-либо...<br>Хорошо, я дам ему шанс!"""
