Title#0,"""อนาคตที่ไม่มีฉัน"""
Summary#0,"""<%me> ได้รับข้อความจากคานุย (Kanui) ว่ามีเรื่องอยากจะปรึกษา จึงมุ่งหน้าไปยังแคมป์สเตีย (Stia Camp)"""
text0101#0,"""คุยกับคานุย (Kanui)"""
text0102#0,"""ผ่านเควสต์ Leciel Exploration"""
Objective320#0,"""<space>"""
text0103#0,"""คุยกับคานุย (Kanui)"""
text0104#0,"""คุยกับครอว์ฟอร์ด (Crawford)"""
text0105#0,"""มุ่งหน้าไปยังเขตที่อยู่อาศัย (Residential Area)"""
text0106#0,"""กำจัดศัตรูในเขตที่อยู่อาศัย (Residential Area)"""
text0107#0,"""คุยกับครอว์ฟอร์ด (Crawford)"""
text0108#0,"""คุยกับเกลน (Glen)"""
text0109#0,"""มุ่งหน้าไปยังจุดที่ระบุด้วย Guide Marker"""
text0110#0,"""มุ่งหน้าไปยังหลุมศพของฮิบานะ (Hibana)"""
text0111#0,"""คุยกับคานุย (Kanui)"""
