ssn_012220_0001#0,"""Вам нравится заниматься собирательством?"""
ssn_012220_0002#0,"""За городом вы можете добыть овощи,<br>фрукты, руду и мясо теймзов."""
ssn_012220_0003#0,"""Такие свежие ингридиенты и прочные минералы<br>обязательно пригодятся вам в будущих битвах."""
ssn_012220_0101#0,"""Даров, как ваши дела?"""
ssn_012220_0102#0,"""Сейчас, когда вы уже получили новое оружие и немного<br>его улучшили, можете заметить, что теперь для последующего<br>улучшения требуется новый вид минералов."""
ssn_012220_0103#0,"""Хотите узнать больше о ней?"""
ssn_012220_0201#0,"""Дуаломайт - пурпурный минерал с зубчатыми образованиями.<br>Цветом похож на фрагмент фотона, но имеет другие свойства."""
ssn_012220_0202#0,"""Оба упомянутых минерала великолепны, но их также можно<br>использовать в лаборатории предметов в качестве<br>катализаторов для улучшения снаряжения."""
ssn_012220_0203#0,"""Многие из них можно найти на стеах в пещере на Юге Эарио.<br>Было бы не плохой идеей пойти и попытаться отыскать."""
ssn_012220_0301#0,"""Хм, ясно... Жалко."""
ssn_012220_0302#0,"""Если захотите узнать о минералах,<br>не стесняйтесь спрашивать."""
