name_7021#0,"""Риссу"""
ssn_014550_0001#0,"""Я Риссу.<br>Горничная Надереф."""
ssn_014550_0002#0,"""Пусть я и горничная, моя главная задача - охрана."""
ssn_014550_0003#0,"""Мура взяла на себя административные задачи.<br>Если что-нибудь понадобиться, обратись к ней."""
ssn_014550_0011#0,"""Слышала. Похоже, что ты смог(ла)<br>разобраться с DOLLS в каньоне."""
ssn_014550_0012#0,"""Такое количество...<br>Ты проделал(а) большую работу."""
ssn_014550_0013#0,"""Похоже, что Надереф тоже признала тебя.<br>Продолжай в том же духе."""
ssn_014550_0021#0,"""Это было крупномасштабное нападение.<br>Честно говоря, мы понесли большие потери."""
ssn_014550_0022#0,"""Так же, за Надереф охотятся..."""
ssn_014550_0023#0,"""Однако, она удивительный человек. Уверенна,<br>она найдёт способ выкарабкаться."""
ssn_014550_0101#0,"""В Ритем-Сити вернулось спокойствие."""
ssn_014550_0102#0,"""Поэтому, некоторые из наших вновь начали играть музыку.<br>Я также впервые за долгое время заглянула в хранилище<br>музыкальных инструментов..."""
ssn_014550_0103#0,"""Все инструменты в плохом состоянии...<br>Я так долго не могла за ними ухаживать."""
ssn_014550_0104#0,"""Мне нужны материалы для ремонта.<br>Не поможете мне собрать их?"""
ssn_014550_0201#0,"""Альфа-реакторы - это нергетические<br>реакторы неких машин..."""
ssn_014550_0202#0,"""Немного поработав с ними, их можно будет использовать<br>в качестве деталей для музыкальных инструментов."""
ssn_014550_0203#0,"""На это потребуется некоторое время,<br>так что, полагаюсь на вас."""
ssn_014550_0211#0,"""Звёздное семя - это камень, который, как говорят,<br>падает во время метиоритного дождя..."""
ssn_014550_0212#0,"""Его легко добыть и можно использовать<br>в музыкальных инструментах."""
ssn_014550_0301#0,"""Не стоит беспокоиться.<br>Я не собираюсь тебя заставлять."""
ssn_014550_0401#0,"""Ну-ка, дай мне взглянуть.<br>Хм... хорошее состояние."""
ssn_014550_0402#0,"""Идеально подходит для ремонта.<br>Ты меня просто спас(ла). Спасибо."""
ssn_014550_0403#0,"""Тем не менее, давненько я не играла.<br>Надеюсь я не утратила свои навыки..."""
ssn_014550_0404#0,"""Придётся много тренироваться, чтобы можно было<br>аккомпанировать Надереф."""
ssn_014550_0501#0,"""С этим я смогу отремонтировать свой инструмент."""
ssn_014550_0502#0,"""Тем не менее, давненько я не играла.<br>Надеюсь я не утратила свои навыки..."""
ssn_014550_0503#0,"""Придётся много тренироваться, чтобы можно было<br>аккомпанировать Надереф."""
ssn_014550_0601#0,"""Так ты вернулся(лась).<br>Смогл(а) найти звёздное семя?"""
ssn_014550_0602#0,"""Отдать 5 звёздных семян"""
ssn_014550_0603#0,"""Не давать"""
ssn_014550_0701#0,"""Ну-ка, дай мне взглянуть.<br>Хм... хорошее состояние."""
ssn_014550_0702#0,"""Идеально подходит для ремонта.<br>Ты меня просто спас(ла). Спасибо."""
ssn_014550_0703#0,"""Тем не менее, давненько я не играла.<br>Надеюсь я не утратила свои навыки..."""
ssn_014550_0704#0,"""Придётся много тренироваться, чтобы можно было<br>аккомпанировать Надереф."""
ssn_014550_0801#0,"""Похоже, что их не хватает.<br>Найдите ещё."""
ssn_014550_0901#0,"""Ясно...<br>Попрошу тебя в следующий раз."""
