name010#0,"""รัน"""
name020#0,"""กาโรอา"""
name030#0,"""ไอน่า"""
name040#0,"""ครอว์ฟอร์ด"""
text010#0,"""เท่านี้ก็เสร็จสิ้นกำหนดการของเทศกาลประลองยุทธ์ทั้งหมดแล้วล่ะค่ะ<br>ทุกคน เหนื่อยกันหน่อยนะคะ!"""
text020#0,"""……เอ๊ะ? มีข้อความอะไรบางอย่างซ่อนอยู่ในข้อมูลด้วยนะคะ"""
text030#0,"""ไง ไม่รู้หรอกนะว่าใครกำลังดูข้อความนี้อยู่<br>แต่พวกแกเองก็คงเป็น ARKS เหมือนกันล่ะสิ"""
text040#0,"""ข้อมูลของเมือง Aelio Town นี้ เป็นสิ่งที่พวกเราเคยใช้ฝึกซ้อมน่ะ<br>จะเอาไปใช้ตามใจชอบก็ไม่ว่ากันหรอกนะ"""
text050#0,"""แต่ถ้าจะให้ดี หวังว่าพวกแกจะใช้มันเพื่อให้ตัวเองแข็งแกร่งขึ้นนะ<br>เพื่อที่จะได้ปกป้องสิ่งที่อยากปกป้องเอาไว้ให้ได้ล่ะ"""
text060#0,"""งั้นแค่นี้นะ มาพยายามไปด้วยกันเถอะ!"""
text070#0,"""……คุณพ่อ ทิ้งอะไรแบบนี้เอาไว้ให้ด้วยสินะ"""
text080#0,"""ขอบคุณครับ คุณกาโรอา<br>สถานที่แห่งนี้ และความรู้สึกของพวกคุณ พวกเราได้รับเอาไว้แล้วล่ะ"""
text090#0,"""เอาล่ะ ทุกคนที่เข้าร่วมเทศกาลประลองยุทธ์ ขอบคุณที่เหนื่อยกันนะ!<br>จากนี้ไป ก็จงก้าวไปข้างหน้าพร้อมกับเพื่อนพ้องที่ร่วมต่อสู้ด้วยกันในวันนี้ต่อไปเถอะ"""
text100#0,"""ทุกคน จากนี้ไปก็ขอฝากตัวด้วยนะ!"""
