NAME#0,"""핏카"""
NICKNAME#0,"""간이 퀘스트 카운터 직원"""
HELLO#0,"""안녕하세요!"""
HELLO_FAV0#0,"""안녕하세요!"""
HELLO_FAV1#0,"""안녕하세요!"""
HELLO_FAV2#0,"""안녕하세요!"""
HELLO_FAV3#0,"""안녕하세요!"""
HELLO_FAV4#0,"""안녕하세요!"""
Q0#0,"""안녕하세요!"""
TALK_BYE_QUEST#0,"""잘 부탁드려요!"""
GOODBYE#0,"""또 오세요!"""
GOODBYE_FAV0#0,"""또 오세요!"""
GOODBYE_FAV1#0,"""또 오세요!"""
GOODBYE_FAV2#0,"""또 오세요!"""
GOODBYE_FAV3#0,"""또 오세요!"""
GOODBYE_FAV4#0,"""또 오세요!"""
RECOMMEND#0,"""퀘스트와 관련된<br>클라이언트 오더를<br>한꺼번에 수주할 수 있습니다"""
00_01#0,"""선택지 1"""
00_02#0,"""선택지 2"""
TALK_ST#0,"""대화하기"""
C_ORDER_ST#0,"""상담 듣기"""
