text_001#0,"""This cafe is nice. You can relax here and the food is great. It's awesome."""
Npc44_01_010#0,"""It's thanks to ARKS that we're able to have a peaceful life.<br>I can't thank them enough."""
Npc44_02_010#0,"""It's thanks to ARKS that we're able to have a peaceful life.<br>I can't thank them enough."""
Npc44_03_010#0,"""It's thanks to ARKS that we're able to have a peaceful life.<br>I can't thank them enough."""
Npc44_04_010#0,"""Even though it's not a voluntary work<br>for ARKS, we still have to reward them<br>properly without being asked."""
Npc44_04_020#0,"""Everything's free of charge but,<br>I still feel bad about it."""
Npc44_05_010#0,"""Even though it's not a voluntary work<br>for ARKS, we still have to reward them<br>properly without being asked."""
Npc44_05_020#0,"""Everything's free of charge but,<br>I still feel bad about it."""
Npc44_06_010#0,"""Even though it's not a voluntary work<br>for ARKS, we still have to reward them<br>properly without being asked."""
Npc44_06_020#0,"""Everything's free of charge but,<br>I still feel bad about it."""
Npc44_07_010#0,"""ARKS job isn't limited to exterminating Darkers.<br>They also receive numerous requests and<br>making negotiations with the natives."""
Npc44_07_020#0,"""That's bothersome isn't it?<br>I can't even imagine the work load."""
Npc44_08_010#0,"""ARKS job isn't limited to exterminating Darkers.<br>They also receive numerous requests and<br>making negotiations with the natives."""
Npc44_08_020#0,"""That's bothersome isn't it?<br>I can't even imagine the work load."""
Npc44_mb9_010#0,"""ARKS job isn't limited to exterminating Darkers.<br>They also receive numerous requests and<br>making negotiations with the natives."""
Npc44_mb9_020#0,"""That's bothersome isn't it?<br>I can't even imagine the work load."""
Npc44_mb10_010#0,"""ARKS job isn't limited to exterminating Darkers.<br>They also receive numerous requests and<br>making negotiations with the natives."""
Npc44_mb10_020#0,"""That's bothersome isn't it?<br>I can't even imagine the work load."""
Npc44_mb11_010#0,"""ARKS job isn't limited to exterminating Darkers.<br>They also receive numerous requests and<br>making negotiations with the natives."""
Npc44_mb11_020#0,"""That's bothersome isn't it?<br>I can't even imagine the work load."""
Npc44_mb12_010#0,"""ARKS job isn't limited to exterminating Darkers.<br>They also receive numerous requests and<br>making negotiations with the natives."""
Npc44_mb12_020#0,"""That's bothersome isn't it?<br>I can't even imagine the work load."""
Npc44_mb13_010#0,"""ARKS job isn't limited to exterminating Darkers.<br>They also receive numerous requests and<br>making negotiations with the natives."""
Npc44_mb13_020#0,"""That's bothersome isn't it?<br>I can't even imagine the work load."""
Npc44_mb14_010#0,"""ARKS job isn't limited to exterminating Darkers.<br>They also receive numerous requests and<br>making negotiations with the natives."""
Npc44_mb14_020#0,"""That's bothersome isn't it?<br>I can't even imagine the work load."""
st01_010#0,"""Sounds tough."""
st01_020#0,"""You still have to take care of<br>yourself during busy times.<br>Feel free to take a breather<br>and relax here all you like!"""
