favs_before_010#0,"""ちょうどいいところに。<br>貴方に渡したいものがあったんです。"""
favs_before_020#0,"""日頃のお礼にあげるべきもの、なんて<br>考えたことなかったので<br>ちょっとヘンかもしれませんが……"""
favs_before_030#0,"""これ、受け取ってもらえますか。"""
favs_after_010#0,"""貴方には、返しきれない恩がありますが<br>それとはまた別の、普段のお礼です。"""
favs_after_020#0,"""あまり、大したものではありませんが<br>……役立ててもらえると、嬉しいです。"""
favs_present_010#0,"""Received 『フォトンスフィア』 from テオドール."""
favs_present_020#0,"""Received 『イル・ザン』 from テオドール."""
favs_present_030#0,"""Received 『エクスキューブ』 from テオドール."""
favs_present_040#0,"""Received 『エクストリームパス』 from テオドール."""
favs_present_050#0,"""Received 『イル・ゾンデ』 from テオドール."""
favs_present_060#0,"""Received 『トライブースト＋５０％』 from テオドール."""
favs_present_070#0,"""Received 『能力追加成功率＋１０％』 from テオドール."""
favs_present_080#0,"""Received 『強化リスク軽減（＋２）』 from テオドール."""
favs_present_090#0,"""Received 『能力追加成功率＋１０％』 from テオドール."""
favs_present_100#0,"""Received 『イル・バータ』 from テオドール."""
favs_present_add_001#0,"""Received 『<%skit_text>』 from テオドール."""
11_voice_NPC_5153_108#0,"""……本当に、すみませんでした。<br>……ああ、違う、違いました。<br>もう謝っちゃだめなんですよね。"""
mb17_020#0,"""……ありがとうございました。<br>ウルクを、助けてくれて。<br>ぼくを、助けてくれて。"""
mb18_010#0,"""ウルクに頼まれて<br>ぼくも色々と手伝っているんです。"""
mb18_020#0,"""色々と変わりましたよね。<br>新しい施設も完成したそうですよ。"""
mb18_030#0,"""良ければ行ってみてください。<br>ウルクも喜びます。"""
mb19_010#0,"""惑星ウォパルに浮上施設という<br>新しいエリアが発見されたそうですね。"""
mb19_020#0,"""ウォパルは、ルーサーさんがたびたび<br>訪れていた場所でした。もしかしたら<br>研究内容なんかが残っていたり……"""
mb19_030#0,"""ぼくは、あまり覚えてないので<br>断言はできないんですけど……<br>調べてみる価値は、ありそうです。"""
mb20_010#0,"""ウルクはほんと、忙しくしてますよ。<br>文字通り寝る間も惜しんでの状態です。"""
mb20_020#0,"""ちょっと心配は心配ですけど……<br>決めたら一直線で、何を言っても<br>止まってはくれませんから。"""
mb20_030#0,"""ぼくはそばで支えるだけです。<br>それが、ぼくのやりたいことですから。"""
11_voice_NPC_5153_104#0,"""最近はウルクの手伝い以外にも<br>調査に向かったりしています。"""
mb21_020#0,"""ぼくは、ウルクがやっているような<br>組織内部の改正だとか、そういう<br>頭をつかうことは苦手みたいで……"""
mb21_030#0,"""こればっかりは向き不向きですからね<br>頑張ってはいるんですが、難しいです。"""
Asai_01_10#0,"""強い、とはどういうことか……ですか？<br>なかなか難しいことを聞きますね。"""
11_voice_NPC_5153_104#1,"""そうですね……<br>何かをやり遂げる意志の強さなどが<br>それにあたるかもしれません。"""
Asai_01_30#0,"""どんなに力が強くても<br>使いこなすための意志がなければ<br>それはそれで意味がないと思いますし。"""
Asai_01_40#0,"""……そういう意味では<br>僕なんかよりウルクの方が<br>強いと思いますよ。"""
11_voice_NPC_5153_104#2,"""ウルクが考えてきたことは<br>少しずつとはいえど<br>形になってきたと思います。"""
mb22_020#0,"""ぼくは、ほんの少し手伝っただけ。<br>でも手伝えてよかったと思ってます。"""
11_voice_NPC_5153_100#0,"""形になっていくものを見るのは<br>楽しいですね。<br>ぼくも頑張ろうって思えるんですよ。"""
mb23_010#0,"""ああ、どうも。<br>ぼくは今、ウルクの手伝いも兼ねて<br>いろいろと調査に出ています。"""
11_voice_NPC_5153_104#3,"""なんというか、アークスとしての<br>体感とかを伝える役目といいますか……<br>運用のテスターみたいなものです。"""
mb23_030#0,"""ぼくが感じたことが全てのアークスに<br>通じるわけではないですが<br>感想くらいなら言えますから。"""
mb23_after_010#0,"""マトイさんのこと、聞きましたよ。<br>いやほんとに……ぼくもショックです。"""
mb23_after_020#0,"""でも、貴方なら彼女を救える。<br>ぼくはそう思っています。"""
11_voice_NPC_5153_104#4,"""貴方は、ぼくやウルクを助けてくれた。<br>アークスが敵に回っても諦めなかった。<br>だから……大丈夫って思ってます。"""
mb24_010#0,"""ぼくが言うのもおこがましいですが<br>貴方の言葉は、マトイさんに<br>必ず届くと思うんです。"""
mb24_020#0,"""その、経験談といいますか……<br>ウルクの声が届いたから<br>ぼくは、こうして戻ってこれました。"""
11_voice_NPC_5153_100#1,"""もちろん、一筋縄ではいかないことも<br>たくさんあると思いますが……<br>諦めずに、頑張ってください。"""
mb24_after_010#0,"""マトイさんが無事に戻ってきて<br>ぼくも、嬉しく思っています。"""
mb24_after_020#0,"""見知った人がいなくなるのは<br>やっぱり……辛いですから。"""
11_voice_NPC_5153_100#2,"""だから本当に良かった。<br>こんな風に、貴方も、マトイさんも<br>みんなが望んだ結果になって。"""
mb25_010#0,"""【深遠なる闇】は、復活直前の状態で<br>留まっていると聞いています。"""
mb25_020#0,"""僅かな時間かもしれませんが<br>猶予がもらえたことは<br>ありがたいことですね。"""
mb25_030#0,"""ぼくが出来る事は限られてますが<br>今のうちに出来そうな事は<br>やっておこうと思っています。"""
