text00#0,"""¿Como estas?. ¿Necesitas algo?"""
text01#0,"""Acerca de [Bloques desafío]"""
text02#0,"""Acerca de [Misiones desafío]"""
text03#0,"""Acerca de [Nave compartida]"""
text04#0,"""\""Por favor, dame consejos durante Desafíos\"""""
text05#0,"""\""Por favor, no me des consejos durante Desafíos\"""""
text06#0,"""Salir"""
text07#0,"""Acerca de [Entrega de Objetos]"""
11_voice_challe_ope_001#0,"""Acerca de Bloques desafío. Está explicación es larga, por favor lea esto primero."""
text01#1,"""Resumiendo, <c bb0000>equipamiento y niveles de clases son removidas temporalmente, pero cuando vayas a tu bloque original estos regresan a la normalidad.<c>"""
text02#1,"""Para fácilitar a lo largo de el entrenamiento, hemos cambiado tu clase a Retador, pero puede estar seguro que esto es temporal."""
11_voice_challe_ope_001#1,"""Acerca de Misiones desafío. Está explicacion es larga, por favor lea esto primero."""
text01#2,"""Resumiendo, estas misiones son acerca de <c bb0000>entrenamiento en un entorno controlado.<c>"""
text02#2,"""Que tan lejos puedes llegar antes de que se acábe la energía VR? Esto será una prueba de tu verdadera habilidad."""
text03#1,"""Challenge Miles son dadas al avanzar progresivamente, estas se pueden intercambiar por recompensas una vez regreses a tu bloque original."""
11_voice_challe_ope_001#2,"""Acerca de la nave compartida. Está explicacion es larga, por favor lea esto primero."""
text01#3,"""Resumiendo, <c bb0000>La nave compartida es un lugar donde puedes interactuar con personas de otras naves.<c>"""
text00#1,"""Entendido. Yo te dare consejos durante tus desafíos."""
text01#4,"""Cuando no necesites más mis consejos, por favor hágamelo saber."""
text00#2,"""Entendido. Ya no te dare consejos durante tus desafíos."""
text01#5,"""De todos modos, tenga en cuenta que de igual manera le informaré acerca de sucesos importantes."""
text02#3,"""Si decides recibir consejos, por favor no dude en avisar."""
11_voice_challe_ope_001#3,"""Acerca de entrega de Objetos. Está explicacion es larga, por favor lea esto primero."""
text01#6,"""Resumiendo, <c bb0000>Puedes tirar tus objetos en el suelo para dárlos a otros jugadores.<c>"""
text02#4,"""En misiones desafío, puedes dar armas y unidades a otros. Por favor, tome ventaja de esto."""
text00#3,"""Bloques desafío"""
text01#7,"""Esta explicacion es sobre los bloques desafío.<br><br>Los bloques desafío son bloques donde tu puedes realizar Misiones desafío.<br><br>En Bloques desafío, <red>niveles de jugadores y equipamiento son temporalmente removidos<c> de modo que el entrenamiento se pueda hacer en un lugar equilibrado.<br>Algunas otras funciones, como las ordenes de clientes y las placas de materia, también se han removido, pero puede estar seguro de que volverán a la normalidad cuando regrese a un bloque normal."""
text02#5,"""En bloques desafío, al igual que los bloques normales, las misiones se pueden obtener desde el asesor de misiones.<br><br>Puedes usar el Teletransportador para ir hacia otro bloque desafío, o regresar a tu bloque original."""
text03#2,"""Al acceder al Monumento Desafio en un Bloque Desafio, puedes ver tu clasificación de Misiones desafío.<br><br>Acepte Misiones desafío y trate de ser el numero 1.<br><br>※ Las clasificaciones se reinician regularmente"""
text00#4,"""Misiones desafío"""
text01#8,"""Esta explicacion es sobre las misiones desafío.<br><br>El objetivo de una misión desafío es<red> completar una misión especifica antes de que la Energia VR se acábe<c>.<br><br>La misión termina en cualquiera de las condiciones siguientes:<br><yellow>・La misión determinada es completada<br>・La Energia VR se acábe<c><br><br>La Energia VR es compartida con todos los participantes. La cantidad restante es mostrada en una Barra Verde."""
text02#6,"""En misiones desafío, tu clase es cambiada a Retador.<br><br>retador tiene las siguientes caracteristicas:<br><yellow>・Puede equipar todas las armas y unidades<br>・Puede aprender y equipar todas las PA's, Técnicas y habilidades de Discos<c><br><br>Hasta 2 instancias pueden usarse a la vez.<br>※ Algunas instancias no pueden usarse juntas"""
text03#3,"""La energía VR es esencial para el tiempo limite de la misión.<br><br>La Energia VR es consumida en las siguientes condiciones:<br><yellow>・El tiempo pasa durante la misión<br>・Un jugador es incapacitado para pelear<c><br><br>La energía VR se puede recuperar al tomar cápsulas de energía.<br>La energía recogida es compartida entre todos los participantes.<br><red>※ Hay algunas cápsulas que no se muestran en el minimapa.<c>"""
text04#1,"""Cuando un jugador, es incapacitado para pelear, una cantidad significativa de Energía VR es consumida.<br><br>La energía puede ser recuperada si el jugador es revivido por el siguiente metodo:<br><yellow>・Usar un Moon Atomizer<c><br><br><red>Cuando es revivido por cualquier otro metodo, la energía VR no es recuperada<c>, así que intenta revivir a tus amigos tanto como sea posible.<br><br>Además, si el jugador incapacitado tiene un <yellow>Challenge Doll<c>, ellos revivirán automáticamente sin consumir Energía VR."""
text05#1,"""Durante la misión, hay puntos de descanso llamados Areas de descanso.<br>Cuando un jugador llega a está área, el consumo de VR durante el tiempo indicado se detiene.<br>※ La energia todavia se consumirá cuando un jugador es incapacitado para luchar y restaurada cuando un Moon Atomizer es usado<br><br>Adenas, todos los jugadores que no hayan llegado a está área después de cierto tiempo seran transferidos forzadamente.<br><red>Los jugadores Incapacitados seran revividos, pero la Energia VR no se podra recuperar.<c>"""
text06#1,"""En el área de descanso, puedes usar la Tienda de reciclaje para cambiar objetos por otros que sean mas utiles para usted.<br><br>Reponga sus objetos de recuperacion para la siguiente misión y cambie armas y discos.<br><br>Si no tienes Objetos para intercambiar, puedes obtenerlos de los miembros de tu grupo."""
text07#1,"""Puedes obtener Challenge Miles al finalizar una misión Desafío. Challenge Miles pueden ser intercambiadas por varios objetos en la Tienda<br>(Durante el camino encontraras elecciones para obtener Challenge Miles o Armas).<br><br>Los Challenge Miles pueden ser obtenidos por los siguientes métodos:<br><yellow>・Completar una misión<br>・Recogiendo Mile Crystals<c><br>La tasa de la  misión completada es determinada por la posicion del jugador que mas ha avanzado. Además, la cantidad adquirida de Mile Crystals es compartida a todos los participantes."""
text08#0,"""Despues de terminar una misión Desafío, Tu Mejor Etiqueta es presentada en la siguiente vez que juegues la mision.<br><br>Esto indica tu actual record alcanzado, y puede actualizarse si rompes tu propio record.<br><br>Tu propio record es azul.<br>Los Records de otros jugadores son plateados."""
text09#0,"""En misiones desafío, objetos dejados por enemigos o que provienen de contenedores solo pueden ser recogidos por ti.<br><br><yellow>Otros jugadores no los pueden recoger, así que asegurate de colleccionar cualquier objeto que aparezca.<c>"""
text10#0,"""Al recuperar energia VR sobre el 100%, puedes obtener un bono extra de carga dependiendo de la cantidad recuperada.<br><br>El Bono de Carga Extra otorga 1 Challenge Mile por cada 2.5% recuperado, pero <red>La Energia VR nunca ira sobre el 100%, así que tenga en cuenta el limite del tiempo y elija con sabiduria.<c>"""
text00#5,"""La nave compartida"""
text01#9,"""Esta explicacion es sobre la nave compartida.<br><br>La nave compartida es un lugar donde puedes interactuar con jugadores de otras Naves. Dentro de está Nave, puedes jugar Misiones desafío y Partidas de Arena de Batalla con jugadores de otras Naves.<br><br>puedes viajar a sus respectivas salas seleccionadas \""Ir a la nave compartida Sala de Batalla\"" o \""Ir a la Sala Compartida de Desafíos\"" en el Teletransportador."""
text00#6,"""Entrega de Objetos"""
text01#10,"""Esto explica sobre la entrega de objetos.<br><br>En misiones desafío, los objetos que has obtenido se pueden tirar al suelo. Los objetos tirados pueden ser recogidos por otros jugadores."""
text02#7,"""Puedes tirar objetos seleccionando \""Soltar\"" en un objeto de tu inventario.<br><br>Cuando tiras un objeto, el objeto dejado desaparece de tu inventario y aparece en el suelo.<br><br>Puedes recoger tus propios objetos tirados, de modo que si dejas un objeto por error, puedes volver a recogerlo."""
text03#4,"""Objetos tirados por jugadores lucen diferente a los objetos dejados por los enemigos.<br><br>Ademas, el numero total de objetos que puedes dejar en el suelo es de 160 para todos los jugadores. Cuando la cantidad de objetos tirados excede los 160, el exceso de objetos desaparece temporalmente."""
text04#2,"""Entrega de objetos es una muy efectiva herramienta para realizar Misiones desafío.<br><br>Incluso si no necesitas un objeto, puede ser importante para un amigo, así que mantengase en contacto con ellos y llene de objetos a los demas.<br><br>Puedes decir el nombre de el objeto dejado con el boton o tecla configurad@ previamente."""
