11_voice_NPC_5014_100#0,"""あの、少しいいかな。<br>あなたに渡したいものがあって……"""
favs_before_020#0,"""ええっと……はい、これをどうぞ。<br>私からのプレゼントです。"""
favs_after_010#0,"""いつもいつも、パティちゃんともども<br>お世話になっているので<br>そのお礼、といった感じのものです。"""
favs_after_020#0,"""迷惑ばっかりかけている私たちですが<br>これからも、よろしくお願いします。"""
favs_present_010#0,"""Received 『Synthesizer』 from ティア."""
favs_present_020#0,"""Received 『バータ』 from ティア."""
favs_present_030#0,"""Received 『Synthesizer』 from ティア."""
favs_present_040#0,"""Received 『ギ・バータ』 from ティア."""
favs_present_050#0,"""Received 『Synthesizer』 from ティア."""
favs_present_060#0,"""Received 『デバンド』 from ティア."""
favs_present_070#0,"""Received 『Synthesizer』 from ティア."""
favs_present_080#0,"""Received 『ラ・バータ』 from ティア."""
favs_present_090#0,"""Received 『Synthesizer』 from ティア."""
favs_present_100#0,"""Received 『Synthesizer』 from ティア."""
favs_present_add_001#0,"""Received 『<%skit_text>』 from ティア."""
text100#0,"""一仮テキストトーストでマイルームの変更方法を通知する。"""
text1000#0,"""二仮テキストトーストでマイルームの変更方法を通知する。"""
11_voice_NPC_5014_100#1,"""情報屋は、情報集めるだけじゃなくて<br>それを整理する時間も重要なの。"""
Tiea_01_020#0,"""ぜーんぶティアがやっちゃって<br>あたしはつまらないんだけどねー！"""
11_voice_NPC_5014_104#0,"""一応、私たちも戦闘はできます。<br>あんまり好きじゃないだけです。"""
Tiea_02_020#0,"""ティア、未だにすっごく<br>おっかなびっくりだもんねー。<br>あたしはもう慣れたよー？"""
11_voice_NPC_5014_100#2,"""情報の集め方？<br>そうね……いろいろな人に話を聞いたり<br>出先で気になったことを調べたり。"""
Tiea_03_020#0,"""まー、正直にいっちゃうと<br>あたしの気の向くままに<br>出歩いているだけなんだよねー。"""
11_voice_NPC_5014_102#0,"""アークスの人は、人づてに聞くよりも<br>自分で調べに行く、って人が多いから<br>情報に対する意識が低いのよね。"""
Tiea_04_020#0,"""あたしたちのやってるのって<br>スキマ産業ってやつだね！<br>スキマ、スキマ！"""
11_voice_NPC_5014_100#3,"""こう見えて、パティちゃんは<br>人を見る目だけはあるみたいなので<br>危険な人には話しかけないのよね。"""
Tiea_05_020#0,"""そーそー、あたしのお眼鏡にかなうって<br>見所あるということなんだよー！<br>話しやすい雰囲気って、才能だよね！"""
11_voice_NPC_5014_104#1,"""パティちゃんと一緒で<br>疲れないか、って？<br>そりゃもちろん疲れる。すっごく。"""
Tiea_06_020#0,"""ま、パティちゃんと一緒に居られるのは<br>きっと私だけだし、逆も同じだろうから<br>多分これからも、ずっと一緒。"""
11_voice_NPC_5014_100#4,"""ロビーは素晴らしい。<br>振り回されてハラハラしなくてもいい<br>心落ち着く、癒やされる時間だわ。"""
Tiea_07_020#0,"""えー、静かなのつまらないよー！<br>もっと何かどかーんと<br>すごいの見に行こうよー！"""
11_voice_NPC_5014_101#0,"""パティちゃんはカンで生きているぶん<br>危機感知能力とかがすっごく高いの。<br>生存本能、みたいな？"""
Tiea_08_020#0,"""そうそう、危険をビビッと感知！<br>ティアに怒られそうなときもわかるから<br>ささっと逃げられて便利だよー！"""
