11_voice_NPC_5020_101#0,"""Llegaste a un lugar agradable."""
Oza_favs_before_020#0,"""Si no le importa, por favor,<br>acepte esto,<br>no sea timido."""
Oza_favs_after_010#0,"""Acabo de expresarle mi gratitud.>br>No te molestes."""
Oza_favs_after_020#0,"""Antes fui yo quien te explicaba las cosas<br>y ahora tu eres el que me salva."""
Oza_favs_present_010#0,"""Recibes [Synthesizer] de Ohza."""
Oza_favs_present_020#0,"""Recibes [Rising Flag] de Ohza."""
Oza_favs_present_030#0,"""Recibes [Zenith Throw] de Ohza."""
Oza_favs_present_040#0,"""Recibes [Synthesizer] de Ohza."""
Oza_favs_present_050#0,"""Recibes [Slide Shaker] de Ohza."""
Oza_favs_present_060#0,"""Recibes [Speed Rain] de Ohza."""
Oza_favs_present_070#0,"""Recibes [Synthesizer] de Ohza."""
Oza_favs_present_080#0,"""Recibes [Trick Rave] de Ohza."""
Oza_favs_present_090#0,"""Recibes [Bandersnatch] de Ohza."""
Oza_favs_present_100#0,"""Recibes [Synthesizer] de Ohza."""
Oza_favs_present_add_001#0,"""Recibes [<%skit_text>] de Ohza."""
skit01_010#0,"""Si se trata de hunter,<br>o fighter. Preguntame lo que sea."""
skit01_020#0,"""Si eres un hunter puedes usar Sword, Wired Lances y Partizan.<br>Si eres fighter, puedes usar Twin Dagger, Double Sabers y Knuckles.<br>Elige tu arma favorita."""
11_voice_NPC_5020_100#0,"""¿Todo bien?<br>No te olvides de entrenar!"""
11_voice_NPC_5020_101#1,"""Ser Hunter es Genial!<br>Cuanto mas entrenas, mas se puede sentir el efecto en tus mano!"""
11_voice_NPC_5020_100#1,"""Pelear contra los Darkers es agotador.<br>Es algo que dura mucho tiempo,<br>asi que cuidese y recuerde mejorar<br>y descanzar de ves en cuando."""
11_voice_NPC_5020_100#2,"""El papel de un Hunter es estar de pie al frente y soportar el daño y abrir el camino.<br>¿No es verdad?"""
11_voice_NPC_5020_101#2,"""¡La Flor del Hunter sigue siendo el Combate cuerpo a cuerpo!<br>¡EL temblor de la batalla es una gran Precion!"""
11_voice_NPC_5020_104#0,"""Hay un limite para todo.<br>No en todo momento podras combatir solo<br>Para las Emergencias nesesita de sus amigos."""
11_voice_NPC_5020_100#3,"""No es recomendable que actue solo<br>Pero cuando es nesesario,<br>El Hunter es una buena clase para combatir solo."""
Oza_07_020#0,"""Su fuerza y durabilidad es abrumadora!<br>¡Es una clase maravillosa!"""
11_voice_NPC_5020_104#1,"""A veces me dicen que es sensual,<br>pero...<br>¿No es tal cosa?<br>¡Sí, tal cosa no debería existir!"""
11_voice_NPC_5020_100#4,"""Una clases distintas a Hunter?......<br>No, no puedo pensar en ello,<br>porque soy un Hunter, lo soy!"""
Oza_09_020#0,"""Por un momento, no has pensado en Force<br> ¿verdad? ¿No?"""
11_voice_NPC_5020_101#3,"""La cantidad de Darker esta aumentando.<br>Por eso mismo, debemos unirnos y armarnos!"""
Alice_01_10#0,"""¿Qué?<br>Si vi la oportunidad y la aptitud de un Hunter?...<br>Entiendo lo que quiere decir."""
Alice_01_20#0,"""Cuando era pequeño,<br>estube involucrado en un accidente en el centro de la ciudad.<br>Parece que fue un accidente muy grave."""
Alice_01_30#0,"""En ese momento, me quedé atrapado en los escombros, pero me desmayé,<br>pero estaba intacto...<br>esa fue la oportunidad."""
Alice_01_40#0,"""Para un Hunter es necesario<br>tener una aptitud para fortalecer el cuerpo<br>con los Photons de la atmósfera."""
Alice_01_50#0,"""En ese momento,<br>solo era un idiota atrapado en el fuego<br>que inconscientemente protegió su cuerpo utilizando Photons."""
11_voice_NPC_20_104#0,"""El Hunter es muy duro,<br>pero también tiene su límite."""
Oza_mb9_010#0,"""Todas las personas tienen distinta resistencia y nunca es bueno llevarlo al extremo."""
11_voice_NPC_20_105#0,"""evite ir solo para evitar llegar a su limite<br>y para evitar alguna desgracia<br>tenemos que pensar en la cooperación."""
11_voice_NPC_20_101#0,"""Es buen participar en los Campeonatos ARKS.<br>No sólo pensar en mi propio poder,<br>los resultados cambiarán, si formas un grupo."""
11_voice_NPC_5020_100#5,"""La situación siempre cambia.<br>Hay que adaptarse a diferentes situaciones sin entrar en pánico."""
11_voice_NPC_5020_104#2,"""Recientemente,<br>una especie de Darker que no recuerdo muy bien<br>ha aparecido."""
Oza_mb13_020#0,"""¿Eso sera... Evolución?<br>¿O nació en un flujo totalmente diferente?"""
11_voice_NPC_5020_104#3,"""Recientemente,<br>una especie de Darker que no recuerdo muy bien<br>ha aparecido."""
Oza_mb14_020#0,"""¿Eso sera... Evolución?<br>¿O nació en un flujo totalmente diferente?"""
11_voice_NPC_5020_102#0,"""煮え切らん態度は気に入らん！<br>ああ、いや、お前の事ではないぞ。<br>こっちの話だ。"""
11_voice_NPC_5020_108#0,"""…Lo siento. Me averguenzo de mí mismo cuyas palabras sólo vienen a mi mente...<br>es miserable."""
11_voice_NPC_5020_104#4,"""No hay lugar para discusión."""
Oza_mb18_020#0,"""¿Oh? Lo siento,<br>esta es la historia."""
11_voice_NPC_5020_104#5,"""¿Oh? Lo siento, estaba pensando un poco."""
Oza_mb19_020#0,"""Pensando en el sexo...Hmmmm ..., o no."""
11_voice_NPC_5020_100#6,"""Si hay varios tipos de agresión, pero es bueno para terminar, lo eres."""
Oza_mb20_020#0,"""No deberías molestarte más."""
Oza_mb20_030#0,"""Frecuentemente me dejaba llevar por las quejas.<br>gracias."""
Oza_mb21_010#0,"""No esperaba saber sobre otras clases que no fueran Hunter antes.<br>Pensé que Hunter era el mejor."""
Oza_mb21_020#0,"""今はその姿勢を反省している。<br>自分のクラスだけを熟知していても<br>他を知らなければ、協力などできない。"""
