11_voice_NPC_5026_100#0,"""Hello, hello!<br>Things are busy as ever<br>yes they are."""
Kuro_01_020#0,"""ふむふむ。<br>あのネコさんの印象ですかぁ？"""
Kuro_01_030#0,"""あいにく、リサにはそういうの<br>よくわからないんですよねぇ。<br>残念ですねぇ、壊れてますからねぇ。"""
Kuro_01_040#0,"""でも、リサと一緒に敵さんたちを<br>弄りに行ってくれたなら、何かが<br>芽生えるのかもしれないですねぇ。"""
Kuro_01_050#0,"""という内容を、あのネコさんに<br>お伝えいただけますかぁ？<br>では、ではではでは。"""
skit01_010#0,"""Ranger and Gunner are nice, you know?<br>They let you shoot and shoot and shoot<br>so you can kill LOTS of those pesky enemies, you know?"""
skit01_020#0,"""Rifles, launchers, twin guns...<br>Each and every one is precious, you know?<br>Hehe. Hehehe. Hehehehehe."""
11_voice_NPC_5026_101#0,"""Oh, hello!<br>You've returned!"""
Risa_favs_before_020#0,"""Lisa is happy,<br>so she'll give you this, you know?"""
Risa_favs_before_030#0,"""You will take it, won't you?"""
Risa_favs_after_010#0,"""Lisa doesn't need any thanks.<br>She wouldn't know what to do<br>with it."""
Risa_favs_after_020#0,"""Please use that well! ... And survive long enough<br>for us to see each other again."""
Risa_favs_after_030#0,"""Hehe. Hehehehehe."""
Risa_favs_present_010#0,"""Received \""Synthesizer\"" from Lisa."""
Risa_favs_present_020#0,"""Received \""Synthesizer\"" from Lisa."""
Risa_favs_present_030#0,"""Received \""Synthesizer\"" from Lisa."""
Risa_favs_present_040#0,"""Received \""Sneak Shooter\"" from Lisa."""
Risa_favs_present_050#0,"""Received \""Synthesizer\"" from Lisa."""
Risa_favs_present_060#0,"""Received \""Synthesizer\"" from Lisa."""
Risa_favs_present_070#0,"""Received \""Synthesizer\"" from Lisa."""
Risa_favs_present_080#0,"""Received \""Piercing Shell\"" from Lisa."""
Risa_favs_present_090#0,"""Received \""Synthesizer\"" from Lisa."""
Risa_favs_present_100#0,"""Received \""Synthesizer\"" from Lisa."""
Risa_favs_present_add_001#0,"""Received \""<%skit_text>\"" from Lisa."""
11_voice_NPC_5026_100#1,"""Hello.<br>Lisa's having a little rest, you know?<br>As you can see. Hehe."""
Risa_01_020#0,"""Sniping is hard work, it is!<br>That's why resting is important.<br>Hehe. Hehehehe."""
11_voice_NPC_5026_100#2,"""All sorts of enemies have weak points, yes?<br>If you drive all your attacks into an enemy's weak point,<br>they stop breathing really quickly."""
11_voice_NPC_5026_106#0,"""Anyone who'd talk to Lisa would have to be<br>absolutely out of their mind.<br>So... that means you're quite weird."""
