text01#0,"""『아쿠마 슬롯』이란?"""
text02#0,"""『아쿠마 슬롯』 플레이 방법(기본편)"""
text03#0,"""『아쿠마 슬롯』 플레이 방법(응용편)"""
text04#0,"""돌아가기"""
Title#0,"""『아쿠마 슬롯』에 대하여"""
text01#1,"""『아쿠마 슬롯』을 설명하겠습니다.<br><br>아쿠마 슬롯은 1인 플레이 전용<br><yellow>하이 리스크 & 하이 리턴 게임<c>입니다.<br><br>먼저 많은 카지노 코인(CC)을 걸고<br>슬롯을 돌려 획득 CC를 늘립니다.<br><br><c 00ffff>획득 CC는 30 스테이지를 클리어하거나<br>직접 게임을 끝낼 때 정산됩니다.<c><br><br><yellow>※이 게임은<br>\u3000「하루 플레이 횟수 제한」이 있습니다.<c>"""
text02#1,"""『배틀 게임』<br><br>「펄스 암」과 싸우는 모드입니다.<br>한 기를 골라 격파하면 획득 CC 증가!<br><br>하지만 고른 한 기가 꽝이면<br><yellow>획득 CC가 0이 되어 게임 오버<c>입니다.<br>전진할지 물러날지 신중히 판단하세요!<br><br>마지막 30 스테이지는 보너스 게임입니다.<br>꽝이 없고 획득 CC도 크게 늘어나니<br>30 스테이지를 목표로 힘내세요!"""
Title#1,"""『아쿠마 슬롯』 기본 플레이 방법"""
text01#2,"""『아쿠마 슬롯 플레이 방법』<br><br><yellow>버튼을 누르면 슬롯이 회전<c>하고<br>잠시 후 회전이 멈춥니다.<br><c 00ffff>이때 같은 그림이 3개 모이면<br>획득 카지노 코인(CC)이 늘어납니다.<c><br><br>그 밖에도 『배틀 게임』에 돌입하는<br><yellow>「펄스 암」<c> 그림도 있습니다.<br><br>당첨 여부와 상관없이 한 단계 진행되고<br>마지막 30 스테이지에 도달하면<br>고배당을 얻는 <yellow>『피니시 보너스』<c>에<br>도전할 수 있습니다."""
text02#2,"""『컴플리트 보너스』<br><br>「아쿠마」 3장과 「아쿠마미」 3장,<br>「아쿠마 & 아쿠마미」 3장을 맞추면<br><yellow>『컴플리트 보너스』<c>가<br>획득 CC에 더해집니다.<br><br>『컴플리트 보너스』를 달성할 때마다<br>최대 3단계까지 보너스가 늘어납니다."""
text03#1,"""『배틀 게임』<br><br>맞히면 획득 CC에 보너스가 붙지만<br><yellow>빗나가면 획득 CC가 0이 되어 게임 오버<c><br>가 되는 운을 건 승부입니다.<br><br>「펄스 암」 중 한 기가 꽝이며<br>그 외의 기체를 고르면 성공입니다.<br><br>격파에 성공하면 표시된 배율만큼<br>획득 CC가 크게 늘고 다음으로 갑니다.<br><br><c ff4f3f>격파에 실패하면 획득 CC를 모두 잃고<br>게임 오버가 됩니다.<c>"""
text04#1,"""『피니시 보너스』<br><br>30 스테이지에 도달하면<br>「다크 펄스 엘더」가 출현합니다!<br>부위 하나를 골라 공격하세요.<br><br>30 스테이지는 보너스 스테이지라<br><yellow>꽝이 없습니다!<c><br><br>고른 부위에 따라 CC 배율이 달라집니다.<br>어쩌면 순식간에 CC 부자가 될지도!?<br><br><c 00ffff>『피니시 보너스』를 마치면<br>획득 CC가 정산되고 게임이 끝납니다.<c>"""
Title#2,"""『아쿠마 슬롯』 응용 플레이 방법"""
text01#3,"""『아쿠마 슬롯 요령』<br><br>아쿠마 슬롯에 접속하면<br>그 기계의 「평균 스테이지 도달 수」를<br>확인할 수 있습니다.<br><br>이 수치가 클수록 높은 스테이지에<br>도달하기 쉬운 기계라는 기준이 됩니다.<br><br>기계 상태를 잘 살펴 30 스테이지의<br>피니시 보너스를 노려 보세요!"""
