NAME#0,"""Anneliese"""
NICKNAME#0,"""Quest Counter Attendant"""
HELLO#0,"""Come challenge your limits!"""
HELLO_FAV0#0,"""Come challenge your limits!"""
HELLO_FAV1#0,"""Come challenge your limits!"""
HELLO_FAV2#0,"""Come challenge your limits!"""
HELLO_FAV3#0,"""Come challenge your limits!"""
HELLO_FAV4#0,"""Come challenge your limits!"""
Q0#0,"""Come challenge your limits!"""
TALK_BYE_QUEST#0,"""Let's do this! YEAAAAAHHHH!"""
GOODBYE#0,"""You gotta be more fired up!"""
GOODBYE_FAV0#0,"""You gotta be more fired up!"""
GOODBYE_FAV1#0,"""You gotta be more fired up!"""
GOODBYE_FAV2#0,"""You gotta be more fired up!"""
GOODBYE_FAV3#0,"""You gotta be more fired up!"""
GOODBYE_FAV4#0,"""You gotta be more fired up!"""
00_01#0,"""Option 1"""
00_02#0,"""Option 2"""
TALK_ST#0,"""Talk"""
C_ORDER_ST#0,"""Listen to details"""
