11_voice_NPC_5009_101#0,"""おや、キミか。<br>ああ、丁度良いからこれを。"""
Aki_favs_before_020#0,"""私が持っていても意味がないからね。<br>よければ受け取ってくれないか。"""
Aki_favs_after_010#0,"""キミには世話になってきたからね。<br>そのお礼だと思ってくれ。"""
Aki_favs_after_020#0,"""これからもよろしく頼むよ。"""
Aki_favs_present_010#0,"""Received 『シンセサイザー』 from アキ."""
Aki_favs_present_020#0,"""Received 『エイミングショット』 from アキ."""
Aki_favs_present_030#0,"""Received 『シンセサイザー』 from アキ."""
Aki_favs_present_040#0,"""Received 『シンセサイザー』 from アキ."""
Aki_favs_present_050#0,"""Received 『レイジダンス』 from アキ."""
Aki_favs_present_060#0,"""Received 『シンセサイザー』 from アキ."""
Aki_favs_present_070#0,"""Received 『シンセサイザー』 from アキ."""
Aki_favs_present_080#0,"""Received 『トライインパクト』 from アキ."""
Aki_favs_present_090#0,"""Received 『シンセサイザー』 from アキ."""
Aki_favs_present_100#0,"""Received 『シンセサイザー』 from アキ."""
Aki_favs_present_add_001#0,"""Received 『<%skit_text>』 from アキ."""
11_voice_NPC_5009_105#0,"""……失礼。<br>話しかけないでもらえるかな。<br>考えをまとめている最中なんだ。"""
11_voice_NPC_5009_102#0,"""キミはどうして私に話しかけた？<br>その理由を自身で見出さなければ<br>私は答える言葉を持たないよ。"""
11_voice_NPC_5009_103#0,"""私の思考は抽象的すぎると揶揄される。<br>枠が広すぎると、言いたいのだろうね。<br>私からしてみれば、唾棄すべき意見だ。"""
Aki_03_020#0,"""自ら縛りをもうけた思考や思案に<br>何の意味があるというのか。<br>考えなければ、人は死ぬぞ。"""
11_voice_NPC_5009_100#0,"""有史上において最も偉大な出来事は<br>フォトンの発見だろうな。<br>だが、その経緯には疑問も多い。"""
Aki_04_020#0,"""これだけ大きな事象だというのに<br>記録がほとんど残っていない。<br>誰がどうやって見つけたのか。謎だね。"""
11_voice_NPC_5009_102#1,"""人の行動には全て目的が付随する。<br>目的無き行動は、行動とは呼べず<br>その人は人ではなく、物だよ。"""
11_voice_NPC_5009_100#1,"""飽くなき探求心は全ての原動力となる。<br>キミも、何かを疑い、真実を求める<br>姿勢を忘れない方がいい。"""
11_voice_NPC_5009_100#2,"""真実と事実は容易に異なるよ。<br>それを理解せず、認めようとしない者は<br>痛い目を見る。世の仕組みだ。"""
11_voice_NPC_5009_101#1,"""キミは面白いね。<br>会うたび、違う空気をまとっている。<br>誰よりも何よりも、興味深いよ。"""
