text00#0,"""バトルアリーナ管理官、ラベルナだ。<br>質問は手短に頼む。"""
text01#0,"""『エンブレム争奪戦のルール』について"""
text02#0,"""『エンブレム』について"""
text07#0,"""『ユニオン』について"""
text03#0,"""『武器の入手』について"""
text12#0,"""『ランクマッチで使用できる武器』について"""
text05#0,"""『武器の詳細』について"""
text04#0,"""『バトルエリア』について"""
text06#0,"""『共通シップ』について"""
text09#0,"""『スキル』について"""
text10#0,"""『スキルの詳細』について"""
text99#0,"""Zurück"""
weapon_text1#0,"""『武器の詳細』について"""
weapon_text2#0,"""『ソード』について"""
weapon_text3#0,"""『ライフル』について"""
weapon_text4#0,"""『ロッド』について"""
weapon_text5#0,"""『ジェットブーツ』について"""
weapon_text6#0,"""『バレットボウ』について"""
weapon_text7#0,"""『パルチザン』について"""
weapon_text8#0,"""『ツインマシンガン』について"""
weapon_text9#0,"""『タリス』について"""
weapon_text10#0,"""『デュアルブレード』について"""
weapon_text11#0,"""『ツインダガー』について"""
weapon_text12#0,"""『ナックル』について"""
weapon_text99#0,"""戻る"""
text1#0,"""『武器の詳細』について"""
text2#0,"""『ソード』について"""
text3#0,"""『ライフル』について"""
text4#0,"""『ロッド』について"""
text5#0,"""『ジェットブーツ』について"""
text6#0,"""『バレットボウ』について"""
text7#0,"""『パルチザン』について"""
text8#0,"""『ツインマシンガン』について"""
text9#0,"""『タリス』について"""
text10#1,"""『デュアルブレード』について"""
text11#0,"""『ツインダガー』について"""
text12#1,"""『ナックル』について"""
text99#1,"""戻る"""
text00#1,"""基本的なルールの確認だな。<br>まずはこれを見てくれ。"""
text01#1,"""大まかなルールは以上だ。<br>後は実戦を繰り返して<br>身体に叩き込むといい。"""
text00#2,"""エンブレムについて、だな。<br>まずはこれを見てくれ。"""
text01#2,"""高得点のエンブレムの発生場所は<br>激戦区になりやすい。"""
text02#1,"""先んじてその場を制圧できれば<br>戦いを有利に運べるだろう。<br>覚えておくといい。"""
text00#3,"""武器の入手について、だな。<br>まずはこれを見てくれ。"""
text01#3,"""苦手とする武器しか手に入らなくても<br>諦めずに使ってみるといい。<br>その経験は、いずれ力になるはずだ。"""
text02#2,"""苦手とする武器しか手に入らなくても<br>諦めずに使ってみるといい。<br>その経験は、いずれ力になるはずだ。"""
text00#4,"""バトルエリアについて、だな。<br>まずはこれを見てくれ。"""
text01#4,"""バトルエリアにはそれぞれ特色がある。<br>それに合わせた戦い方を身につけねば<br>勝利することは難しいだろう。"""
text02#3,"""まずは経験を積むことだ。<br>納得がいくまで、何度もな。"""
text00#5,"""はい、承りました。<br>チャレンジ中のアドバイスを<br>行わないように致します。"""
text01#5,"""ですが、重要な箇所に関しては<br>今までどおりご案内致しますので<br>ご了承ください。"""
text02#4,"""また、アドバイスが必要になりましたら<br>お気軽に声をおかけください。"""
text00#6,"""共通シップについて、だな。<br>まずはこれを見てくれ。"""
text01#6,"""共通シップには、君が所属する<br>シップ以外の人も滞在している。<br>よければ交流してみるといい。"""
text00#7,"""スキルについて、だな。<br>まずはこれを見てくれ。"""
text01#7,"""スキルは強力な効果を持つものばかり。<br>戦況を見極め、使用することで<br>有利に戦うことが出来るだろう。"""
text00#8,"""スキルの詳細について、だな。<br>まずはこれを見てくれ。"""
text01#8,"""これから君が向かうであろう戦場では<br>スキルの効果を熟知することが必須。<br>ここでしっかり覚えていくといい。"""
text00#9,"""『エンブレム争奪戦のルール』について"""
text0001#0,"""<c ffff00>エンブレム争奪戦は合計１２人のプレイヤーが<br>２グループ（ユニオン）に分かれて<br>勝敗を競う対戦ルール<c>です。<br><br>所属したユニオンの勝敗結果や<br>個人の活躍に応じて<br>ショップエリア２Ｆ交換ショップにて<br>各種アイテムと交換できる<br>『バトルコイン』を入手できます。<br><br><c ff4f3f>※キャラクターのクラス、レベル<br>\u3000\u3000所持品などは一時的に制限されます。<c>"""
text0002#0,"""エンブレム争奪戦の勝敗は限られた時間内に<br><c ffff00>より多くのポイントを集めた<br>ユニオンの勝利となります。<c><br><br>ポイントは以下の手段で手に入れます。<br><c ffff00>\u3000・マップ上のエンブレムを拾う<br>\u3000・敵ユニオンのプレイヤーを撃破する<c><br><br>特にプレイヤーを撃破した際は<br><c ffff00>撃破したプレイヤーが所有していた<br>ポイントの一部を奪って、手に入れるため<c><br>頭上にアイコンが表示された<br>高ポイントのプレイヤーを倒すことが<br>勝利の決め手になります。"""
text00#10,"""『エンブレム』について"""
text0001#1,"""マップに置かれたエンブレムを拾うことで<br>所属ユニオンのポイントが上がり<br>時間内により多くのポイントを集めた<br>ユニオンが勝利します。<br><br><c ffff00>エンブレムに近づくことで自動で手に入り<br>一定時間の経過で、再び出現します。<c>"""
text0002#1,"""<c ffff00>エンブレムには複数の種類（色）があり<br>拾った種類に応じて<br>手に入るポイントが異なります。<c><br><br>\u3000所属ユニオン色\u3000１Ｐｔ<br>\u3000敵対ユニオン色\u3000５Ｐｔ<br>\u3000虹色\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000１０Ｐｔ<br><br>虹色のエンブレムが出現する場所を制圧し<br>敵ユニオンのプレイヤーを近寄らせないことで<br>戦いを有利に進めることができます。"""
text0003#0,"""また片方のユニオンが負けている時<br>まれに<c ffff00>エンブレムフィーバー<c>が発生します。<br><br>エンブレムフィーバー中は<br><c ffff00>劣勢なユニオンにとって有利なように<br>虹色のエンブレムが大量に設置<c>されます。<br><br>大逆転を狙えるチャンスですが<br>敵ユニオンも大挙して攻めてくるため<br>より連携したチームプレイが要求されます。"""
text00#11,"""『武器の入手』について"""
