11_voice_NPC_5227_100#0,"""Oh, veo que todo está bien.<br>Toma, te daré esto."""
favs_before_020#0,"""No es la gran cosa, así que no te contengas."""
favs_after_010#0,"""急になんでかって？<br>ほら……色々と迷惑かけちゃったし<br>世話にもなったから。"""
favs_after_020#0,"""No es que me disculpe, pero no me importa responder..."""
favs_after_030#0,"""Mejor, ¿Verdad?<br>¡Ve rápidamente a la misión!"""
skit_item_present_5227_010#0,"""Recibes [<%skit_text>] de Yucreta."""
skit_item_present_5227_020#0,"""Recibes [<%skit_text>] de Yucreta."""
skit_item_present_5227_030#0,"""Recibes [<%skit_text>] de Yucreta."""
skit_item_present_5227_040#0,"""Recibes [<%skit_text>] de Yucreta."""
skit_item_present_5227_050#0,"""Recibes [<%skit_text>] de Yucreta."""
skit_item_present_5227_060#0,"""Recibes [<%skit_text>] de Yucreta."""
skit_item_present_5227_070#0,"""Recibes [<%skit_text>] de Yucreta."""
skit_item_present_5227_080#0,"""Recibes [<%skit_text>] de Yucreta."""
skit_item_present_5227_090#0,"""Recibes [<%skit_text>] de Yucreta."""
skit_item_present_5227_100#0,"""Recibes [<%skit_text>] de Yucreta."""
favs_present_add_001#0,"""Recibes [<%skit_text>] de Yucreta."""
mb25_after_010#0,"""Suena extraño de alguna manera. Pero estoy en la nave de los ARKS."""
mb25_after_020#0,"""Es cierto que es incómodo.<br>Yo era un enemigo de Arks."""
mb25_after_030#0,"""En cualquier caso, estoy bien.<br>creo que estoy agradecida de que me frenaras."""
mb25_after_040#0,"""De todos modos!<br>Si tiene tiempo para vender petróleo,<br> puedes tomar un descanso de ves en cuando."""
11_voice_NPC_5227_100#1,"""Oh, volviste."""
st01_020#0,"""身体の調子は……大丈夫そうね。<br>アウロラも何も言ってこないし<br>上手く浄化できてるんじゃない？"""
st01_030#0,"""あたしへの挨拶は良いから<br>他の人に会ってきなさいよ。<br>みんな、会いたがってたわよ。"""
11_voice_NPC_5227_100#2,"""アウロラ？\u3000なんでも武器姿の方が<br>本人的に楽みたいで、最近はもっぱら<br>その姿のままのんびりしてるわよ。"""
st01_020#1,"""人型になってた時もあったけど<br>見た目的に目立つからね。<br>質問攻めにうんざりしたみたい。"""
st01_030#1,"""……反論もないし、今も寝てるわね。<br>ま、そのうち会えるんじゃない？"""
11_voice_NPC_5227_100#3,"""あんたが戻ってきた途端<br>色々賑やかになったわね。"""
st01_020#2,"""他人の面倒事に<br>クビを突っ込む体質というか<br>お人好しというか……"""
st01_030#2,"""それで助けられたあたしが<br>言うのもなんだけど<br>程々にしときなさいよ。"""
st01_010#0,"""人が相手……か。<br>今更ためらうようなものでもないわ。"""
st01_020#3,"""ハルコタンだってアムドゥスキアだって<br>相手は意志ある存在だったでしょ。<br>それと同じだと、あたしは思うわ。"""
st01_030#3,"""……何にせよ、気にしすぎるなって事。<br>主に戦う相手は、幻創種なんだからね。"""
11_voice_NPC_5227_104#0,"""具現化した武器を折られる……<br>折れるものなのね、そういうの。"""
st01_020#4,"""心の具象なら、心が砕けるまでは<br>その形を保ちそうなものなのに……"""
st01_010#1,"""折れたのは武器じゃなくて心。<br>だから、心が戻れば武器も戻る。<br>さらに強さと輝きを増して、ね。"""
st01_020#5,"""とんでもない荒療治だけども<br>そのヒツギって子にとっては<br>越えるべき壁だったんじゃないかしら。"""
st01_030#4,"""自分の心、本当の心と向き合うのって<br>本当に、辛くて大変だからね。"""
st01_010#2,"""ダークファルスが、その気配を持たずに<br>存在している。それはつまり、その子は<br>すでにダークファルスじゃない。"""
st01_020#6,"""あたしは、そういう見解よ。<br>アークスがどう考えてるかは<br>知らないけどね。"""
st01_030#5,"""どうあるべきかを決めるのは<br>他人ではなく自分だ、ってこと。<br>アルは自分をどう思ってるのかしらね。"""
st01_010#3,"""……アルって子、戻って来たんでしょ？<br>良かったわね、助け出せて。"""
st01_020#7,"""口ではいろいろ言ってると思うけど<br>内心はとっても不安だったはずよ。<br>いっそう優しくしてあげるといいわ。"""
st01_010#4,"""結局、地球の騒動についても<br>フォトナーの後始末って感じね。"""
st01_020#8,"""アウロラにも聞いてみてるんだけど<br>やっぱり記憶が曖昧みたいでね。<br>正直、あんまりアテにならないわ。"""
st01_030#6,"""肝心なことよりも、当時の美醜とか<br>どうでもいいことばかり思い出すから<br>付き合う方が大変よ。"""
sq00_010#0,"""ダークファルスから救い出す、じゃなく<br>【深遠なる闇】から宿主を救い出す<br>とは、アークスも酔狂極まってるわね。"""
11_voice_NPC_5227_101#0,"""もっとも、それに協力するあたしも<br>十分に酔狂なんでしょうけど。"""
11_voice_NPC_5227_101#1,"""おかえりなさい。<br>……心配してたわけじゃないけど<br>みんな落ち着かなそうだったからね。"""
sq01_020#0,"""アウロラはなんだか、あんたが<br>無事なの確信してたみたいだけど……<br>ま、どうでもいいか。"""
11_voice_NPC_5227_104#1,"""La aparicion Darker a amainado<br>ya escuche la historia pero...<br>¿Es encerio?"""
sq02_020#0,"""Tu puedes tener poder<br>...Aunque puede ser amor al miedo<br>Tal posibilidad debe ser pensada"""
sq10_010#0,"""……この前のことは、他言無用よ。<br>特にアフィンには、絶対に<br>言わないように。"""
sq10_020#0,"""……別に恥ずかしいとかじゃない。<br>余計な心配をかけると、しつこくて<br>面倒ってだけの話よ。"""
