text100#0,"""Daily Orders"""
text101#0,"""Daily Orders are Client Orders that change every day.<br><br>For some Daily Orders involving enemy subjugation or item collection, you can turn in as many as you like, and you will receive a proportional reward."""
Npc49_01_010#0,"""As the name suggests, Daily Orders are requests that change on a daily basis!"""
Npc49_01_020#0,"""I hope you'll come every day! That would make me so happy!"""
Npc49_01_030#0,"""But please get a little more experience first!"""
Npc49_02_010#0,"""As the name suggests, Daily Orders are requests that change on a daily basis!"""
Npc49_02_020#0,"""I hope you'll come every day! That would make me so happy!"""
Npc49_03_010#0,"""As the name suggests, Daily Orders are requests that change on a daily basis!"""
Npc49_03_020#0,"""I hope you'll come every day! That would make me so happy!"""
Npc49_04_010#0,"""As the name suggests, Daily Orders are requests that change on a daily basis!"""
Npc49_04_020#0,"""I hope you'll come every day! That would make me so happy!"""
Npc49_05_010#0,"""As the name suggests, Daily Orders are requests that change on a daily basis!"""
Npc49_05_020#0,"""I hope you'll come every day! That would make me so happy!"""
Npc49_06_010#0,"""As the name suggests, Daily Orders are requests that change on a daily basis!"""
Npc49_06_020#0,"""I hope you'll come every day! That would make me so happy!"""
Npc49_07_010#0,"""As the name suggests, Daily Orders are requests that change on a daily basis!"""
Npc49_07_020#0,"""I hope you'll come every day! That would make me so happy!"""
Npc49_08_010#0,"""As the name suggests, Daily Orders are requests that change on a daily basis!"""
Npc49_08_020#0,"""I hope you'll come every day! That would make me so happy!"""
Npc49_mb9_010#0,"""As the name suggests, Daily Orders are requests that change on a daily basis!"""
Npc49_mb9_020#0,"""I hope you'll come every day! That would make me so happy!"""
Npc49_mb10_010#0,"""As the name suggests, Daily Orders are requests that change on a daily basis!"""
Npc49_mb10_020#0,"""I hope you'll come every day! That would make me so happy!"""
Npc49_mb11_010#0,"""As the name suggests, Daily Orders are requests that change on a daily basis!"""
Npc49_mb11_020#0,"""I hope you'll come every day! That would make me so happy!"""
Npc49_mb12_010#0,"""As the name suggests, Daily Orders are requests that change on a daily basis!"""
Npc49_mb12_020#0,"""I hope you'll come every day! That would make me so happy!"""
Npc49_mb13_010#0,"""As the name suggests, Daily Orders are requests that change on a daily basis!"""
Npc49_mb13_020#0,"""I hope you'll come every day! That would make me so happy!"""
Npc49_mb14_010#0,"""As the name suggests, Daily Orders are requests that change on a daily basis!"""
Npc49_mb14_020#0,"""I hope you'll come every day! That would make me so happy!"""
