Q0#0,"""¿Si,dime?"""
HELLO#0,"""¿Que pasa?"""
HELLO_FAV4#0,"""Te estube esperando〜"""
HELLO_FAV3#0,"""Hola〜"""
HELLO_FAV2#0,"""¿Que sucede?"""
HELLO_FAV1#0,"""Hola"""
HELLO_FAV0#0,"""Si?"""
GOODBYE#0,"""Adios"""
GOODBYE_FAV4#0,"""Bye bye. Bye bye bye."""
GOODBYE_FAV3#0,"""Que tengas un buen dia"""
GOODBYE_FAV2#0,"""Adios"""
GOODBYE_FAV1#0,"""Bien entonces"""
GOODBYE_FAV0#0,"""Hehehe..."""
00_01#0,"""Opcion 1"""
00_02#0,"""Opcion 2"""
TALK_ST#0,"""Hablar"""
C_ORDER_ST#0,"""Escuchar los detalles"""
