11_voice_NPC_5057_101#0,"""あら、よく来たわね。<br>丁度良いわ、これを持っていきなさい。"""
Npc57_favs_before_020#0,"""私からのプレゼント。<br>といっても、余り物だけどね。"""
Npc57_favs_after_010#0,"""礼は不要よ。<br>言った通り余り物だしね。"""
Npc57_favs_after_020#0,"""ま、日頃頑張っていることに対して<br>ご褒美とでも思っておきなさい。"""
Npc57_favs_present_010#0,"""Received 『Synthesizer』 from Barbara."""
Npc57_favs_present_020#0,"""Received 『Barta』 from Barbara."""
Npc57_favs_present_030#0,"""Received 『Resta』 from Barbara."""
Npc57_favs_present_040#0,"""Received 『Synthesizer』 from Barbara."""
Npc57_favs_present_050#0,"""Received 『Rabarta』 from Barbara."""
Npc57_favs_present_060#0,"""Received 『Anti』 from Barbara."""
Npc57_favs_present_070#0,"""Received 『Synthesizer』 from Barbara."""
Npc57_favs_present_080#0,"""Received 『Deband』 from Barbara."""
Npc57_favs_present_090#0,"""Received 『Sabarta』 from Barbara."""
Npc57_favs_present_100#0,"""Received 『Synthesizer』 from Barbara."""
Npc57_favs_present_add_001#0,"""Received 『<%skit_text>』 from Barbara."""
11_voice_NPC_5057_100#0,"""ファイター、ガンナー、テクターの<br>指導であれば、私に任せなさい。<br>みっちり教えてあげるから。"""
11_voice_NPC_5057_100#1,"""ファイター、ガンナー、テクターの<br>指導であれば、私に任せなさい。<br>みっちり教えてあげるから。"""
11_voice_NPC_5057_100#2,"""ファイター、ガンナー、テクターの<br>指導であれば、私に任せなさい。<br>みっちり教えてあげるから。"""
11_voice_NPC_5057_100#3,"""ファイター、ガンナー、テクターの<br>指導であれば、私に任せなさい。<br>みっちり教えてあげるから。"""
11_voice_NPC_5057_100#4,"""ファイター、ガンナー、テクターの<br>指導であれば、私に任せなさい。<br>みっちり教えてあげるから。"""
11_voice_NPC_5057_104#0,"""かつてのクラスを解放するほどに<br>アークスの数が増えてきたのは<br>いいことだと思うわ。"""
Npc57_06_020#0,"""でも、翻って考えれば、それだけの<br>アークスが必要なほど、ダーカーが<br>増えてきているってことよ。"""
11_voice_NPC_5057_104#1,"""かつてのクラスを解放するほどに<br>アークスの数が増えてきたのは<br>いいことだと思うわ。"""
Npc57_07_020#0,"""でも、翻って考えれば、それだけの<br>アークスが必要なほど、ダーカーが<br>増えてきているってことよ。"""
11_voice_NPC_5057_104#2,"""かつてのクラスを解放するほどに<br>アークスの数が増えてきたのは<br>いいことだと思うわ。"""
Npc57_08_020#0,"""でも、翻って考えれば、それだけの<br>アークスが必要なほど、ダーカーが<br>増えてきているってことよ。"""
Alice_01_10#0,"""ダーカー以外の生物と戦うことを<br>どう思うか、ね。<br>私も考えたことあるわよ、それ。"""
Alice_01_20#0,"""どう思うか、よりも<br>どうやって割り切るか、だと<br>私は思っているわ。"""
Alice_01_30#0,"""知っての通り、フォトン以外の力で<br>ダーカーを倒しても、その残滓が残り<br>周囲の生物を狂わせていくわ。"""
