NAME#0,"""안넬리제"""
NICKNAME#0,"""퀘스트 카운터 직원"""
HELLO#0,"""빨리 고르라고!"""
HELLO_FAV0#0,"""빨리 고르라고!"""
HELLO_FAV1#0,"""빨리 고르라고!"""
HELLO_FAV2#0,"""빨리 고르라고!"""
HELLO_FAV3#0,"""빨리 고르라고!"""
HELLO_FAV4#0,"""빨리 고르라고!"""
Q0#0,"""빨리 고르라고!"""
TALK_BYE_QUEST#0,"""여, 열심히 하고 오라고!"""
GOODBYE#0,"""뭐야, 그냥 가는 거야?"""
GOODBYE_FAV0#0,"""뭐야, 그냥 가는 거야?"""
GOODBYE_FAV1#0,"""뭐야, 그냥 가는 거야?"""
GOODBYE_FAV2#0,"""뭐야, 그냥 가는 거야?"""
GOODBYE_FAV3#0,"""뭐야, 그냥 가는 거야?"""
GOODBYE_FAV4#0,"""뭐야, 그냥 가는 거야?"""
00_01#0,"""선택지 1"""
00_02#0,"""선택지 2"""
TALK_ST#0,"""대화하기"""
C_ORDER_ST#0,"""상담 듣기"""
