Q0#0,"""こんにちはっ！"""
HELLO#0,"""こんにちはっ！"""
HELLO_FAV4#0,"""待ってたよ！"""
HELLO_FAV3#0,"""来た来た！"""
HELLO_FAV2#0,"""こんにちはっ！"""
HELLO_FAV1#0,"""どうも"""
HELLO_FAV0#0,"""あ……"""
GOODBYE#0,"""あっ、そうそう！<br>新年祭2019交換ショップ陳列中！<br>いつでも見に来てね！"""
GOODBYE_FAV4#0,"""あっ、そうそう！<br>新年祭2019交換ショップ陳列中！<br>いつでも見に来てね！"""
GOODBYE_FAV3#0,"""あっ、そうそう！<br>新年祭2019交換ショップ陳列中！<br>いつでも見に来てね！"""
GOODBYE_FAV2#0,"""あっ、そうそう！<br>新年祭2019交換ショップ陳列中！<br>いつでも見に来てね！"""
GOODBYE_FAV1#0,"""あっ、そうそう！<br>新年祭2019交換ショップ陳列中！<br>いつでも見に来てね！"""
GOODBYE_FAV0#0,"""あっ、そうそう！<br>新年祭2019交換ショップ陳列中！<br>いつでも見に来てね！"""
00_01#0,"""Opsi 1"""
00_02#0,"""Opsi 2"""
TALK_ST#0,"""Bicara"""
C_ORDER_ST#0,"""Lihat Detail"""
