11_voice_NPC_5151_100#0,"""お前か。<br>ちょうどいいところだった。"""
favs_before_020#0,"""これを渡そうと思っていた。<br>私には不要の代物だが<br>お前には役立つものかもしれん。"""
favs_after_010#0,"""大したものではないが<br>いつも世話になっているからな。"""
favs_after_020#0,"""それではな。"""
favs_present_010#0,"""Received 『Photon Sphere』 from Saga."""
favs_present_020#0,"""Received 『Strike Gust』 from Saga."""
favs_present_030#0,"""Received 『Excube』 from Saga."""
favs_present_040#0,"""Received 『Extreme Pass』 from Saga."""
favs_present_050#0,"""Received 『Gran Wave』 from Saga."""
favs_present_060#0,"""Received 『Tri Boost +50%』 from Saga."""
favs_present_070#0,"""Received 『Grind Success Rate +10%』 from Saga."""
favs_present_080#0,"""Received 『Grind Risk Reduction (+2)』 from Saga."""
favs_present_090#0,"""Received 『Ability Success Rate +10%』 from Saga."""
favs_present_100#0,"""Received 『Moment Gale』 from Saga."""
favs_present_add_001#0,"""Received 『<%skit_text>』 from Saga."""
skit01_010#0,"""バウンサーのことは<br>私と、隣にいるカトリに<br>相談してくれ。"""
skit01_020#0,"""私は主に、魔装脚を<br>カトリは飛翔剣を<br>担当している。"""
mb18_10#0,"""バウンサーは最近、アークスに<br>新たなクラスとして認可された。"""
11_voice_NPC_5151_100#1,"""だが、まだデータが不足しているため<br>私とカトリが試験運用役となっている。<br>今後とも、よろしく頼む。"""
mb19_010#0,"""バウンサーとは、近接戦闘と支援活動が<br>メインのクラスだ。<br>経験豊富であれば活躍ができる。"""
mb19_020#0,"""他にはない戦い方となるが<br>バウンサーにしか出来ないことだ。<br>機会があれば体験してみると良い。"""
mb20_010#0,"""ジェットブーツの特徴としては<br>専用のフォトンアーツが存在し<br>テクニックの使用も可能なことだ。"""
mb20_020#0,"""ただし、武器自体は法撃力に依存する。<br>そこが、他の武器やデュアルブレードと<br>大きく異なる点だな。"""
mb20_030#0,"""お前は既に知っているだろうが<br>まだ知らないアークスもいるだろう。<br>改めて案内しているわけだ。"""
mb21_010#0,"""ジェットブーツについてだが<br>わかりやすい特徴のひとつとして<br>２段ジャンプがある。"""
mb21_020#0,"""デュアルブレードでは出来ない<br>ジェットブーツならではの特徴だ。"""
mb21_030#0,"""改めての案内となるが<br>これも宣伝活動の任務のためだ。<br>よろしく頼む。"""
11_voice_NPC_5151_100#2,"""幸いにして、バウンサーの数は<br>増えてきている。"""
mb22_020#0,"""試験運用担当としては<br>喜ばしい限りだ。"""
11_voice_NPC_5151_104#0,"""未熟なアークスでも戦っていける。<br>意外とこれが、宣伝文句に<br>繋がったのかもしれん。"""
mb23_010#0,"""カトリは確かに未熟ではあるが<br>全くの無能というわけでもない。"""
mb23_020#0,"""根性もそうだが、直感も確かだ。<br>その直感で、敵を察知して<br>一目散に逃げる。"""
11_voice_NPC_5151_100#3,"""そしてそれはほぼ当たる。<br>本能的に感知するものがあるんだろう。"""
mb23_after_010#0,"""情報が開示されたことにより<br>事情もある程度は知っている。"""
11_voice_NPC_5151_100#4,"""カトリも私も協力を惜しまない。<br>人手が必要なら言ってくれ。<br>遠慮は無用だ。"""
mb24_010#0,"""何事も為せば成る。<br>己を信じて、突き進むことだ。"""
11_voice_NPC_5151_100#5,"""協力が必要なら言ってくれ。<br>いくらでも手を貸すつもりだ。"""
mb24_after_010#0,"""ああ、お前か。<br>無事に帰還したようで何よりだ。"""
mb24_after_020#0,"""この結果をちゃんと出せたのも<br>お前の実力があってのことだろう。<br>さすがお前だ。"""
11_voice_NPC_5151_100#6,"""同じアークスとして誇りに思う。<br>私もお前のように、実力を付けねばと。<br>改めて思えたぞ。"""
11_voice_NPC_5151_104#1,"""【深遠なる闇】は、今のところ<br>復活直前の状態で留まっているらしく<br>暫くの猶予があると聞いている。"""
mb25_020#0,"""いつまで留まっているかは不明だが<br>その間に、戦力増強に努めることは<br>出来るはずだ。"""
mb25_030#0,"""私はこれから暫くの間、特訓を重ね<br>きたるべき日に向けて<br>自身を高めようと思っている。"""
11_voice_NPC_5151_100#7,"""久しぶりだな。<br>といっても、お前にとっては一瞬か。"""
st01_020#0,"""コールドスリープを受けると<br>まれに記憶の障害なども起こるという。<br>しばらくは無理をしないほうがいい。"""
st01_030#0,"""それ以外に補足するべき情報は……<br>そうだな。私の隣にいるカトリは<br>呼吸するように嘘をつく。気をつけろ。"""
