11_voice_NPC_5213_100#0,"""あ……<%me><br>えっと、その、ちょっといい？"""
favs_before_020#0,"""わたしさ、いつもお世話になって<br>ばっかりだから、その……<br>渡したいものが、あるの。"""
favs_after_010#0,"""お礼とか、言わないでね。<br>お礼を言いたいのはわたしのほう。<br>いつもいつも、一緒にいてくれるから。"""
favs_after_020#0,"""あなたがいつも一緒にいてくれるから<br>わたしは全然寂しくない。<br>それがすごく、嬉しいの。"""
favs_after_030#0,"""だから、これからもよろしくね。<br><%me>。"""
favs_present_010#0,"""Received 『Photon Sphere』 from Matoi."""
favs_present_020#0,"""Received 『Megiverse』 from Matoi."""
favs_present_030#0,"""Received 『Excube』 from Matoi."""
favs_present_040#0,"""Received 『Extreme Pass』 from Matoi."""
favs_present_050#0,"""Received 『Namegid』 from Matoi."""
favs_present_060#0,"""Received 『Tri Boost +50%』 from Matoi."""
favs_present_070#0,"""Received 『Ability Success Rate +10%』 from Matoi."""
favs_present_080#0,"""Received 『Grind Risk Reduction (+2)』 from Matoi."""
favs_present_090#0,"""Received 『Ability Success Rate +10%』 from Matoi."""
favs_present_100#0,"""Received 『Ilmegid』 from Matoi."""
favs_present_add_001#0,"""Received 『<%skit_text>』 from Matoi."""
11_voice_NPC_5213_100#1,"""……あ、えっと……<br>気を、つけてね？"""
11_voice_NPC_5213_101#0,"""ここは本当に人が多いね。<br>見るものが多くて、目が回りそう。<br>ふふっ、なんでだろ、楽しいな。"""
11_voice_NPC_5213_100#2,"""わたし、過去をあまり覚えてないけど<br>そんなに不安ってわけじゃないんだ。<br>……なんでだろう？"""
11_voice_NPC_5213_100#3,"""みんなでわいわいしてるのって<br>知ってる光景なのに、新鮮に見える。<br>……見ているだけで楽しいな。"""
11_voice_NPC_5213_105#0,"""ときどきね、夢を見るんだ。<br>内容は覚えてないんだけど、ヘンな夢。<br>怖いような、懐かしいような……"""
11_voice_NPC_5213_101#1,"""お帰り<%me><br>今日もがんばってるんだね。<br>うん、がんばってるね。"""
11_voice_NPC_5213_105#1,"""わたしは運良く助けてもらえたけど<br>わたしの他にも、わたしみたいな人って<br>いるのかな？"""
Matoi_08_020#0,"""もしいるんだとしたら<br>……なんか、わたしだけ助かってて<br>ちょっと申し訳ないな、なんて。"""
11_voice_NPC_5213_105#2,"""アークスのみんな、大変そうだけど<br>すごく生き生きしてて、うらやましい。<br>いつかわたしも隣に立てると、いいな。"""
11_voice_NPC_5213_104#0,"""わたし？\u3000退屈なんてしてないよ。<br><%me>や<br>いろいろな人が話しかけてくれるし。"""
11_voice_NPC_5213_100#4,"""身体が治ったら何をしようかな……<br>あ……目標として、だよ？<br>そう考えておくと、やる気がでるしね。"""
11_voice_NPC_5213_104#1,"""うーん……アークスの人って<br>みんな、オシャレだよね？<br>ああいう服、うらやましいな……"""
11_voice_NPC_5213_100#5,"""はー……なんでだろう<br>記憶はあんまり残ってないけど<br>今、すごい、解放感がある。"""
