11_voice_NPC_02_101#0,"""最近ショップエリアにいる<br>あのネコちゃん？<br>可愛いよねぇ！"""
Kuro_01_020#0,"""こう、丸くてクリッとしてて<br>真っ白でさ！<br>あたし、ああいうの大好きだよ！"""
Kuro_01_030#0,"""えっ、そっちじゃなくて黒い方？<br>あちゃー……"""
Kuro_01_040#0,"""あ、あっちの子が好きな人も<br>探せばたくさんいるんじゃないかな！<br>うん、人の好みは十人十色だもんね！"""
Kuro_01_050#0,"""ほらっ、そうと決まれば<br>他の人にも聞きに行かなくちゃ！<br>それじゃあね！"""
11_voice_NPC_5002_101#0,"""ああ、きみ、丁度良いところに。"""
Echo_favs_before_020#0,"""よければこれ、受け取ってくれない？<br>ちょうど手に入ったからさ。"""
Echo_favs_before_030#0,"""あたしが持っているより<br>きみが持っていた方が<br>きっと役に立つし。"""
Echo_favs_after_010#0,"""お礼とかそういうのはやめてね。"""
Echo_favs_after_020#0,"""これはむしろ、いつもありがとうって<br>あたしからのお返しだからさ。"""
Echo_favs_present_010#0,"""Received 『レスタ』 from Echo."""
Echo_favs_present_020#0,"""Received 『Synthesizer』 from Echo."""
Echo_favs_present_030#0,"""Received 『アンティ』 from Echo."""
Echo_favs_present_040#0,"""Received 『Synthesizer』 from Echo."""
Echo_favs_present_050#0,"""Received 『デバンド』 from Echo."""
Echo_favs_present_060#0,"""Received 『Synthesizer』 from Echo."""
Echo_favs_present_070#0,"""Received 『シフタ』 from Echo."""
Echo_favs_present_080#0,"""Received 『Synthesizer』 from Echo."""
Echo_favs_present_090#0,"""Received 『Synthesizer』 from Echo."""
Echo_favs_present_100#0,"""Received 『Synthesizer』 from Echo."""
Echo_favs_present_add_001#0,"""Received 『<%skit_text>』 from Echo."""
11_voice_NPC_5002_100#0,"""アークスになった、ってことだけで<br>浮かれてたらだめだよ？<br>何をやったかが重要なんだからね。"""
11_voice_NPC_5002_100#1,"""困ったことがあったら、あたしに相談！<br>……なんて、偉ぶってみたいんだけど<br>そんな優秀じゃないんだ、あたし。"""
Echo_02_020#0,"""ま、そういう目的で<br>アークスになったわけじゃないし<br>いいんだけどさー。"""
11_voice_NPC_5002_105#0,"""頑張るのはいいことだけど<br>しっかり休むのも、仕事の一つだよ？<br>きちんと休憩、してる？"""
11_voice_NPC_5002_105#1,"""ふぁーあっ……ねむ……<br>あ、ごめん、あたし寝付きが悪くて<br>起き抜けとかすっごく弱いんだ……"""
11_voice_NPC_5002_101#1,"""何でいつもゼノのそばにいるのかって？<br>そりゃあもちろん、あたしはゼノの<br>保護者みたいなものですから。"""
Echo_05_020#0,"""……時々、付き人って言われるけど<br>気にしない、気にしない。<br>……あたしだって、戦えるんだよ？"""
11_voice_NPC_5002_105#2,"""ゼノはすぐにふらふらとどこかへ<br>行っちゃうから、目が離せないのよね。<br>男の子ってみんなそうなのかな？"""
11_voice_NPC_5002_104#0,"""んー……ついていくのがメインなんだし<br>体力のあるハンターになりたかったな。<br>……あ、いやいや、こっちの話。"""
11_voice_NPC_5002_102#0,"""無理は禁物！<br>これ、お姉さんからの助言。<br>絶対に忘れないでね。"""
11_voice_NPC_5002_108#0,"""……戦闘に慣れすぎないでね。<br>一生懸命なその気持ちは買うけど<br>周りが見えなくなったらおしまいだよ？"""
11_voice_NPC_5002_104#1,"""守るべきものを見失うな、って<br>昔、よく聞かされたんだよねー。<br>あれ、誰から聞いたんだったかな。"""
11_voice_NPC_5002_100#2,"""十年前ぐらいは、もっとみんなが<br>殺伐としていて、実際危なかったんだ。<br>よくここまで持ち直したと思うよ。"""
11_voice_NPC_5002_104#2,"""ゼノってば、無茶苦茶なこと言う癖に<br>言ったことは大抵やりとげちゃうから<br>手に負えなくてタイヘンなのよね。"""
Echo_12_020#0,"""はぁ……思うように出来ない側の<br>気持ちも知って欲しいところよ。"""
11_voice_NPC_5002_104#3,"""ゼノとの比較で、あたしは不真面目って<br>言われるけど、これが精一杯なの。<br>好きな言葉は「無理しない」だしね。"""
11_voice_NPC_5002_103#0,"""心の底から戦いたいって<br>思うようになったらそれはもう病気。<br>休んだ方がいい。"""
Echo_14_020#0,"""気付かないうちに<br>どんどん磨り減っていっちゃうからね。"""
11_voice_NPC_5002_104#4,"""ふぅ……ゼノにあわせるのはタイヘン。<br>もともとハンターでもないのに<br>どこにあれだけの体力があるのかしら。"""
11_voice_NPC_5002_105#3,"""あたしとゼノ？\u3000幼馴染みだよ。<br>昔っから、今までずっと、幼馴染み。<br>……ずっと、かあ。"""
11_voice_NPC_5002_108#1,"""ダーカーとの戦いが終わったあとって<br>アークスは何をやっていくんだろ？<br>……ちょっと気の早すぎる心配かな。"""
Echo_17_020#0,"""でも、なんかみんな<br>やりたいことがなくなってそうで<br>それがちょっと怖いかも……"""
11_voice_NPC_5002_104#5,"""アークスになる目的は人それぞれ。<br>でも、何か目的があるからアークスに<br>なるわけで、だからみんな頑張る、と。"""
Echo_18_020#0,"""……目的、かぁ。<br>難しいよね、そういうの。"""
11_voice_NPC_5002_109#0,"""最近、怪我する人増えたよねぇ。<br>ダーカーの数も増えてきてるみたいだし<br>なんかちょっとイヤな感じ。"""
11_voice_NPC_5002_100#3,"""危なくなったらすぐ逃げる！<br>これ、あたしとゼノで珍しく一致してる<br>見解なんだよね。へへへ。"""
11_voice_NPC_5002_101#2,"""あたしとゼノ、喧嘩しすぎ、って？<br>そうかなあ、そんなことないと思うけど<br>喧嘩するほどなんとやら、ってやつ。"""
Echo_21_020#0,"""あ……べ、べつに<br>仲が良いって言いたいんじゃないわよ？<br>勘違いしないでね、ね？"""
11_voice_NPC_02_109#0,"""……はぁ。"""
Echo_mb9_020#0,"""ん、あ、ああっゴメン。<br>何？\u3000何か用かな？"""
Echo_mb9_030#0,"""心配してくれてるの？<br>ありがとう。でも大丈夫だよ。<br>そのうち、慣れると思うから。"""
11_voice_NPC_02_104#0,"""んー、まずは武器の準備と<br>あと服も変えないとまずいかなぁ。"""
Echo_mb10_020#0,"""ん？\u3000何をしているのかって？<br>いろいろ下準備中だよ。"""
Echo_mb10_030#0,"""ゼノが戻ってくるまで頑張るって<br>決めたからね。気合いを入れて<br>やってかないと、さ！"""
11_voice_NPC_02_104#1,"""戦技大会かぁ……<br>タイミング悪いなぁ。"""
Echo_mb11_020#0,"""ゼノが居るときにやってくれれば<br>喜び勇んで参加しただろうなあ。"""
Echo_mb11_030#0,"""まったく、間が悪いというか<br>なんというか……"""
11_voice_NPC_5002_104#6,"""うーむむ……<br>やっぱり適性のないクラスは大変。"""
Echo_mb12_020#0,"""ウォパルでじっくり慣らしとか<br>してこようかなぁ。"""
11_voice_NPC_5002_104#7,"""それにしても、まさかウォパルの<br>原住民たちと交流できるなんて<br>思いもしなかったわね。"""
Echo_mb13_020#0,"""でもちょっと、喋り方がヘンというか<br>発音が違って訛ってたのはなんでだろ。<br>ちょっと独特だったよね？"""
Echo_mb13_030#0,"""うーん、聞いて覚えたならそんなことは<br>起きないはずだけど……言葉覚えてから<br>会わなくなって、訛ったの、かなあ？"""
11_voice_NPC_5002_104#8,"""ハンターやるようになってから<br>生傷が絶えなくて困るのよ。<br>いろんな意味で、大変さを実感中。"""
Echo_mb14_020#0,"""いちばん嫌なのは、うーん……<br>お風呂に入るとすっごくしみること<br>かなぁ？"""
11_voice_NPC_5002_104#9,"""ウォパルの海底エリアって<br>どんなところなんだろう。"""
Echo_mb15_020#0,"""やっぱり暗くてジメッとしてて<br>イヤーな感じだったりするのかな。"""
Echo_mb15_030#0,"""なんにせよ、今度行ってみないと。<br>前へ前へ、ってね。"""
11_voice_NPC_5002_104#10,"""<%me>。<br>……なんだか、さ、周りの空気が<br>ぴりぴりしてる感じがしない？"""
Echo_mb16_020#0,"""あたしの気のせいだったら<br>いいんだけど……<br>悪い予感は、よく当たるのよね。"""
11_voice_NPC_5002_102#1,"""どうしてゼノが無事だってことを<br>あたしに黙ってたのよ？<br>……まあ、ゼノの差し金だろうけど。"""
Echo_mb16zeno_020#0,"""そうとも知らず、あたしはきみの前で<br>あんなことやこんなことを……<br>……恥ずかしくて死ぬかも。"""
Echo_mb16zeno_030#0,"""……でも、まあ、ゼノが無事だったし<br>戻ってきてくれたから、いいか。"""
Echo_mb17_010#0,"""みんなを操り人形にしてたアレ。<br>絶対令、だっけ？\u3000あれ、封印されて<br>使用禁止になるみたいだよ。"""
Echo_mb17_020#0,"""六芒の持つ絶対命令権……噂には<br>聞いてたけど、あそこまでの強制力を<br>持つとは思わなかったなあ。"""
Echo_mb17_030#0,"""ん？\u3000じゃあなんであたしには<br>効いてない感じだったのかって？<br>……さあ、なんでだろ？"""
11_voice_NPC_5002_104#11,"""よくわからないけど、あたしは<br>あの時、きみと一緒にいなきゃいけない<br>という気持ちしかなかったんだよね。"""
11_voice_NPC_5002_100#4,"""<%me>。<br>アークス内も変わったよね。<br>新しい施設もたくさんできたし。"""
Echo_mb18_020#0,"""新施設？<br>あたしはまだ行ってないや。"""
Echo_mb18_030#0,"""色んな事があったけど<br>いい風に変わっていけばいいよね。"""
Echo_mb19_010#0,"""惑星ウォパルかー……<br>最近は全然行ってないや。"""
Echo_mb19_020#0,"""ウォパルへ行くと、ハンターに<br>なったばかりの頃を思い出すなあ。<br>きみと一緒に調査をしたよね。"""
11_voice_NPC_5002_100#5,"""まさかウォパルの原住民と交流が<br>出来るとは思わなかったけど<br>まあ、いい思い出だよね。"""
