11_voice_NPC_5125_100#0,"""あら、私に何か用かしら？"""
11_voice_NPC_5125_104#0,"""もし、よかったら、<br>私の仕事を手伝ってくれると<br>うれしいのだけれど。"""
text03002#0,"""その気になったら声を<br>かけてちょうだい。"""
text02001#0,"""あら、貴方が噂の<br><%me>？"""
11_voice_NPC_5125_100#1,"""なんで知ってるかですって？<br>愚問ね。"""
text02003#0,"""貴方は、もう少し、<br>自分の置かれている立場を<br>正しく認識した方がいいわ。"""
text02004#0,"""私の名はアリス。<br>実は今、ある機関からの要請で<br>アークスの実態調査をしているの。"""
text02005#0,"""もし、よかったら、<br>私の仕事を手伝ってくれると<br>うれしいのだけれど。"""
text02006#0,"""その気になったら声を<br>かけてちょうだい。"""
11_voice_NPC_5125_100#2,"""あら、貴方、丁度いいところに。"""
favs_before_020#0,"""調査中にこんなものを手に入れたの。<br>貴方にあげるわ。"""
favs_after_010#0,"""いつもお世話になってるからね。<br>そのお礼と考えてちょうだい。"""
favs_after_020#0,"""それじゃ、またよろしくね。"""
favs_present_010#0,"""Received 『Excube』 from Alis."""
favs_present_020#0,"""Received 『Extreme Pass』 from Alis."""
favs_present_030#0,"""Received 『Liliparium Full Charge』 from Alis."""
favs_present_040#0,"""Received 『Excube』 from Alis."""
favs_present_050#0,"""Received 『Relax Equip. Conditions +30%』 from Alis."""
favs_present_060#0,"""Received 『Excube』 from Alis."""
favs_present_070#0,"""Received 『Heart Key Ore』 from Alis."""
favs_present_080#0,"""Received 『Bloody Moon Ore』 from Alis."""
favs_present_090#0,"""Received 『Phantom Night Ore』 from Alis."""
favs_present_100#0,"""Received 『Facet Folia』 from Alis."""
favs_present_add_001#0,"""Received 『<%skit_text>』 from Alis."""
