NAME#0,"""リサ"""
NICKNAME#0,"""アイテムショップ店員"""
HELLO#0,"""いらっしゃいませ<br>こちらではアイテムを<br>販売しております"""
HELLO_FAV4#0,"""いらっしゃいませ<br>こちらではアイテムを<br>販売しております"""
HELLO_FAV3#0,"""いらっしゃいませ<br>こちらではアイテムを<br>販売しております"""
HELLO_FAV2#0,"""いらっしゃいませ<br>こちらではアイテムを<br>販売しております"""
HELLO_FAV1#0,"""いらっしゃいませ<br>こちらではアイテムを<br>販売しております"""
HELLO_FAV0#0,"""いらっしゃいませ<br>こちらではアイテムを<br>販売しております"""
Q0#0,"""いらっしゃいませ<br>こちらではアイテムを<br>販売しております"""
GOODBYE#0,"""気をつけていってらっしゃいませ"""
GOODBYE_FAV4#0,"""気をつけていってらっしゃいませ"""
GOODBYE_FAV3#0,"""気をつけていってらっしゃいませ"""
GOODBYE_FAV2#0,"""気をつけていってらっしゃいませ"""
GOODBYE_FAV1#0,"""気をつけていってらっしゃいませ"""
GOODBYE_FAV0#0,"""気をつけていってらっしゃいませ"""
00_01#0,"""Optie 1"""
00_02#0,"""Optie 2"""
TALK_ST#0,"""Praat"""
C_ORDER_ST#0,"""Luister naar details"""
