Order01_01#0,"""...okay! Verification complete! Your accounts are linked without a problem!"""
Order01_02#0,"""Make sure to turn in your client order to receive your reward, if not done so already."""
Order02_01#0,"""Next up is this...! A [PSO2es] Login Bonus!"""
Order02_02#0,"""With your accounts linked, once you log into PSO2es..."""
Order02_03#0,"""You'll gain an EXP ticket each and every single day!"""
Order02_04#0,"""And for every 5 days you log in, there's even an additional bonus!"""
Order02_05#0,"""If you carry out ARKS operations diligently day by day, be sure not to miss this!"""
Order03_01#0,"""あのクエストやこのクエスト……<br>あれもこれも行きたいけれど<br>どうしようー！"""
Order03_02#0,"""そんなときは、『ＰＳＯ２ｅｓ』の<br>「クイック探索」がおすすめです！"""
Order03_03#0,"""『ＰＳＯ２』にログインしなくても<br>『ＰＳＯ２ｅｓ』があれば……"""
Order03_04#0,"""スマートフォンから<br>特定のクエストを一瞬で<br>クリアできちゃうんです！"""
Order03_05#0,"""毎日一定回数<br>アルティメットクエストなどを<br>クリアできますよ。"""
Order04_01#0,"""この度、『ＰＳＯ２ｅｓ』では<br>新たな冒険が幕を開けます！"""
Order04_02#0,"""元気で明るいアークスの女の子<br>「ジェネ」ちゃんと<br>ウェポノイドの「モア」くん。"""
Order04_03#0,"""あなたには<br>この２人とともにチームを組んで<br>とある事件を追っていただきます。"""
Order04_04#0,"""もちろん、私も引き続き<br>お手伝いさせていただきますよ！"""
Order04_05#0,"""まだ『ＰＳＯ２ｅｓ』を<br>プレイしたことがない方も、ぜひ<br>この機会に始めてみてくださいね"""
Order04_06#0,"""すてきな仲間と『ＰＳＯ２ｅｓ』で<br>お待ちしております！"""
Order05_01#0,"""一緒に戦い、喜びも悲しみも<br>分かち合うペット……<br>とても愛おしい存在ですよね。"""
Order05_02#0,"""そんなペットを、いつでもどこでも<br>育成したい！\u3000一緒にいたい！\u3000と<br>思われたことありませんか？"""
Order05_03#0,"""そんな時に活躍するのが<br>『ＰＳＯ２ｅｓ』の<br>「ペット育成」機能です！"""
