00_01#0,"""Opsi 1"""
00_02#0,"""Opsi 2"""
TALK_ST#0,"""Bicara"""
C_ORDER_ST#0,"""Lihat Detail"""
Q0#0,"""遊び方をクマなく説明するよ"""
HELLO#0,"""遊び方をクマなく説明するよ"""
HELLO_FAV4#0,"""遊び方をクマなく説明するよ"""
HELLO_FAV3#0,"""遊び方をクマなく説明するよ"""
HELLO_FAV2#0,"""遊び方をクマなく説明するよ"""
HELLO_FAV1#0,"""遊び方をクマなく説明するよ"""
HELLO_FAV0#0,"""遊び方をクマなく説明するよ"""
GOODBYE#0,"""満席なら、アクまで待ってね"""
GOODBYE_FAV4#0,"""満席なら、アクまで待ってね"""
GOODBYE_FAV3#0,"""満席なら、アクまで待ってね"""
GOODBYE_FAV2#0,"""満席なら、アクまで待ってね"""
GOODBYE_FAV1#0,"""満席なら、アクまで待ってね"""
GOODBYE_FAV0#0,"""満席なら、アクまで待ってね"""
