11_voice_NPC_5008_101#0,"""<%me>さん！<br>ちょっといいですか？"""
Fourie_favs_before_020#0,"""はい、これ、あげます！<br>日ごろの感謝をこめて、です！"""
Fourie_favs_after_010#0,"""感謝を物で示すというのも<br>ちょっと失礼かなと思ったのですが<br>それ以外思いつかなくて……"""
Fourie_favs_after_020#0,"""たはは……<br>なんだか少し、恥ずかしいですね。<br>私、キャストなのに……"""
Fourie_favs_present_010#0,"""Received 『Cluster Bullet』 from Fourier."""
Fourie_favs_present_020#0,"""Received 『Concentrate One』 from Fourier."""
Fourie_favs_present_030#0,"""Received 『Synthesizer』 from Fourier."""
Fourie_favs_present_040#0,"""Received 『Cracker Bullet』 from Fourier."""
Fourie_favs_present_050#0,"""Received 『Zero Distance』 from Fourier."""
Fourie_favs_present_060#0,"""Received 『Synthesizer』 from Fourier."""
Fourie_favs_present_070#0,"""Received 『Synthesizer』 from Fourier."""
Fourie_favs_present_080#0,"""Received 『Rodeo Drive』 from Fourier."""
Fourie_favs_present_090#0,"""Received 『Divine Launcher』 from Fourier."""
Fourie_favs_present_100#0,"""Received 『Synthesizer』 from Fourier."""
Fourie_favs_present_add_001#0,"""Received 『<%skit_text>』 from Fourier."""
11_voice_NPC_5008_100#0,"""わ、わたしっ、こう見えても<br>恥ずかしがり屋であがり症なんです！<br>……え？\u3000自分で言うことじゃない？"""
11_voice_NPC_5008_106#0,"""それにしても、それにしても<br>みなさんお強いですよねぇ……<br>わたしも精進しないと、です。"""
11_voice_NPC_5008_107#0,"""あの、あのあのっ！<br>怪我とか、されてませんか？<br>大丈夫ですか？"""
Fourie_03_020#0,"""私、体験してみてわかりました。<br>怪我、とっても痛いですから<br>気を付けてくださいね。"""
11_voice_NPC_5008_101#1,"""<%me>さん！<br>こんにちは！"""
Fourie_04_020#0,"""挨拶だけでも元気よく！<br>それが私のポリシーです！<br>……え、ちょっとうるさい、ですか？"""
11_voice_NPC_5008_105#0,"""うーん……あれでもない、これでもない"""
Fourie_05_020#0,"""あ、<%me>さん！<br>挨拶が遅れてすみません<br>昔の資料検索をしてまして……"""
Fourie_05_030#0,"""言語関連の翻訳資料とか、そのへん<br>改めて勉強を、と思ったんです。<br>……ちょっと遅いですけど。"""
11_voice_NPC_5008_100#1,"""私、アークスになった直後は<br>戦うことを主とした活動をしようと<br>考えていたんですよ？"""
Fourie_06_020#0,"""それが、今となってはほぼ正反対。<br>ふふっ、人生って何がきっかけで<br>変わるかわからないものですね。"""
11_voice_NPC_5008_104#0,"""うーん……うん、うーん……<br>……あ、すみません、考え中でした。"""
Fourie_07_020#0,"""一つの種族を理解しようとするのは<br>なかなか骨が折れますねぇ。<br>楽しいから、いいですけど。"""
11_voice_NPC_5008_100#2,"""私は、原住民と交流しています。<br>けど、アークスの活動も重要だと<br>思っていますよ。"""
Fourie_08_020#0,"""戦わなければならないときが必ずある。<br>それがわかっているからこそ<br>私はまだアークスなんです。"""
11_voice_NPC_5008_101#2,"""新しい世代の皆さんはお強いですねぇ。<br>柔軟性も高いし、迷いもないし<br>私も頑張らないと、って思います！"""
11_voice_NPC_5008_102#0,"""私の居住場所？\u3000もちろんここですよ？<br>もしかして、リリーパに住んでいるとか<br>思ってます？\u3000しっつれいですねぇ。"""
Fourie_10_020#0,"""私だって、ちゃんとわきまえています。<br>……あ、でも最近はリリーパでの<br>滞在時間の方が長い、かも。"""
11_voice_NPC_5008_101#3,"""私、アークスで良かったと思います。<br>だって、そうじゃないとあの子達や<br>皆さんに会えなかったんですから。"""
11_voice_NPC_5008_105#1,"""武器の選択って、迷いますよねぇ。<br>なんとなくしっくりきたの、という<br>わりとテキトーなのはダメでしょうか？"""
11_voice_NPC_5008_100#3,"""皆さん、キャストに対して緻密といった<br>先入観を持たれている方が多いですけど<br>多分そんなことないですよ。"""
Fourie_13_020#0,"""キャストだって人ですから<br>性質や性格は人それぞれってやつです。<br>私が良い例だと思いませんか？"""
11_voice_NPC_5008_100#4,"""悩む時間って、もったいないですよね。<br>予定通りにいくのは稀なことですし<br>起きた事を楽しむ余裕を持ちたいです。"""
11_voice_NPC_5008_104#1,"""時々、前向きだね、とか言われます。<br>それってどういう意味なのでしょうか？"""
