Skit01_010#0,"""¡Oh, mi amig@!<br>¡Tengo información!<br>¿Podrías escucharme?"""
Skit01_011#0,"""¡Nuestros queridos hijos pueden<br>crecer más allá de los límites al profundizar el afecto!"""
Skit01_012#0,"""Una manera fácil de entender<br>seria que, las mascotas<br>con una rareza de 12 o más podrán crecer más allá de los límites."""
Skit01_013#0,"""De esa manera, mi amig@<br>¡Definitivamente quiero decírtelo también!<br>Sí, si, sus hijos podran..."""
Skit01_020#0,"""Oh, mi amig@!<br>¡Tengo información!<br>¿Puedes escucharme?"""
Skit01_021#0,"""¡Nuestros queridos hijos pueden crecer más allá de los límites al profundizar el afecto!"""
Skit01_022#0,"""Una manera fácil de entender seria que, las mascotas con una rareza de 12 o más podrán crecer más allá de los límites."""
Skit01_023#0,"""De esa manera, mi amig@!<br>¡Definitivamente quiero decírtelo también!<br>Sí, si, sus hijos podran..."""
Skit01_024#0,"""Lo siento. pero al parece no hay ningún niño envuelto en suficiente amor como para superar el límite.<br>Hablemos de nuevo cuando les hayas dado suficiente amor."""
Skit01_030#0,"""Oh... ¡Maravilloso!<br>¡Felicidades amig@!<br>¡Pasaste a una nueva etapa!"""
Skit01_031#0,"""Disfruta, ¡La vida del próximo invocador!<br>Bueno, entonces, ¡Hasta luego!"""
Skit01_040#0,"""Bueno, creo que el camino era malo. Parece que no puedes transmitir tu amor a tus hijos."""
Skit01_041#0,"""¡Mantengamos el tiempo para otra ocacion!<br>¡Esta vez, le mostraré su amor a sus hijos!"""
Skit01_050#0,"""De hecho... ¿Le dices amor por ti mismo?<br>¡Ciertamente, eso es correcto!<br>¡Es una mente maravillosa!"""
Skit01_051#0,"""Sin embargo, siempre estare disponible!<br>dime siempre que estés interesado en el avance."""
Skit01_060#0,"""¡El límite superior del nivel de mascota objetivo ha aumentado!"""
Title#0,"""¿Cuando el nivel de mascota llega a 100?"""
text01#0,"""Cuando le pregunta a Pietro por <yellow>Limit Break<c><br>Las mascotas que alcanzan el nivel 100<br>también pueden elevar aún más el nivel.<br><br><yellow>Para aumentar el límite de la mascota,<br>es necesario sintetizar un huevo de mayor rareza。<br><c>"""
