11_voice_NPC_5479_101#0,"""Oh, it's been a while!<br>Hey, what's with that puzzled look?"""
skit01_02#0,"""Don't you recognize me? It's me, Enga Yasaka, you helped me out with all that stuff on Earth!"""
11_voice_NPC_5479_105#0,"""Seriously, that's pretty harsh for a joke. I almost thought you really had forgotten me."""
skit01_04#0,"""にしても、シエラさんに招待されて久々に来てみてたが…… 相変わらず大変そうだな。"""
skit01_05#0,"""ホワイトデーって話だったが<br>どうやら、それどころじゃなさそうだ。<br>世話になった恩を返すチャンスかもな。"""
skit02_01#0,"""You seem pretty busy. I guess you're in demand."""
11_voice_NPC_5479_100#0,"""それだけアテにされてるんだな。<br>オレも負けてられないぜ。"""
skit02_03#0,"""ま、余裕があればでいいんだが<br>オレの件も頼むぜ。"""
skit03_01#0,"""トラブルに巻き込まれなきゃ<br>今頃ホワイトデーのイベント<br>やってたんだよな……"""
skit03_02#0,"""……ホワイトデーか。<br>ヒツギはお礼がどうとか<br>うるさく言ってたが……"""
11_voice_NPC_5479_104#0,"""まったく……<br>苦手な話題だぜ。"""
skit04_01#0,"""What's the matter, you say?"""
skit04_02#0,"""……悪い、急かした訳じゃねえ。<br>あんたの都合が合うときでいい。 I'm counting on you."""
11_voice_NPC_5479_100#1,"""あんたらには世話になったし<br>恩返しのつもりだったんだが……<br>結局、助けてもらった感じだな。"""
skit05_02#0,"""協力してくれて助かった……？<br>そう言ってもらえると、ありがたいぜ。"""
skit05_03#0,"""とりあえず、落ち着いたみたいだし<br>オレは、自分のことをやるかな。"""
skit05_04#0,"""Anyway, it was nice to have fought alongside you again. Thanks for everything."""
