name_7691#0,"""Wufu"""
ssn_014640_0001#0,"""มีศัตรูที่ไม่คุ้นเคยโผล่มาแถวนี้ด้วยล่ะ"""
ssn_014640_0002#0,"""เป็นปัญหาใหญ่เลยนะ จะทำยังไงดีล่ะ..."""
ssn_014640_0101#0,"""เธอ...?"""
ssn_014640_0102#0,"""ดีเลย มีงานให้ทำหน่อยน่ะ"""
ssn_014640_0201#0,"""มาถึงแล้วสินะ พวกมันน่าจะอยู่แถวๆ นั้นแหละ"""
ssn_014640_0202#0,"""ขอให้โชคดีนะ"""
ssn_014640_0301#0,"""เข้าใจแล้ว ถ้าเปลี่ยนใจก็มาหาได้ตลอดนะ จะรออยู่ที่นี่แหละ"""
ssn_014640_0401#0,"""ยิ่งสู้ยืดเยื้อเท่าไหร่ สถานการณ์ก็จะยิ่งแย่ลงเท่านั้น จัดการ Equalizing Enemy ก่อนเลยนะ"""
ssn_014640_0402#0,"""จะรอฟังข่าวดีนะ"""
ssn_014640_0501#0,"""ทำได้ดีมาก คิดถูกจริงๆ ที่เลือกให้ไปจัดการ"""
ssn_014640_0502#0,"""พอรู้ว่ามี ARKS เก่งๆ อยู่ด้วยก็เบาใจขึ้นเยอะเลยล่ะ ถ้ามีเรื่องอะไรอีกจะบอกให้รู้นะ"""
ssn_014640_0601#0,"""พอรู้ว่ามี ARKS เก่งๆ อยู่ด้วยก็เบาใจขึ้นเยอะเลยล่ะ"""
ssn_014640_0602#0,"""ถ้ามีเรื่องอะไรอีกจะบอกให้รู้นะ"""
