11_voice_NPC_5591_100#0,"""흥흥, 흐흥~♪<br>어머, 리더잖아."""
11_voice_NPC_5591_201#0,"""내가 기분 좋은 이유?<br>후후…… 제네에게<br>물어보는 게 어때?"""
11_voice_NPC_5591_109#0,"""아앙!\u3000더는 못 참겠어!<br>그렇게 빤히 보지 마!!"""
text02002#0,"""이 수영복……<br>천이 많아서 진정이 안 돼.<br>아예 확 벗어 버릴까♪"""
text03001#0,"""나도 제네 같은<br>수영복이 좋았는데……"""
11_voice_NPC_5591_104#0,"""하지만…… 안 돼!<br>그 수영복은 제네라서 어울리는걸!<br>아앙!\u3000정말…… 견딜 수가 없어!"""
text04001#0,"""리더……<br>그런 차림으로 안 더워?"""
11_voice_NPC_5591_201#1,"""더우면 벗어 버리자?<br>안 더워도 벗어 버리자!<br>자, 어서♪"""
11_voice_NPC_5591_202#0,"""후후…… 드디어<br>해변을 방해하던 녀석들이 사라졌네!<br>고마워, 리더♪"""
text05002#0,"""그럼 이제부터는……<br>나와 리더 둘이서<br>한여름의 아방튀르를……"""
11_voice_NPC_5590_103#0,"""블루지 레퀴엠……<br>너무 흥을 주체하지 못하면<br>세라피 씨에게 보고할 거야."""
11_voice_NPC_5591_203#0,"""그, 그건…… 그건 안 돼!<br>세라피 씨의 벌은……<br>정말…… 너무 진지해서 나라도……"""
11_voice_NPC_5591_204#0,"""「성실」 받아쓰기 100번은……<br>으으…… 알았어.<br>아방튀르는 다음 기회에…… 알았지?"""
Title#0,"""『PSO2es』에 대해"""
text0001#0,"""『PSO2es』의 캐릭터 제네와 아네트,<br>웨포노이드 블루지 레퀴엠이<br>수영복 차림으로 기간 한정 『PSO2』에 등장!<br><br>『PSO2es』는 스마트폰으로 즐기는 애플리케이션입니다.<br>간단한 터치와 슬라이드 조작으로 본격 액션을 즐길 수 있습니다.<br><br>『PSO2』의 친숙한 무기에서 태어난<br>「웨포노이드」와 함께 강대한 에너미와 싸워 보세요!<br>스토리 퀘스트에서는 제네와 모아를 비롯한 다커 버스터즈와<br>아프탈, 린, 웨포노이드 등 매력적인 동료들과 함께<br>우주를 둘러싼 장대한 이야기로 떠날 수 있습니다!"""
text0002#0,"""『PSO2es』는 『PSO2』 데이터와 연동할 수 있습니다.<br>데이터를 연동하면 『PSO2』의 캐릭터를<br>그대로 사용해 플레이할 수 있습니다.<br>무료로 사용할 수 있는 『PSO2es 연동 창고』와 경험치 티켓,<br>다양한 레어 아이템 등을 얻을 수 있습니다.<br>『PSO2es』를 연동해 플레이하면 『PSO2』를<br>언제 어디서든 더욱 효율적으로 즐길 수 있습니다.<br><br>관심이 있다면 지금 바로 다운로드!<br>『PSO2es』를 플레이하고<br>제네와 아네트 일행을 만나러 가세요!<br>무한히 펼쳐진 세계에서 다커 버스터즈의 멤버와<br>매력적인 웨포노이드들이 여러분을 기다립니다!<br>자, 새로운 모험을 떠나세요!!"""
Title#1,"""『PSO2es』에 대해"""
text0001#1,"""『PSO2es』의 제네와 아네트<br>웨포노이드 블루지 레퀴엠이<br>수영복 차림으로 기간 한정 『PSO2』에 등장!<br><br>『PSO2es』는 스마트폰으로 즐기는<br>애플리케이션입니다.<br>간단한 터치와 슬라이드 조작으로<br>본격 액션을 즐길 수 있습니다.<br><br>『PSO2』의 친숙한 무기에서 태어난<br>「웨포노이드」와 함께<br>강대한 에너미를 상대로 싸워 보세요!<br>스토리 퀘스트에서는 아프탈과 린,<br>제네와 모아 등 다커 버스터즈 동료들과<br>우주를 둘러싼 장대한 이야기로<br>떠날 수 있습니다!"""
text0002#1,"""『PSO2es』는 『PSO2』 데이터와<br>연동할 수 있습니다.<br>데이터를 연동하면 『PSO2』의<br>캐릭터를 그대로 사용해<br>플레이할 수 있습니다.<br>무료 연동 창고를 사용할 수 있고<br>경험치 티켓과 레어 아이템을 얻을 수 있습니다.<br>『PSO2es』를 플레이하면 『PSO2』를<br>언제 어디서든 더욱 효율적으로 즐길 수 있습니다.<br><br>관심이 있다면 지금 바로 다운로드!<br>『PSO2es』를 플레이하고<br>제네와 아네트 일행을 만나러 가세요!<br>다커 버스터즈의 멤버와<br>매력적인 웨포노이드가 여러분을 기다립니다!<br>자, 새로운 모험을 떠나세요!!"""
