name_7427#0,"""코르테스"""
ssn_014783_0101#0,"""그래!\u3000멋진 대답이야!<br>그럼 뭘 해야 하는지 설명해 주지."""
ssn_014783_0102#0,"""남부 크바리스 근처에서<br>돌즈 수송기가 발견되곤 해."""
ssn_014783_0103#0,"""뭘 어디로 수송하는지는<br>나도 몰라!"""
ssn_014783_0104#0,"""그걸 조사하는 건<br>다른 대원의 임무니까."""
ssn_014783_0105#0,"""그래서 말인데, 그 수송기가 컨테이너를 매달고 있거든.<br>그걸 떼어 내서 안에 든 걸 가로채 오자는 거지."""
ssn_014783_0106#0,"""그런데 그 녀석, 속도가 꽤 빨라서<br>우리 발로는 따라잡기 힘들 거야."""
ssn_014783_0107#0,"""그래서 조언 하나!<br>\""플로팅 보드\""를 써 봐."""
ssn_014783_0108#0,"""그걸 타서 스피드를 올린 뒤 점프하면,<br>그 놈이 있는 높이에도 닿을 거야."""
ssn_014783_0109#0,"""참고로, 플로팅 보드는<br>주변에 전용 단말로 부를 수 있어."""
ssn_014783_0110#0,"""무슨 원리인지는<br>역시 몰라!"""
ssn_014783_0111#0,"""바로 능숙하게 타긴 어렵겠지만,<br>한 번 해 봐!"""
