ssn_014820_0001#0,"""딱 좋을 때 왔군."""
ssn_014820_0002#0,"""조언해 주고 싶은 것이 있는데,<br>괜찮다면 들어주겠나."""
ssn_014820_0101#0,"""퀘스트 카운터에서는 각자의 마그의 데이터를 통해<br>과거에 있었던 일을 다시 체험할 수 있다."""
ssn_014820_0102#0,"""그 밖에도, 옛 전투 기록을 기반으로 한<br>새로운 전투를 시뮬레이트할 수도 있지."""
ssn_014820_0103#0,"""실전과는 감각이 다를지도 모르겠다만,<br>그런 점에서부터 배울 수 있는 것도 있겠지."""
ssn_014820_0104#0,"""백문이 불여일견이지. 경험을 얻고 싶은 클래스로<br>퀘스트 카운터에 가 봐."""
ssn_014820_0201#0,"""그렇군.<br>듣고 싶어지면 또 오도록."""
ssn_014820_0301#0,"""퀘스트 카운터에서는 각자의 마그의 데이터를 통해<br>과거에 있었던 일을 다시 체험할 수 있다."""
ssn_014820_0302#0,"""네 과거의 경험은<br>“아크스 히스토리”에 기록되어 있다."""
ssn_014820_0303#0,"""전투 시뮬레이션도 시험해 봐.<br>그럼 건투를 빌지."""
ssn_014820_1001#0,"""자네로군.<br>마침 잘 왔네."""
ssn_014820_1002#0,"""새로운 탐험을 앞두고 알려주고 싶은 게 있네.<br>괜찮다면 들어주지 않겠는가."""
ssn_014820_1101#0,"""그런가,<br>얘기를 듣고 싶어지면 다시 오게나."""
ssn_014820_1201#0,"""리디아 외에도,<br>각 거점마다 정보를 제공하는 사람이 있네."""
ssn_014820_1202#0,"""적극적으로 말을 걸고, 배운 것을 앞으로 활용할 수 있도록 노력하게.<br>그럼, 잘 다녀오게나."""
