name_7437#0,"""알바로"""
ssn_014960_0001#0,"""여기도 어느새 사람이 이렇게 늘었네."""
ssn_014960_0002#0,"""여기서 활동하는 아크스가 늘어나는 건<br>나로서도 환영이지."""
ssn_014960_0101#0,"""너, 베르가나 유적에는 가 봤어?"""
ssn_014960_0102#0,"""난 너희가 오기 전부터<br>거길 조사하고 있었거든."""
ssn_014960_0103#0,"""내가 모은 정보는 선발대에도 공유 중이야.<br>도움이 되면 좋겠네."""
ssn_014960_0104#0,"""그런데, 요즘 잘 안 풀리는 일이 있거든."""
ssn_014960_0105#0,"""넌 실력이 있으니까, 괜찮다면<br>내 얘기를 들어줬으면 해."""
ssn_014960_0201#0,"""베르가나 유적의 에너미 토벌,<br>잘 부탁할게."""
ssn_014960_0202#0,"""조심해서 다녀와."""
ssn_014960_0301#0,"""그래…….<br>뭐, 너도 네 일로 바쁠테니까."""
ssn_014960_0302#0,"""마음 내키면 또 말 걸어줘."""
ssn_014960_0401#0,"""유적 에너미, 토벌해줘서 고마워.<br>덕분에 조사를 다시 시작할 수 있겠어."""
ssn_014960_0402#0,"""너도 들었을 수도 있는 이야긴데,<br>옛날엔 이 크바리스에도 사람이 엄청 많이 살았어."""
ssn_014960_0403#0,"""그런데 큰 전투를 겪은 뒤,<br>거의 다 죽었다고 해……."""
ssn_014960_0404#0,"""라트바산에 있는 그들의 시티는<br>눈과 얼음에 파묻혀 버렸어."""
ssn_014960_0405#0,"""생존자들은 에아리오의 센트럴 시티나<br>리템 시티로 이주했다고 하는데."""
ssn_014960_0406#0,"""베르가나 유적은 그거의 백업같은 위치였어.<br>그래서 거기에도 많은 건물들이 묻혀있지."""
ssn_014960_0407#0,"""지표에서 보이는 건<br>고층 건물의 꼭대기 부분이야."""
ssn_014960_0408#0,"""내가 조사한 건<br>그 꼭대기 부분의 극히 일부에 불과하고."""
ssn_014960_0409#0,"""하지만 너희가 와 준 덕에<br>조사가 크게 진전되고 있어."""
ssn_014960_0410#0,"""돌즈에 대한 획기적인 대항수단도<br>찾을 수 있을지도 몰라."""
ssn_014960_0411#0,"""이번 일에 협력해 줘서 고마워.<br>큰 도움이 됐어."""
ssn_014960_0412#0,"""또 무슨 일이 생기면<br>부탁할게."""
ssn_014960_0501#0,"""내 연구도<br>언젠가 결실을 맺을 날이 오겠지."""
ssn_014960_0502#0,"""끈기를 가지고 유적을 조사해 나갈 거야."""
