name_7438#0,"""비엔느"""
ssn_014970_0001_001#0,"""영상 데이터, 고마워.<br>고생 시켜서 미안해."""
ssn_014970_0001_002#0,"""…직접 가 보고 싶군.<br>빨리 임무가 끝나 주면 좋겠는데…."""
ssn_014970_0001#0,"""너인가, 딱 좋을 때 왔군."""
ssn_014970_0002#0,"""또 가 보고 싶은 곳이 있는데,<br>부탁해도 되겠나?"""
ssn_014970_0101#0,"""보다시피 꽤 험준한 산이야.<br>하지만 너라면 오를 수 있을 거라 믿고 있다."""
ssn_014970_0102#0,"""무리할 필요는 없지.<br>시간이 날 때 부탁하지."""
ssn_014970_0201#0,"""신경 쓰지 마.<br>당연히 임무가 우선이지."""
ssn_014970_1001#0,"""너인가, 딱 좋을 때 왔군."""
ssn_014970_1002#0,"""이번에도 내 부탁을<br>들어줄 수 있나?"""
ssn_014970_1101#0,"""레이요르드 협만의 폭포….<br>간만에 보고 싶어졌거든."""
ssn_014970_1201#0,"""신경 쓰지 마.<br>당연히 임무가 우선이지."""
ssn_014970_1301#0,"""…이번 임무가 끝나면,<br>베르크만과 월리스에게 찾아가 볼 생각이야."""
ssn_014970_1302#0,"""옛날 이야기를 나누는 것도 나쁘지 않지.<br>후후, 기대되는데…."""
ssn_014970_1102#0,"""…하지만 거긴 위험한 곳이니,<br>싫다면 굳이 들어주지 않아도 돼."""
ssn_014970_1103#0,"""위치 좌표를 확인하고<br>가줬으면 하네."""
