name_7616#0,"""마사"""
ssn_014660_0001#0,"""어, 신입 “별을 건너는 자”야?"""
ssn_014660_0002#0,"""여기 레스트 코너, 분위기 좋지?<br>우린 여기 매일같이 와."""
ssn_014660_0101#0,"""되게 열심인 것 같던데.<br>여기서도 온통 네 얘기야. 굉장하네."""
ssn_014660_0102#0,"""그런데 싸우는 것도 좋지만,<br>외모도 좀 꾸미고 싶지 않아?"""
ssn_014660_0103#0,"""\""에스테\""에는 가 본 적 있어?<br>없으면 내가 가르쳐 줄게!"""
ssn_014660_0201#0,"""에스테는<br>코디네이팅을 즐길 수 있는 곳이야."""
ssn_014660_0202#0,"""너도 한 번 가 볼래?<br>분명 마음에 들걸?"""
ssn_014660_0301#0,"""에ー, 눈치 없긴ー."""
ssn_014660_0302#0,"""어쩔 수 없네.<br>그럼 다음에 가자."""
ssn_014660_0401#0,"""앗, 에스테에 왔구나."""
ssn_014660_0402#0,"""그럼 나머지는 즐기는 것 뿐이야!<br>마음껏 꾸미고 나면 나한테도 보여줘."""
ssn_014660_0501#0,"""에스테, 좋은 곳이지?"""
ssn_014660_0502#0,"""우리도 이제부터,<br>에스테에 놀러 갈 거야!"""
