name_7428#0,"""유리"""
ssn_014771_0101#0,"""응응.<br>그럼 가르쳐 줄게."""
ssn_014771_0102#0,"""레이요르드 협만은<br>크바리스 안에서도 특히나 추운 곳이야."""
ssn_014771_0103#0,"""라트바산에서 내려온 찬바람이<br>그 골짜기에 냉기를 가둬 두는 거지."""
ssn_014771_0104#0,"""방한 대책을 제대로 하지 않고 가면<br>점점 체력을 빼앗겨서, 끝내는 얼어 버릴지도 몰라."""
ssn_014771_0105#0,"""그래서, 그럼 어떡해야 하느냐 하면…"""
ssn_014771_0106#0,"""정답은 \""리전 마그\""의 힘을 빌리는 거야!"""
ssn_014771_0107#0,"""크바리스에 있는 리전 마그는 좀 특별해서."""
ssn_014771_0108#0,"""아이템을 주면<br>추위를 좀 버티게 해 주는 효과가 있어."""
ssn_014771_0109#0,"""리전 마그는 참 신기해.<br>어쩌면 다들 그냥 착각하는 건지도 모르지만…"""
ssn_014771_0110#0,"""서부 크바리스에 가서 한 번 시험해 봐.<br>그럼 힘 내ー!"""
