name_7435#0,"""마미야"""
ssn_014912_0101#0,"""좋아, 바로 얘기하지."""
ssn_014912_0102#0,"""먼저 요전에 말했던,<br>우리 연구자들이 세운 가설에 대해서야."""
ssn_014912_0103#0,"""먼 옛날, 지금은 로스트 센트럴이라고 불리는<br>크바리스의 센트럴 시티가 건재하던 시절보다도 더 옛날……."""
ssn_014912_0104#0,"""할파에는<br>고도문명이 존재했을 가능성이 있어."""
ssn_014912_0105#0,"""그 문명은 놀라운 수준의 기술력을 가지고 있고…….<br>트레이니아를 지은 것도 그들로 추정중이야."""
ssn_014912_0106#0,"""류커 디바이스나 업 드래프터 등도,<br>그들이 만들어낸 걸로 추측되고 있어."""
ssn_014912_0107#0,"""수송 트럭이나 자원 채굴 리그도<br>우리 기술력만으로는 만들 수 없어."""
ssn_014912_0108#0,"""……하지만 그 문명은, 어떤 이유로 사라져 버렸다.<br>기술을 계승하지도 않고……."""
ssn_014912_0109#0,"""우린 이 가설을 유력하다고 보고 있어.<br>하지만 이걸 입증하려면, 정보가 여전히 부족해서 말이야."""
ssn_014912_0110#0,"""그러니 한 번 더 손을 보태 줘.<br>이번엔 타워의 데이터가 필요해. 부탁할게."""
