name_7434#0,"""슈프란"""
ssn_015040_0001#0,"""난 슈프란.<br>크바리스 선발대의 일원으로서 여기 왔다."""
ssn_015040_0002#0,"""너희는 이루마를 찾기 위해<br>여기로 온 모양이군."""
ssn_015040_0003#0,"""나도 그 친구가 마음에 걸리던 참이야."""
ssn_015040_0004#0,"""내가 이런 말하면 좀 이상하게 들릴지도 모르지만,<br>부디 그 남매에게 힘을 빌려줘."""
ssn_015040_0005#0,"""부탁하네."""
ssn_015040_0101#0,"""이루마를 무사히 찾아주었다 들었다.<br>로스트 센트럴에서 있었던 이야기는 나도 들었어."""
ssn_015040_0102#0,"""라이서스가 남긴 메시지에 있던 아이야.<br>마치 자기 운명을 깨달은 것만 같았지……."""
ssn_015040_0103#0,"""이봐, 네게 부탁하고 싶은 게 있어.<br>다시 로스트 센트럴에 다녀와 줄 수 있겠나?"""
ssn_015040_0201#0,"""라이서스가 이외에도 남긴 게<br>있을지도 몰라."""
ssn_015040_0202#0,"""로스트 센트럴의 탐색,<br>잘 부탁한다."""
ssn_015040_0301#0,"""그런가.<br>네게라면 맡길 수 있을 줄 알았는데……."""
ssn_015040_0302#0,"""마음이 바뀌면 또 말을 걸어줘."""
ssn_015040_0401#0,"""돌아왔군.<br>고맙다."""
ssn_015040_0402#0,"""결국, 라이서스가 남긴 단서는<br>아무것도 못 찾았군……."""
ssn_015040_0403#0,"""……후우."""
ssn_015040_0404#0,"""라이서스는, 당시 아크스들 중에서도<br>특출나게 강한 사람이었어."""
ssn_015040_0405#0,"""각 리전의 리더들과<br>맞먹을 정도였지."""
ssn_015040_0406#0,"""나이 먹고 나서는 어느 정도<br>실력이 무뎌진 것 같기도 했지만."""
ssn_015040_0407#0,"""……하지만<br>그렇게 간단하게 죽을 사람은 아니었어."""
ssn_015040_0408#0,"""솔직히, 지금도 살아있는 건 아닐까<br>하는 생각까지 들곤 해……."""
ssn_015040_1001#0,"""그렇지.<br>라이서스의 단서는 못 찾았지만……."""
ssn_015040_1002#0,"""일 하나만 더 해줄 수 있겠나?"""
ssn_015040_1003#0,"""가져와 줬으면 하는 게 있어."""
ssn_015040_1101#0,"""그렇군……, 알았다.<br>마음이 바뀌면 또 말을 걸어줘."""
ssn_015040_1101_001#0,"""무덤에 뭐라도 올려 줘야 하지 않을까 싶어서."""
ssn_015040_1101_002#0,"""\""삿파 크발 플럼\""을 가져와 줬으면 해.<br>부탁하네."""
ssn_015040_1201#0,"""가져와줬구나.<br>내게 줄 수 있나?"""
ssn_015040_1301#0,"""삿파 크발 플럼을 5개 준다"""
ssn_015040_1302#0,"""그만둔다"""
ssn_015040_1401_001#0,"""음. 감사히 받지.<br>제사에 올리면 그 녀석도 기뻐할 거야."""
ssn_015040_1401_002#0,"""그리고<br>네게 다시 한 번 고맙다는 말을 하고 싶다."""
ssn_015040_1401_003#0,"""이루마를 찾아 줘서, 정말 고마워."""
ssn_015040_1401_004#0,"""우습게 들릴지도 모르지만,<br>네 모습이 예전의 나와 겹쳐 보였어."""
ssn_015040_1401_005#0,"""내가 이루지 못했던 일을<br>네가 해내 주었지."""
ssn_015040_1401_006#0,"""……그렇게 생각하게 되더군."""
ssn_015040_1401_007#0,"""요전에 라이서스 탐색 이야기를 할 때,<br>부상자가 나왔다는 이야기를 했었지."""
ssn_015040_1401_008#0,"""그 부상자가 바로 나야."""
ssn_015040_1401_009#0,"""그리고 탐색 중지를 요청한 건<br>타이바스였어."""
ssn_015040_1401_010#0,"""자기 피붙이 때문에<br>남이 다치는 걸 참을 수 없었던 거겠지."""
ssn_015040_1401_011#0,"""그 때부터<br>그 친구들과 어색해져서 말이야."""
ssn_015040_1401_012#0,"""그 때부터 난 라이서스가 엮인 일에<br>계속 부담을 느끼곤 했어……."""
ssn_015040_1401_013#0,"""그러던 와중에 이번 일이 있었고<br>네가 다섯 쌍둥이와의 인연을 맺어준 거야."""
ssn_015040_1401_014#0,"""그게 내 \""동기\""가 되기도 한 거고."""
ssn_015040_1401_015#0,"""다시 한 번 내 안에서<br>라이서스를 돌아보자고 말이야."""
ssn_015040_1401_016#0,"""이제부턴 제대로 앞을 보고<br>그의 단서를 찾아볼 생각이야."""
ssn_015040_1401_017#0,"""기회가 되면 로스트 센트럴에도<br>들러볼 거고."""
ssn_015040_1401_018#0,"""너도 무슨 일이 있으면<br>아무리 사소한 일이라도 알려줬으면 한다."""
ssn_015040_1401_019#0,"""잘 부탁하지."""
ssn_015040_1402#0,"""이런.\u3000조금 부족한 것 같군.<br>미안하지만 조금만 더 가져와 줘."""
ssn_015040_1403#0,"""그렇군…….<br>다 모으고 나면 말을 걸어줘."""
ssn_015040_1501#0,"""이제부턴 제대로 앞을 보고<br>그의 단서를 찾아볼 생각이야."""
ssn_015040_1502#0,"""너도 무슨 일이 있으면<br>아무리 사소한 일이라도 알려줬으면 한다."""
