name_7431#0,"""바스코"""
ssn_014890_0001_001#0,"""수고하셨어요.<br>이번에도 정말 고마워요."""
ssn_014890_0001_002#0,"""저게 도대체 뭔지는<br>저로서도 알 도리가 없지만……."""
ssn_014890_0001_003#0,"""저 부유물체가 이 할파의 환경 전체를<br>제어하고 있는 것 아닌가 하는 가설을 생각중이에요."""
ssn_014890_0001_004#0,"""리전 잇는 다리를 건너면<br>기후가 크게 바뀌잖아요?"""
ssn_014890_0001_005#0,"""그리고 그 리전 사이에는<br>그 부유물체가 줄지어 있고……."""
ssn_014890_0001_006#0,"""이 두 요소에는 인과관계가 있는 것이<br>마땅하다고 생각되거든요."""
ssn_014890_0001_007#0,"""뭐어, 이 가설이 옳은지는<br>이번에 받은 데이터를 포함해서 검증해 봐야겠죠."""
ssn_014890_0001_008#0,"""어쨌든,<br>덕분에 귀중한 데이터를 구했어요."""
ssn_014890_0001_009#0,"""감사합니다.<br>또 무슨 일이 생기면 도와주셨으면 해요."""
ssn_014890_0001_100#0,"""이 세계엔 여러 곳에 \""의문\""이 잠들어 있어요.<br>그렇기에 더더욱 조사하는 보람이 있죠."""
ssn_014890_0001_101#0,"""그 의문을 모두 해명해 낸다면, <br>제 연구도 의미가 있다고 어깨를 펴고 말할 수 있겠죠."""
ssn_014890_0001#0,"""아, 안녕하세요.<br>임무는 순조롭게 되어 가나요?"""
ssn_014890_0002#0,"""요즘들어 우리들도 활동범위가 늘어나서,<br>더 본격적인 조사를 진행중이에요."""
ssn_014890_0003#0,"""하지만 모두 바쁘다보니,<br>원하는 데이터가 좀처럼 모이질 않네요……."""
ssn_014890_0004#0,"""괜찮으시다면 다시 도와주셨으면 하는데,<br>부탁드려도 될까요?"""
ssn_014890_0101#0,"""제가 원하는 건 데이터 뿐이니,<br>채굴한 광석은 가지셔도 돼요."""
ssn_014890_0102#0,"""\""스노쿠스\""를 캘 수 있는 장소는 마그로 알려드릴게요.<br>꼭 부탁드릴게요."""
ssn_014890_0201#0,"""그렇죠, 많이 바쁘실테니…….<br>다음엔 꼭 부탁드릴게요."""
ssn_014890_0301#0,"""수고 많으셨어요.<br>이번에도 귀중한 데이터를 제공해 주셔서 고마워요."""
ssn_014890_0302#0,"""그럼 바로 데이터를 수집할게요."""
ssn_014890_0303#0,"""미지의 장소를 조사하는 건<br>역시 새로운 발견을 접할 수 있어서 두근거리네요."""
ssn_014890_0304#0,"""전 그런 미지의 세상을 보고 싶어서<br>여기 크바리스 선발대에 지원한 거에요."""
ssn_014890_0305#0,"""에아리오 밖에는 우리가 모르는 것들 투성이니까,<br>그걸 조사할 수 있으면 정말 좋겠다고 생각해서……."""
ssn_014890_0306#0,"""아, 죄송해요.<br>너무 제 얘기만 늘어놓았네요."""
ssn_014890_0307#0,"""그래도 전 지금 이 시간이 정말 행복해요.<br>좋아하는 걸 연구하고, 보람도 있으니까요."""
ssn_014890_0308#0,"""이런 연구가 가능한 건, 선발대 사람들과<br>매번 절 도와주는 당신 덕분이에요."""
ssn_014890_0309#0,"""다시 한 번 감사드릴게요.<br>괜찮다면, 다음에도 협력해 주세요."""
ssn_014890_1001#0,"""딱 좋을 때 와주셨네요!<br>실은 당신의 도움을 받고 싶은 일이 있어서요."""
ssn_014890_1002#0,"""이건 어쩌면 엄청난 발견이 될지도 몰라요.<br>꼭 좀 도와주세요!"""
ssn_014890_1101#0,"""제 추측이 옳은지 아닌지……."""
ssn_014890_1102#0,"""기다릴게요.<br>잘 부탁드려요."""
ssn_014890_1201#0,"""그렇군요…….<br>알겠어요, 다음에 부탁드릴게요."""
ssn_014890_1301#0,"""수고 많으셨어요.<br>데이터도 잘 받았어요."""
ssn_014890_1302#0,"""당신 마그의 최대 망원으로 봐도 여전히 선명하진 않지만,<br>이전보다도 명확한 데이터를 얻었어요."""
ssn_014890_1303#0,"""에아리오나 리템보다<br>공기중의 불순물이 적은 걸지도 모르겠네요."""
ssn_014890_1304#0,"""그래서 데이터르르 기반으로<br>부유섬 표면의 재질 등을 조사해 봤는데……."""
ssn_014890_1305#0,"""제 추측한 대로, 리전 경계에 있는<br>그 부유물체들과 유사한 것으로 추정돼요."""
ssn_014890_1306#0,"""트레이니아 등하고도 비슷한데,<br>그것보다도 환경변화에 강한……튼튼한 재질인 것 같아요."""
ssn_014890_1307#0,"""이전에는 저 부유물체가<br>할파의 환경을 제어하고 있다는 가설을 세웠죠."""
ssn_014890_1308#0,"""만일 두 구조물 간에 관계성이 있다면,<br>부유섬이 환경제어를 총괄하고, 부유물체가 세부조정을 한다……던지?"""
ssn_014890_1309#0,"""……하하하.<br>아무리 그래도 너무 넘겨짚은 건지도 모르겠네요."""
ssn_014890_1310#0,"""하지만 이런 작은 정보들을 끼워맞추다 보면,<br>새로운 발견으로 이어지곤 해요."""
ssn_014890_1311#0,"""틀림 없이 이게 앞으로의<br>큰 연구과제가 될 거에요."""
ssn_014890_1312#0,"""앞으로도 이 할파의 \""의문\""에 대해 조사할 생각이에요.<br>협력해 저셔서 정말 감사합니다."""
ssn_014890_1401#0,"""당신 덕분에<br>큰 연구 과제가 생겼어요."""
ssn_014890_1402#0,"""앞으로도<br>이 할파의 \""의문\""에 대해 조사할 생각이에요."""
